time,ACO,IWO,LBBO,GA,PSO
0,0,0,0,0,0
0.04008,0,0,0,0,0
0.08016,0,0,0,0,0
0.12024,0,0,0,0,0
0.16032,0,0,0,0,0
0.2004,0,0,0,0,0
0.24048,0,0,0,0,0
0.28056,0,0,0,0,0
0.32064,0,0,0,0,0
0.36072,0,0,0,0,0
0.4008,0,0,0,0,0
0.44088,0,0,0,0,0
0.48096,0,0,0,0,0
0.52104,0,0,0,0,0
0.56112,0,0,0,0,0
0.6012,0,0,0,0,0
0.64128,0,0,0,0,0
0.68136,0,0,0,0,0
0.72144,0,0,0,0,0
0.76152,0,0,0,0,0
0.8016,0,0,0,0,0
0.84168,0,0,0,0,0
0.88176,0,0,0,0,0
0.92184,0,0,0,0,0
0.96192,0,0,0,0,0
1.002,0,0,0,0,0
1.0421,0,0,0,0,0
1.0822,0,0,0,0,0
1.1222,0,0,0,0,0
1.1623,0,0,0,0,0
1.2024,0,0,0,0,0
1.2425,0,0,0,0,0
1.2826,0,0,0,0,0
1.3226,0,0,0,0,0
1.3627,0,0,0,0,0
1.4028,0,0,0,0,0
1.4429,0,0,0,0,0
1.483,0,0,0,0,0
1.523,0,0,0,0,0
1.5631,0,0,0,0,0
1.6032,0,0,0,0,0
1.6433,0,0,0,0,0
1.6834,0,0,0,0,0
1.7234,0,0,0,0,0
1.7635,0,0,0,0,0
1.8036,0,0,0,0,0
1.8437,0,0,0,0,0
1.8838,0,0,0,0,0
1.9238,0,0,0,0,0
1.9639,0,0,0,0,0
2.004,0,0,0,0,0
2.0441,0,0,0,0,0
2.0842,0,0,0,0,0
2.1242,0,0,0,0,0
2.1643,0,0,0,0,0
2.2044,0,0,0,0,0
2.2445,0,0,0,0,0
2.2846,0,0,0,0,0
2.3246,0,0,0,0,0
2.3647,0,0,0,0,0
2.4048,0,0,0,0,0
2.4449,0,0,0,0,0
2.485,0,0,0,0,0
2.5251,0,0,0,0,0
2.5651,0,0,0,0,0
2.6052,0,0,0,0,0
2.6453,0,0,0,0,0
2.6854,0,0,0,0,0
2.7255,0,0,0,0,0
2.7655,0,0,0,0,0
2.8056,0,0,0,0,0
2.8457,0,0,0,0,0
2.8858,0,0,0,0,0
2.9259,0,0,0,0,0
2.9659,2.5969e-05,2.5969e-05,2.5969e-05,2.5969e-05,2.5969e-05
3.006,0.00066919,0.00066919,0.00066919,0.00066919,0.00066919
3.0461,0.0037993,0.0037993,0.0037993,0.0037993,0.0037993
3.0862,0.0095897,0.0095897,0.0095897,0.0095897,0.0095897
3.1263,0.017721,0.017721,0.017721,0.017721,0.017721
3.1663,0.027905,0.027905,0.027905,0.027905,0.027905
3.2064,0.039876,0.039876,0.039876,0.039876,0.039876
3.2465,0.053397,0.053397,0.053397,0.053397,0.053397
3.2866,0.068251,0.068251,0.068251,0.068251,0.068251
3.3267,0.084242,0.084242,0.084242,0.084242,0.084242
3.3667,0.10119,0.10119,0.10119,0.10119,0.10119
3.4068,0.11894,0.11894,0.11894,0.11894,0.11894
3.4469,0.13735,0.13735,0.13735,0.13735,0.13735
3.487,0.15628,0.15628,0.15628,0.15628,0.15628
3.5271,0.17562,0.17562,0.17562,0.17562,0.17562
3.5671,0.19526,0.19526,0.19526,0.19526,0.19526
3.6072,0.21512,0.21512,0.21512,0.21512,0.21512
3.6473,0.2351,0.2351,0.2351,0.2351,0.2351
3.6874,0.25513,0.25513,0.25513,0.25513,0.25513
3.7275,0.27514,0.27514,0.27514,0.27514,0.27514
3.7675,0.29509,0.29509,0.29509,0.29509,0.29509
3.8076,0.3149,0.3149,0.3149,0.3149,0.3149
3.8477,0.33455,0.33455,0.33455,0.33455,0.33455
3.8878,0.35398,0.35398,0.35398,0.35398,0.35398
3.9279,0.37317,0.37317,0.37317,0.37317,0.37317
3.9679,0.39208,0.39207,0.39208,0.39208,0.39207
4.008,0.41068,0.41068,0.41068,0.41068,0.41068
4.0481,0.42893,0.42891,0.42893,0.42891,0.42891
4.0882,0.44674,0.44667,0.44674,0.44668,0.44667
4.1283,0.46403,0.46381,0.46402,0.46384,0.46381
4.1683,0.48068,0.48018,0.48066,0.48025,0.48017
4.2084,0.49662,0.49564,0.49659,0.49578,0.49562
4.2485,0.51176,0.51007,0.51172,0.51033,0.51004
4.2886,0.52605,0.52336,0.526,0.52379,0.52331
4.3287,0.53944,0.53545,0.53937,0.53609,0.53537
4.3687,0.55189,0.54625,0.5518,0.54718,0.54614
4.4088,0.56337,0.55575,0.56326,0.55702,0.55559
4.4489,0.57386,0.56389,0.57373,0.56558,0.56369
4.489,0.58335,0.57068,0.58319,0.57285,0.57042
4.5291,0.59183,0.5761,0.59163,0.57882,0.57577
4.5691,0.59931,0.58017,0.59906,0.5835,0.57976
4.6092,0.60579,0.5829,0.60548,0.58691,0.5824
4.6493,0.61127,0.58431,0.61088,0.58905,0.58372
4.6894,0.61578,0.58442,0.61529,0.58996,0.58373
4.7295,0.61931,0.58327,0.61871,0.58965,0.58247
4.7695,0.6219,0.58089,0.62116,0.58817,0.57998
4.8096,0.62356,0.57731,0.62266,0.58554,0.57629
4.8497,0.62431,0.57258,0.62322,0.58179,0.57144
4.8898,0.62418,0.56674,0.62286,0.57697,0.56546
4.9299,0.62317,0.55981,0.62161,0.57111,0.55841
4.9699,0.62132,0.55186,0.61948,0.56424,0.55032
5.01,0.61866,0.5429,0.6165,0.5564,0.54123
5.0501,0.61519,0.53299,0.61269,0.54764,0.53119
5.0902,0.61096,0.52217,0.60807,0.53797,0.52022
5.1303,0.60598,0.51047,0.60266,0.52746,0.50839
5.1703,0.60028,0.49796,0.59651,0.51613,0.49573
5.2104,0.5939,0.48467,0.58962,0.50405,0.48231
5.2505,0.58686,0.47068,0.58205,0.49127,0.46818
5.2906,0.57921,0.45605,0.57382,0.47785,0.45341
5.3307,0.57097,0.44086,0.56497,0.46385,0.43808
5.3707,0.5622,0.42517,0.55554,0.44935,0.42226
5.4108,0.55292,0.40907,0.54557,0.4344,0.40603
