time,ACO,IWO,LBBO,GA,PSO
0,0,0,0,0,0
0.04008,0,0,0,0,0
0.08016,0,0,0,0,0
0.12024,0,0,0,0,0
0.16032,0,0,0,0,0
0.2004,0,0,0,0,0
0.24048,0,0,0,0,0
0.28056,0,0,0,0,0
0.32064,0,0,0,0,0
0.36072,0,0,0,0,0
0.4008,0,0,0,0,0
0.44088,0,0,0,0,0
0.48096,0,0,0,0,0
0.52104,0,0,0,0,0
0.56112,0,0,0,0,0
0.6012,0,0,0,0,0
0.64128,0,0,0,0,0
0.68136,0,0,0,0,0
0.72144,0,0,0,0,0
0.76152,0,0,0,0,0
0.8016,0,0,0,0,0
0.84168,0,0,0,0,0
0.88176,0,0,0,0,0
0.92184,0,0,0,0,0
0.96192,0,0,0,0,0
1.002,0,0,0,0,0
1.0421,0,0,0,0,0
1.0822,0,0,0,0,0
1.1222,0,0,0,0,0
1.1623,0,0,0,0,0
1.2024,0,0,0,0,0
1.2425,0,0,0,0,0
1.2826,0,0,0,0,0
1.3226,0,0,0,0,0
1.3627,0,0,0,0,0
1.4028,0,0,0,0,0
1.4429,0,0,0,0,0
1.483,0,0,0,0,0
1.523,0,0,0,0,0
1.5631,0,0,0,0,0
1.6032,0,0,0,0,0
1.6433,0,0,0,0,0
1.6834,0,0,0,0,0
1.7234,0,0,0,0,0
1.7635,0,0,0,0,0
1.8036,0,0,0,0,0
1.8437,0,0,0,0,0
1.8838,0,0,0,0,0
1.9238,0,0,0,0,0
1.9639,0,0,0,0,0
2.004,0,0,0,0,0
2.0441,0,0,0,0,0
2.0842,0,0,0,0,0
2.1242,0,0,0,0,0
2.1643,0,0,0,0,0
2.2044,0,0,0,0,0
2.2445,0,0,0,0,0
2.2846,0,0,0,0,0
2.3246,0,0,0,0,0
2.3647,0,0,0,0,0
2.4048,0,0,0,0,0
2.4449,0,0,0,0,0
2.485,0,0,0,0,0
2.5251,0,0,0,0,0
2.5651,0,0,0,0,0
2.6052,0,0,0,0,0
2.6453,0,0,0,0,0
2.6854,0,0,0,0,0
2.7255,0,0,0,0,0
2.7655,0,0,0,0,0
2.8056,0,0,0,0,0
2.8457,0,0,0,0,0
2.8858,0,0,0,0,0
2.9259,0,0,0,0,0
2.9659,2.4859e-05,3.2723e-05,2.6457e-05,3.2184e-05,3.2725e-05
3.006,0.00064202,0.00084521,0.00068328,0.00083119,0.00084528
3.0461,0.003672,0.0048361,0.0039082,0.0047537,0.0048368
3.0862,0.0093558,0.012328,0.0099581,0.012111,0.012331
3.1263,0.017461,0.02302,0.018586,0.022601,0.023027
3.1663,0.027774,0.036636,0.029565,0.035948,0.036649
3.2064,0.040099,0.052921,0.042688,0.051896,0.052945
3.2465,0.054256,0.071643,0.057762,0.070213,0.071681
3.2866,0.070079,0.092587,0.074613,0.090685,0.092644
3.3267,0.087419,0.11556,0.093079,0.11311,0.11564
3.3667,0.10613,0.14037,0.11301,0.13732,0.14048
3.4068,0.1261,0.16686,0.13428,0.16314,0.16701
3.4469,0.1472,0.19489,0.15676,0.19042,0.19507
3.487,0.16932,0.22429,0.18033,0.21903,0.22452
3.5271,0.19238,0.25496,0.20489,0.24883,0.25524
3.5671,0.21627,0.28678,0.23035,0.27972,0.28711
3.6072,0.24092,0.31962,0.25662,0.31157,0.32002
3.6473,0.26624,0.35341,0.28361,0.34431,0.35388
3.6874,0.29219,0.38804,0.31127,0.37783,0.38859
3.7275,0.31868,0.42344,0.33951,0.41206,0.42407
3.7675,0.34567,0.45953,0.36828,0.44693,0.46024
3.8076,0.3731,0.49624,0.39752,0.48236,0.49704
3.8477,0.40092,0.5335,0.42719,0.51829,0.53441
3.8878,0.42909,0.57127,0.45723,0.55467,0.57228
3.9279,0.45757,0.60948,0.4876,0.59145,0.61061
3.9679,0.48633,0.6481,0.51828,0.62858,0.64934
4.008,0.51532,0.68706,0.5492,0.66601,0.68843
4.0481,0.5445,0.72628,0.58033,0.70366,0.72778
4.0882,0.57377,0.76562,0.61156,0.74139,0.76725
4.1283,0.60304,0.80487,0.64278,0.779,0.80664
4.1683,0.63218,0.84381,0.67387,0.8163,0.84572
4.2084,0.66111,0.88223,0.70472,0.85309,0.88428
4.2485,0.68972,0.91995,0.73525,0.88922,0.92214
4.2886,0.71793,0.9568,0.76535,0.92452,0.95912
4.3287,0.74568,0.99263,0.79496,0.95887,0.99507
4.3687,0.7729,1.0273,0.824,0.99215,1.0299
4.4088,0.79953,1.0607,0.85243,1.0243,1.0634
4.4489,0.82554,1.0928,0.88018,1.0551,1.0956
4.489,0.85087,1.1235,0.90721,1.0847,1.1264
4.5291,0.87551,1.1528,0.93349,1.1129,1.1557
4.5691,0.89941,1.1805,0.95898,1.1398,1.1835
4.6092,0.92256,1.2067,0.98365,1.1652,1.2097
4.6493,0.94494,1.2313,1.0075,1.1891,1.2344
4.6894,0.96652,1.2543,1.0305,1.2116,1.2574
4.7295,0.98731,1.2757,1.0525,1.2326,1.2789
4.7695,1.0073,1.2955,1.0737,1.2522,1.2987
4.8096,1.0264,1.3137,1.094,1.2702,1.3169
4.8497,1.0447,1.3303,1.1134,1.2868,1.3335
4.8898,1.0622,1.3453,1.1319,1.3018,1.3484
4.9299,1.0788,1.3587,1.1494,1.3154,1.3618
4.9699,1.0946,1.3705,1.166,1.3276,1.3735
5.01,1.1096,1.3807,1.1816,1.3382,1.3837
5.0501,1.1237,1.3894,1.1963,1.3475,1.3923
5.0902,1.137,1.3965,1.2101,1.3553,1.3993
5.1303,1.1494,1.4021,1.2229,1.3616,1.4048
5.1703,1.161,1.4062,1.2348,1.3666,1.4088
5.2104,1.1718,1.4089,1.2457,1.3703,1.4113
5.2505,1.1818,1.4101,1.2558,1.3726,1.4124
5.2906,1.1909,1.4099,1.2649,1.3736,1.4121
5.3307,1.1993,1.4085,1.2732,1.3735,1.4106
5.3707,1.207,1.4058,1.2805,1.3722,1.4078
5.4108,1.2139,1.402,1.2871,1.3698,1.4038
5.4509,1.2201,1.3972,1.2928,1.3665,1.3988
