Jdi,Jdo,Jr
0.18735,0.56414,0.68175
0.18789,0.55992,0.67914
0.1886,0.55579,0.67662
0.18953,0.55179,0.67421
0.19069,0.54792,0.67191
0.1921,0.54419,0.66973
0.19368,0.54056,0.66764
0.1954,0.53701,0.66562
0.19722,0.53351,0.66365
0.1991,0.53005,0.66171
0.20105,0.52662,0.6598
0.20305,0.52323,0.65792
0.20512,0.51988,0.65607
0.20727,0.51657,0.65425
0.20951,0.51331,0.65249
0.21184,0.51011,0.65078
0.21424,0.50694,0.64909
0.21669,0.5038,0.64743
0.21919,0.50069,0.64579
0.22172,0.4976,0.64418
0.2243,0.49453,0.64258
0.2269,0.49148,0.64099
0.22953,0.48845,0.63942
0.2322,0.48543,0.63787
0.23489,0.48243,0.63633
0.23761,0.47944,0.6348
0.24035,0.47647,0.63329
0.24312,0.47351,0.63179
0.2459,0.47057,0.63029
0.2487,0.46763,0.62881
0.25152,0.4647,0.62733
0.25435,0.46178,0.62586
0.2572,0.45887,0.6244
0.26011,0.45599,0.62297
0.26343,0.45335,0.62175
0.26704,0.45086,0.62065
0.27089,0.44852,0.61968
0.27496,0.44634,0.6189
0.27921,0.44419,0.61806
0.28362,0.44216,0.61738
0.28816,0.44021,0.61675
0.29281,0.43834,0.6162
0.29753,0.43649,0.61566
0.30223,0.43468,0.61519
0.30708,0.43286,0.61465
0.31199,0.43112,0.61423
0.31688,0.42936,0.61376
0.32182,0.42762,0.61332
0.32676,0.42591,0.61291
0.33169,0.42424,0.61257
0.3368,0.42255,0.61214
0.34189,0.42092,0.61179
0.34707,0.41933,0.61149
0.35243,0.41783,0.61125
0.35789,0.41653,0.61123
0.36395,0.41535,0.61125
0.37025,0.41444,0.61154
0.37503,0.41394,0.61239
0.38511,0.41374,0.61307
0.18728,0.56518,0.67937
0.18775,0.56092,0.67673
0.18841,0.55677,0.67418
0.18928,0.55274,0.67174
0.19039,0.54884,0.66942
0.19174,0.54507,0.66721
0.19329,0.54142,0.6651
0.19498,0.53785,0.66307
0.19683,0.53436,0.66115
0.19865,0.53088,0.65914
0.20063,0.52746,0.65728
0.20258,0.52405,0.65534
0.20463,0.52068,0.65349
0.20674,0.51736,0.65165
