Kp	Ti	Td	beta	Jdi	Jr	Jdin	Jrn
0.42811	201.46	47.018	0.66994	0.78602	1.4285	0	1
0.42812	202.41	46.684	0.67253	0.78605	1.4244	8.634e-05	0.97981
0.42812	202.88	46.529	0.67385	0.78609	1.4223	0.00020202	0.96985
0.42812	203.36	46.38	0.67519	0.78615	1.4203	0.00035467	0.95986
0.42812	203.84	46.236	0.67654	0.78623	1.4183	0.00058222	0.94998
0.42807	204.31	46.044	0.67033	0.78637	1.4163	0.00097116	0.9404
0.42807	204.79	45.857	0.67916	0.78641	1.4142	0.0010769	0.93023
0.42808	205.28	45.71	0.68049	0.78651	1.4122	0.0013471	0.92033
0.42807	205.76	45.566	0.67429	0.78663	1.4102	0.0016922	0.91055
0.42801	206.24	45.348	0.67562	0.78679	1.4082	0.0021173	0.90089
0.42797	206.71	45.207	0.67704	0.787	1.4063	0.0027063	0.89153
0.42792	207.19	45.003	0.67838	0.78717	1.4043	0.0031854	0.88189
0.42789	207.68	44.84	0.67974	0.78737	1.4024	0.0037183	0.87229
0.42788	208.17	44.658	0.68105	0.78753	1.4003	0.0041562	0.86243
0.42779	208.65	44.464	0.68246	0.78782	1.3985	0.0049589	0.85328
0.4277	209.13	44.244	0.68383	0.78808	1.3965	0.0056749	0.84387
0.42764	209.63	44.012	0.68515	0.7883	1.3945	0.0062809	0.83413
0.42753	210.1	43.821	0.67928	0.78868	1.3927	0.0073253	0.82527
0.42743	210.58	43.604	0.68067	0.78902	1.3909	0.0082705	0.81609
0.42729	211.06	43.364	0.68209	0.7894	1.389	0.009307	0.80699
0.42716	211.54	43.128	0.68352	0.78982	1.3872	0.010447	0.79801
0.42702	212.02	42.891	0.68496	0.79027	1.3853	0.011701	0.78913
0.42687	212.51	42.629	0.68639	0.79073	1.3835	0.012951	0.78007
0.42669	212.98	42.377	0.68786	0.79129	1.3817	0.014493	0.77147
0.4265	213.45	42.128	0.68218	0.79191	1.38	0.016209	0.76306
0.42638	213.9	41.963	0.68359	0.79265	1.3784	0.018237	0.75515
0.42637	214.34	41.866	0.68483	0.79342	1.3767	0.020346	0.74712
0.42636	214.71	41.905	0.68613	0.79446	1.3755	0.023232	0.74092
0.42654	215.13	41.965	0.68711	0.79537	1.3739	0.025716	0.73328
0.42672	215.55	42.031	0.68808	0.79631	1.3724	0.028308	0.72575
0.42705	216.02	42.087	0.68875	0.79709	1.3705	0.030457	0.71668
0.42724	216.44	42.138	0.68968	0.79805	1.3689	0.033088	0.70894
0.42741	216.85	42.2	0.69063	0.79905	1.3674	0.035845	0.7015
0.42751	217.25	42.25	0.68486	0.80012	1.366	0.038778	0.69456
0.42765	217.65	42.3	0.68587	0.80115	1.3645	0.041614	0.68725
