a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.4,1.9,0.74423,1.84,0.70058,0.80086,2.6074,2.9271,3.6715,0,0.12302,1,2
0.4,1.9,0.74399,1.8414,0.70207,0.80211,2.6079,2.9257,3.6698,0.00093598,0.11833,0.99399,2
0.4,1.9,0.74375,1.8427,0.70352,0.8033,2.6086,2.9245,3.6683,0.0022602,0.11398,0.98853,2
0.4,1.9,0.74351,1.8439,0.70495,0.80442,2.6096,2.9233,3.6669,0.0039207,0.10993,0.98354,2
0.4,1.9,0.74327,1.845,0.70634,0.80097,2.6107,2.9222,3.6657,0.005921,0.10617,0.97911,2
0.4,1.9,0.74303,1.8459,0.7077,0.80195,2.612,2.9211,3.6645,0.0082048,0.10267,0.97511,2
0.4,1.9,0.74272,1.8466,0.7089,0.80299,2.6135,2.9202,3.6637,0.010853,0.099443,0.97197,1.9998
0.4,1.9,0.74248,1.8474,0.71014,0.80392,2.6151,2.9193,3.6628,0.013656,0.096393,0.96876,1.9997
0.4,1.9,0.74223,1.848,0.71134,0.80481,2.6169,2.9185,3.662,0.016707,0.093561,0.96591,1.9997
0.4,1.9,0.74207,1.8487,0.71264,0.80553,2.6187,2.9177,3.6612,0.019974,0.090944,0.96314,1.9999
0.4,1.9,0.74186,1.8492,0.71372,0.80625,2.6208,2.917,3.6607,0.023599,0.088615,0.96117,1.9999
0.4,1.9,0.74166,1.8497,0.71488,0.80694,2.6229,2.9164,3.6601,0.027244,0.086309,0.95917,2
0.4,1.9,0.74142,1.8501,0.71592,0.80324,2.625,2.9157,3.6596,0.030964,0.084058,0.95738,1.9999
0.4,1.9,0.74119,1.8505,0.71705,0.80397,2.6271,2.915,3.6591,0.03469,0.081819,0.95555,1.9999
0.4,1.9,0.74096,1.8509,0.71818,0.80472,2.6292,2.9144,3.6586,0.038447,0.079606,0.95377,1.9998
0.4,1.9,0.74072,1.8513,0.71933,0.80548,2.6314,2.9138,3.6581,0.042231,0.077417,0.95203,1.9998
0.4,1.9,0.74032,1.8515,0.72005,0.80647,2.6336,2.9131,3.6577,0.046118,0.075295,0.9507,1.9992
0.4,1.9,0.74022,1.852,0.72167,0.80701,2.6357,2.9125,3.6572,0.049889,0.073117,0.94869,1.9998
0.4,1.9,0.73996,1.8524,0.72285,0.80779,2.638,2.9119,3.6567,0.053762,0.071006,0.94708,1.9998
0.4,1.9,0.73973,1.8527,0.72418,0.80852,2.6402,2.9113,3.6563,0.057649,0.068912,0.94545,1.9999
0.4,1.9,0.73946,1.8531,0.7254,0.80929,2.6424,2.9107,3.6559,0.06158,0.066852,0.94393,1.9999
0.4,1.9,0.7392,1.8534,0.72668,0.8057,2.6447,2.9101,3.6554,0.065536,0.064815,0.94244,2
0.4,1.9,0.7388,1.8536,0.72752,0.8067,2.6469,2.9095,3.6551,0.069546,0.06282,0.9411,1.9994
0.4,1.9,0.73862,1.854,0.72918,0.80735,2.6492,2.9089,3.6547,0.073546,0.060825,0.93963,1.9999
0.4,1.9,0.73772,1.8539,0.72819,0.80921,2.6516,2.9083,3.6544,0.07766,0.058894,0.93877,1.9969
0.4,1.9,0.73761,1.8543,0.73013,0.80974,2.6539,2.9078,3.654,0.081695,0.056952,0.93708,1.9978
0.4,1.9,0.73689,1.8543,0.72984,0.81129,2.6562,2.9072,3.6537,0.085799,0.055024,0.93608,1.9957
0.4,1.9,0.73669,1.8546,0.7315,0.81198,2.6585,2.9067,3.6532,0.089893,0.053128,0.93455,1.9962
0.4,1.9,0.73648,1.8549,0.73324,0.81267,2.6609,2.9061,3.6529,0.094037,0.051259,0.93331,1.9967
0.4,1.9,0.73589,1.855,0.7335,0.81159,2.6633,2.9056,3.6526,0.098203,0.049406,0.93214,1.9953
0.4,1.9,0.73514,1.8551,0.73309,0.8113,2.6656,2.905,3.6523,0.10238,0.047559,0.93107,1.993
0.4,1.9,0.73438,1.8551,0.73267,0.81294,2.668,2.9045,3.652,0.10658,0.04573,0.92994,1.9907
0.4,1.9,0.73391,1.8552,0.73346,0.81408,2.6704,2.904,3.6517,0.11079,0.043917,0.92882,1.99
0.4,1.9,0.73328,1.8552,0.7337,0.81548,2.6728,2.9034,3.6514,0.11504,0.042117,0.92804,1.9884
0.4,1.9,0.7329,1.8554,0.73485,0.81648,2.6753,2.9029,3.6511,0.1193,0.040373,0.92677,1.9882
0.4,1.9,0.73217,1.8555,0.73463,0.81804,2.6777,2.9024,3.6508,0.12359,0.038626,0.92572,1.9861
0.4,1.9,0.73138,1.8554,0.7342,0.81955,2.6801,2.9019,3.6505,0.12788,0.03688,0.92483,1.9837
0.4,1.9,0.73102,1.8555,0.73563,0.81642,2.6826,2.9014,3.6503,0.13221,0.035149,0.92414,1.9836
0.4,1.9,0.73026,1.8555,0.73532,0.81808,2.6851,2.9009,3.65,0.13658,0.033494,0.92305,1.9814
0.4,1.9,0.72952,1.8555,0.7352,0.81969,2.6876,2.9004,3.6498,0.14096,0.031835,0.92222,1.9794
0.4,1.9,0.72902,1.8556,0.73607,0.82088,2.6901,2.8999,3.6496,0.14536,0.03018,0.92139,1.9786
0.4,1.9,0.72847,1.8556,0.73679,0.82216,2.6926,2.8995,3.6494,0.14978,0.028554,0.92062,1.9776
0.4,1.9,0.72778,1.8555,0.73702,0.82124,2.6952,2.899,3.6493,0.15426,0.02695,0.92023,1.9759
0.4,1.9,0.72694,1.8555,0.73651,0.82545,2.6977,2.8985,3.649,0.15875,0.025409,0.91925,1.9734
0.4,1.9,0.72635,1.8555,0.73711,0.8226,2.7003,2.8981,3.6488,0.16327,0.023867,0.91855,1.9722
0.4,1.9,0.72583,1.8555,0.7381,0.82383,2.7029,2.8976,3.6486,0.16781,0.022335,0.91801,1.9714
0.4,1.9,0.72519,1.8554,0.73874,0.82522,2.7055,2.8972,3.6486,0.17241,0.020842,0.9178,1.9702
0.4,1.9,0.72432,1.8552,0.73824,0.82708,2.7081,2.8968,3.6484,0.17703,0.019396,0.91725,1.9676
0.4,1.9,0.72344,1.8551,0.73771,0.82898,2.7108,2.8964,3.6482,0.18167,0.017977,0.91657,1.9649
0.4,1.9,0.72294,1.855,0.73903,0.82707,2.7134,2.896,3.6482,0.18636,0.016571,0.91643,1.9644
0.4,1.9,0.72244,1.8551,0.74027,0.82821,2.7161,2.8956,3.648,0.19111,0.015244,0.91584,1.9639
0.4,1.9,0.72153,1.8548,0.73975,0.82911,2.7188,2.8952,3.648,0.19587,0.013918,0.91558,1.9612
0.4,1.9,0.72074,1.8547,0.73989,0.83078,2.7216,2.8948,3.6479,0.20067,0.012617,0.91541,1.9592
0.4,1.9,0.72004,1.8544,0.74052,0.83231,2.7244,2.8944,3.648,0.20555,0.011373,0.91556,1.9578
0.4,1.9,0.71909,1.8542,0.73994,0.83432,2.7272,2.8941,3.6479,0.21046,0.010193,0.91523,1.9549
0.4,1.9,0.7184,1.854,0.74064,0.83585,2.73,2.8937,3.6479,0.2154,0.0090211,0.91522,1.9536
0.4,1.9,0.7179,1.8539,0.74233,0.83703,2.7328,2.8934,3.6479,0.22042,0.0079158,0.9154,1.9533
0.4,1.9,0.7169,1.8536,0.74177,0.83604,2.7357,2.8931,3.648,0.2255,0.0068624,0.91562,1.9504
0.4,1.9,0.7159,1.8532,0.74122,0.83707,2.7386,2.8928,3.648,0.23061,0.005841,0.91588,1.9474
0.4,1.9,0.71522,1.8529,0.74238,0.83853,2.7416,2.8925,3.6482,0.23583,0.0048977,0.91653,1.9464
0.4,1.9,0.71418,1.8525,0.74177,0.84071,2.7446,2.8923,3.6483,0.2411,0.004036,0.91675,1.9433
0.4,1.9,0.71347,1.8522,0.74286,0.84224,2.7476,2.892,3.6485,0.24643,0.003201,0.91739,1.9421
0.4,1.9,0.71273,1.8518,0.74391,0.84391,2.7507,2.8918,3.6487,0.25188,0.0024727,0.91816,1.9408
0.4,1.9,0.71162,1.8513,0.74331,0.84607,2.7539,2.8916,3.6489,0.25739,0.0018047,0.91896,1.9376
0.4,1.9,0.71081,1.8508,0.74436,0.84369,2.7571,2.8915,3.6493,0.26301,0.0012071,0.92033,1.9362
0.4,1.9,0.70966,1.8503,0.74369,0.84613,2.7603,2.8913,3.6495,0.26873,0.00074197,0.92114,1.9328
0.4,1.9,0.7088,1.8499,0.74453,0.82797,2.7637,2.8912,3.6503,0.27464,0.00034306,0.92406,1.9311
0.4,1.9,0.70762,1.8491,0.74424,0.84223,2.7671,2.8911,3.6504,0.28057,0.00011928,0.92428,1.9279
0.4,1.9,0.70662,1.8484,0.74492,0.85243,2.7706,2.8911,3.6508,0.28671,0,0.9259,1.9257
0.4,1.9,0.74501,1.8463,0.69489,0.80182,2.6075,2.9288,3.6635,0.00029942,0.12869,0.97149,2
0.4,1.9,0.74479,1.8478,0.69638,0.80303,2.608,2.9274,3.6618,0.0011713,0.12395,0.96529,2
0.4,1.9,0.74457,1.8491,0.69783,0.80419,2.6087,2.9261,3.6603,0.0024341,0.11955,0.95975,2
0.4,1.9,0.74434,1.8503,0.69925,0.80075,2.6096,2.9249,3.6589,0.0040334,0.11543,0.95473,2
0.4,1.9,0.7441,1.8514,0.70064,0.80182,2.6107,2.9238,3.6576,0.0059454,0.11159,0.95022,2
0.4,1.9,0.74388,1.8524,0.70202,0.80282,2.612,2.9227,3.6564,0.0081033,0.10798,0.94599,2
0.4,1.9,0.74364,1.8533,0.70333,0.80379,2.6134,2.9217,3.6554,0.010553,0.10462,0.94229,2
0.4,1.9,0.74341,1.8541,0.70461,0.80472,2.6149,2.9208,3.6545,0.013239,0.10146,0.93891,1.9999
0.4,1.9,0.74319,1.8548,0.70586,0.80558,2.6165,2.9199,3.6536,0.016155,0.098509,0.93585,1.9999
0.4,1.9,0.74298,1.8555,0.70709,0.80638,2.6183,2.9191,3.6528,0.019313,0.095775,0.93312,2
