a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.9,2,0.92872,2.1448,1.0352,0.66538,2.7288,3.5949,4.3865,0,0.95633,1,2.498
0.9,2,0.92776,2.1497,1.0304,0.69476,2.7288,3.5871,4.3805,3.5733e-05,0.93422,0.98832,2.4875
0.9,2,0.92616,2.1525,1.0281,0.66737,2.7289,3.5794,4.3745,0.00015932,0.91226,0.9766,2.4781
0.9,2,0.92494,2.1563,1.0241,0.66815,2.7291,3.5718,4.3686,0.00039594,0.89044,0.96513,2.4678
0.9,2,0.92344,2.16,1.021,0.66539,2.7294,3.5641,4.363,0.00073703,0.86871,0.95397,2.4582
0.9,2,0.92198,2.1639,1.0178,0.67297,2.7298,3.5566,4.3571,0.0011864,0.84724,0.94247,2.4485
0.9,2,0.92061,2.1674,1.014,0.67196,2.7303,3.5491,4.3515,0.0017511,0.82583,0.93157,2.4383
0.9,2,0.91924,2.171,1.01,0.67512,2.7309,3.5417,4.3459,0.0024295,0.80463,0.92057,2.4281
0.9,2,0.91764,2.1747,1.0069,0.67874,2.7316,3.5343,4.3403,0.0032228,0.7836,0.90965,2.4184
0.9,2,0.91604,2.1785,1.0038,0.68236,2.7324,3.527,4.3348,0.0041421,0.76277,0.89872,2.4088
0.9,2,0.91455,2.1819,0.99982,0.6815,2.7333,3.5197,4.3294,0.0051827,0.74206,0.8882,2.3986
0.9,2,0.91286,2.1855,0.99675,0.6852,2.7343,3.5125,4.3241,0.0063479,0.72153,0.87778,2.389
0.9,2,0.91128,2.1888,0.99286,0.68447,2.7354,3.5054,4.3189,0.0076394,0.70114,0.86775,2.3788
0.9,2,0.90953,2.1923,0.9898,0.68824,2.7367,3.4983,4.3138,0.0090654,0.68097,0.85765,2.3692
0.9,2,0.9079,2.1957,0.9858,0.69178,2.7381,3.4913,4.3086,0.010633,0.66103,0.84746,2.359
0.9,2,0.90607,2.199,0.98277,0.69151,2.7395,3.4844,4.3037,0.012331,0.64122,0.83786,2.3494
0.9,2,0.90421,2.2023,0.97972,0.69538,2.7411,3.4775,4.2988,0.014171,0.62162,0.8283,2.3398
0.9,2,0.90239,2.2056,0.97629,0.69923,2.7429,3.4707,4.2939,0.016166,0.60226,0.81862,2.33
0.9,2,0.90053,2.2086,0.97273,0.69891,2.7448,3.4639,4.2893,0.018296,0.58306,0.8096,2.32
0.9,2,0.89858,2.2118,0.96964,0.70294,2.7468,3.4573,4.2846,0.020587,0.56409,0.80052,2.3104
0.9,2,0.89661,2.2149,0.96653,0.70273,2.7489,3.4507,4.2801,0.023038,0.54535,0.79157,2.3009
0.9,2,0.89468,2.2179,0.96263,0.70683,2.7512,3.4442,4.2755,0.025653,0.52683,0.78267,2.2907
0.9,2,0.89262,2.2207,0.95954,0.70702,2.7536,3.4378,4.2713,0.028422,0.50852,0.77435,2.2811
0.9,2,0.89055,2.2237,0.95638,0.71109,2.7562,3.4315,4.2669,0.031372,0.49046,0.76584,2.2715
0.9,2,0.88841,2.2264,0.95334,0.71324,2.7589,3.4252,4.2629,0.034476,0.47263,0.758,2.2619
0.9,2,0.88627,2.2292,0.95014,0.71555,2.7618,3.4191,4.2588,0.037784,0.45505,0.74985,2.2523
0.9,2,0.88407,2.2318,0.94703,0.71981,2.7648,3.413,4.2549,0.041248,0.43772,0.74236,2.2427
0.9,2,0.88186,2.2344,0.94379,0.7202,2.768,3.407,4.251,0.044927,0.42065,0.73467,2.2331
0.9,2,0.87959,2.2369,0.94062,0.72455,2.7714,3.4011,4.2473,0.048779,0.40384,0.72748,2.2235
0.9,2,0.87729,2.2393,0.93753,0.72504,2.7749,3.3953,4.2438,0.052828,0.38731,0.72049,2.214
0.9,2,0.87495,2.2415,0.93443,0.72947,2.7786,3.3896,4.2405,0.057054,0.37107,0.71399,2.2044
0.9,2,0.87257,2.2437,0.93124,0.73006,2.7825,3.384,4.2371,0.06151,0.3551,0.70748,2.1948
0.9,2,0.87016,2.2459,0.92867,0.73466,2.7866,3.3785,4.2339,0.066176,0.33943,0.70121,2.1857
