a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.4,2,0.64731,1.8464,0.66207,0.91762,2.9802,3.8264,0,1,1.8
0.4,2,0.64729,1.8503,0.65851,0.90008,2.9803,3.8217,0.00019119,0.98359,1.8
0.4,2,0.64726,1.8537,0.65548,0.90852,2.9804,3.8169,0.00043413,0.96703,1.8
0.4,2,0.64724,1.8573,0.65212,0.91842,2.9805,3.8121,0.00069171,0.95031,1.8
0.4,2,0.64717,1.8608,0.64885,0.91601,2.9807,3.8076,0.0014532,0.93443,1.8
0.4,2,0.6471,1.8643,0.64531,0.91832,2.981,3.8029,0.0020937,0.9181,1.8
0.4,2,0.64698,1.8677,0.64174,0.91952,2.9814,3.7985,0.0032361,0.90261,1.8
0.4,2,0.64687,1.8712,0.63802,0.9213,2.9818,3.7939,0.0042924,0.88669,1.8
0.4,2,0.64669,1.8745,0.6342,0.9191,2.9824,3.7896,0.005876,0.87164,1.8
0.4,2,0.6465,1.8778,0.63023,0.92096,2.983,3.7853,0.0075459,0.85651,1.8
0.4,2,0.64627,1.8811,0.62597,0.92657,2.9837,3.7809,0.0093416,0.84132,1.8
0.4,2,0.64597,1.8841,0.6216,0.92492,2.9846,3.7768,0.01171,0.82707,1.8
0.4,2,0.6456,1.8871,0.61683,0.92705,2.9856,3.7727,0.014271,0.81283,1.8
0.4,2,0.64515,1.8901,0.61146,0.92935,2.9866,3.7687,0.017071,0.79859,1.8
0.4,2,0.64458,1.8928,0.60598,0.92775,2.9879,3.7649,0.020635,0.7856,1.8
0.4,2,0.64403,1.8951,0.60162,0.92603,2.9897,3.7617,0.025239,0.77449,1.7997
0.4,2,0.64361,1.898,0.59675,0.93226,2.9913,3.7578,0.029445,0.76082,1.7999
0.4,2,0.64314,1.9004,0.59258,0.93425,2.9933,3.7546,0.03484,0.74943,1.7999
0.4,2,0.64328,1.9032,0.59203,0.93536,2.9955,3.7513,0.040641,0.73813,1.8
0.4,2,0.64348,1.9058,0.59227,0.93212,2.9978,3.7484,0.04685,0.72784,1.7999
0.4,2,0.64374,1.9087,0.59253,0.9328,3.0001,3.7452,0.053061,0.71693,1.8
0.4,2,0.64398,1.9113,0.59306,0.93348,3.0026,3.7424,0.05955,0.70693,1.7999
0.4,2,0.6442,1.9139,0.59336,0.93419,3.005,3.7394,0.066058,0.69664,1.7999
