a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.5,1,1.1187,1.5586,0.47031,0.72846,1.4313,2.3331,0,1,1.9998
0.5,1,1.119,1.5623,0.46675,0.72375,1.4315,2.3295,0.00032963,0.98379,1.9998
0.5,1,1.1192,1.5661,0.46413,0.7248,1.4321,2.326,0.0014255,0.96812,1.9998
0.5,1,1.1193,1.5698,0.46172,0.72586,1.4329,2.3226,0.0030103,0.95293,1.9998
0.5,1,1.1194,1.5735,0.4596,0.72701,1.4339,2.3192,0.0049862,0.93812,1.9998
0.5,1,1.1195,1.5772,0.45757,0.72816,1.4351,2.316,0.0072984,0.92363,1.9998
0.5,1,1.1196,1.5809,0.45554,0.72404,1.4365,2.3128,0.0099086,0.90943,1.9998
0.5,1,1.1197,1.5845,0.45356,0.7252,1.438,2.3097,0.012768,0.89548,1.9998
0.5,1,1.1197,1.5881,0.45175,0.72639,1.4396,2.3066,0.015862,0.88175,1.9998
0.5,1,1.1199,1.5987,0.44647,0.72478,1.445,2.2976,0.02639,0.84177,1.9998
0.5,1,1.12,1.6025,0.44561,0.72617,1.4473,2.2948,0.030771,0.82931,1.9998
0.5,1,1.1322,1.6255,0.44088,0.72333,1.4495,2.2808,0.034961,0.76689,1.9992
0.5,1,1.1208,1.6229,0.44836,0.72999,1.4638,2.2795,0.062696,0.76105,1.9991
0.5,1,1.1215,1.6268,0.4492,0.73116,1.4663,2.2765,0.067583,0.74791,1.9998
0.5,1,1.1217,1.6303,0.44984,0.73266,1.4691,2.2739,0.072951,0.73639,1.9998
0.5,1,1.1214,1.6334,0.45023,0.73448,1.4722,2.2717,0.078792,0.72648,1.9991
0.5,1,1.1215,1.6369,0.45095,0.73601,1.475,2.2692,0.084223,0.71503,1.9991
0.5,1,1.1217,1.6405,0.45166,0.73756,1.4778,2.2666,0.089691,0.7036,1.9991
0.5,1,1.1223,1.6444,0.45262,0.73882,1.4804,2.2637,0.094763,0.69063,1.9998
0.5,1,1.1224,1.648,0.45337,0.74041,1.4833,2.2611,0.1003,0.67927,1.9998
0.5,1,1.1225,1.6515,0.45424,0.74203,1.4862,2.2586,0.10588,0.66795,1.9998
0.5,1,1.1226,1.6552,0.45487,0.74365,1.4891,2.2561,0.11149,0.65666,1.9998
0.5,1,1.1227,1.6588,0.45579,0.74529,1.492,2.2535,0.11712,0.64534,1.9998
0.5,1,1.1228,1.6661,0.45745,0.74866,1.4979,2.2485,0.12855,0.62296,1.9998
0.5,1,1.1229,1.6698,0.45831,0.75038,1.5009,2.246,0.13433,0.61184,1.9998
0.5,1,1.1229,1.6735,0.45917,0.75213,1.5039,2.2435,0.14016,0.60076,1.9998
0.5,1,1.1228,1.6809,0.46096,0.7557,1.5101,2.2386,0.15197,0.57883,1.9998
0.5,1,1.1228,1.6847,0.46199,0.75752,1.5131,2.2361,0.15793,0.56781,1.9998
0.5,1,1.1228,1.6887,0.46265,0.75933,1.5163,2.2337,0.16396,0.55693,1.9998
0.5,1,1.1227,1.6924,0.46369,0.76122,1.5194,2.2312,0.17004,0.5461,1.9998
0.5,1,1.1325,1.7073,0.47272,0.76316,1.5199,2.2202,0.17097,0.49687,1.9998
0.5,1,1.1323,1.7115,0.47347,0.76524,1.5233,2.2178,0.17755,0.48646,1.9998
0.5,1,1.132,1.7155,0.47466,0.7677,1.5268,2.2155,0.18422,0.4762,1.9998
0.5,1,1.1318,1.7197,0.47557,0.7741,1.5302,2.2132,0.19091,0.46575,2
0.5,1,1.131,1.7231,0.47656,0.77524,1.5339,2.2113,0.198,0.45716,1.999
0.5,1,1.131,1.7276,0.47798,0.77862,1.5373,2.2087,0.20468,0.44586,1.9998
0.5,1,1.1307,1.7319,0.47878,0.78083,1.541,2.2065,0.21167,0.43591,1.9998
0.5,1,1.1299,1.7354,0.47987,0.78334,1.5447,2.2046,0.21894,0.42733,1.999
0.5,1,1.1294,1.7396,0.48097,0.78566,1.5484,2.2024,0.22611,0.41757,1.999
0.5,1,1.129,1.7438,0.48205,0.788,1.5522,2.2002,0.23337,0.40792,1.9989
0.5,1,1.129,1.7487,0.48326,0.79324,1.556,2.1978,0.24061,0.39709,1.9998
0.5,1,1.1287,1.7533,0.48423,0.79694,1.5598,2.1956,0.24807,0.38737,2
0.5,1,1.1271,1.7611,0.48645,0.80203,1.5678,2.1918,0.26354,0.37032,1.9989
0.5,1,1.1267,1.7656,0.4874,0.80443,1.5719,2.1897,0.27138,0.36121,1.9989
0.5,1,1.1261,1.7698,0.4888,0.80698,1.576,2.1877,0.27936,0.35225,1.9989
0.5,1,1.126,1.7751,0.49007,0.81286,1.5802,2.1854,0.28741,0.34191,1.9999
0.5,1,1.1255,1.7797,0.49081,0.81607,1.5845,2.1835,0.2957,0.33354,1.9997
0.5,1,1.1225,1.7802,0.49067,0.8151,1.5889,2.1833,0.30419,0.33247,1.9943
0.5,1,1.1239,1.7878,0.493,0.82125,1.5933,2.18,0.31279,0.31789,1.9988
0.5,1,1.1232,1.7919,0.4945,0.82385,1.5979,2.1782,0.32166,0.30984,1.9988
0.5,1,1.1227,1.7964,0.49537,0.82624,1.6027,2.1764,0.33078,0.30198,1.9988
0.5,1,1.1223,1.8013,0.49588,0.83062,1.6074,2.1747,0.33999,0.29421,1.9987
0.5,1,1.1219,1.8062,0.49636,0.83513,1.6122,2.173,0.34927,0.2865,1.9987
0.5,1,1.1213,1.8109,0.49724,0.83754,1.6171,2.1712,0.35865,0.2789,1.9987
0.5,1,1.1209,1.8158,0.49787,0.83988,1.622,2.1696,0.36814,0.27139,1.9987
0.5,1,1.121,1.8217,0.49856,0.84603,1.627,2.1676,0.37789,0.2627,1.9997
0.5,1,1.1205,1.8267,0.49923,0.84873,1.632,2.166,0.38755,0.25535,1.9997
0.5,1,1.1196,1.831,0.4994,0.85117,1.637,2.1646,0.3971,0.24938,1.9986
0.5,1,1.1191,1.836,0.50011,0.85358,1.6421,2.163,0.40695,0.24223,1.9986
0.5,1,1.1192,1.8423,0.5011,0.86016,1.6474,2.1611,0.4172,0.23365,1.9999
0.5,1,1.1182,1.8464,0.50124,0.86149,1.6524,2.1599,0.42691,0.22819,1.9985
0.5,1,1.1177,1.8516,0.50188,0.86505,1.6577,2.1583,0.43701,0.22128,1.9985
0.5,1,1.1171,1.8567,0.50264,0.86751,1.663,2.1568,0.44723,0.2145,1.9985
0.5,1,1.1171,1.8631,0.50352,0.87279,1.6685,2.155,0.45789,0.20654,1.9997
0.5,1,1.1161,1.8674,0.50385,0.87555,1.6737,2.1538,0.46793,0.20119,1.9984
0.5,1,1.1156,1.8727,0.50448,0.87909,1.6791,2.1523,0.47842,0.19466,1.9984
0.5,1,1.115,1.8778,0.50537,0.88162,1.6846,2.1509,0.489,0.18823,1.9984
0.5,1,1.1143,1.883,0.50625,0.88417,1.6901,2.1495,0.49971,0.18194,1.9983
0.5,1,1.1136,1.8947,0.50823,0.89336,1.7016,2.1464,0.5219,0.16833,1.9996
0.5,1,1.1127,1.8993,0.50809,0.89572,1.7071,2.1454,0.5324,0.16356,1.9982
0.5,1,1.112,1.9113,0.51,0.9043,1.7189,2.1424,0.55523,0.15051,1.9996
0.5,1,1.1114,1.9167,0.51079,0.9074,1.7247,2.1411,0.56649,0.14471,1.9996
0.5,1,1.1102,1.9208,0.51117,0.91008,1.7303,2.1401,0.57719,0.14026,1.998
0.5,1,1.1094,1.9261,0.51209,0.91265,1.7362,2.1389,0.58861,0.13464,1.998
0.5,1,1.1087,1.9315,0.51298,0.91522,1.7421,2.1376,0.60011,0.1291,1.9979
0.5,1,1.1081,1.937,0.5137,0.91858,1.7481,2.1364,0.6117,0.12366,1.9978
0.5,1,1.108,1.9441,0.51497,0.9244,1.7545,2.1349,0.62405,0.11697,1.9996
0.5,1,1.1069,1.9483,0.51498,0.92696,1.7602,2.134,0.63505,0.11294,1.9977
0.5,1,1.1053,1.9591,0.51687,0.93288,1.7725,2.1317,0.65879,0.10261,1.9975
0.5,1,1.1047,1.965,0.51742,0.93706,1.7787,2.1305,0.67075,0.097509,1.9975
0.5,1,1.1042,1.9709,0.51784,0.94132,1.7849,2.1294,0.68276,0.092488,1.9974
0.5,1,1.1034,1.9765,0.5187,0.94389,1.7912,2.1283,0.69489,0.087563,1.9973
0.5,1,1.1033,1.9837,0.52042,0.94869,1.798,2.1269,0.70805,0.081447,1.9994
0.5,1,1.1029,1.99,0.52073,0.95301,1.8044,2.1258,0.72033,0.076639,1.9994
0.5,1,1.1021,1.9956,0.52165,0.9556,1.8108,2.1248,0.73268,0.071911,1.9994
0.5,1,1.1004,1.9991,0.52188,0.95851,1.8167,2.124,0.74402,0.068524,1.9968
0.5,1,1.0996,2.0047,0.52275,0.96112,1.8231,2.123,0.7565,0.063959,1.9967
0.5,1,1.0999,2.0131,0.52396,0.96757,1.8302,2.1217,0.77018,0.058144,1.9993
0.5,1,1.0991,2.0188,0.52491,0.97017,1.8367,2.1207,0.7828,0.053672,1.9992
0.5,1,1.0968,2.0283,0.52532,0.9754,1.8493,2.119,0.80697,0.046196,1.9961
0.5,1,1.0959,2.0338,0.52621,0.97806,1.8559,2.1181,0.81977,0.041953,1.9958
0.5,1,1.0949,2.0393,0.52714,0.98076,1.8625,2.1171,0.83264,0.037787,1.9955
0.5,1,1.0956,2.0486,0.52856,0.98703,1.8699,2.1159,0.84689,0.032283,1.999
0.5,1,1.0947,2.0543,0.52956,0.98968,1.8767,2.115,0.8599,0.028198,1.9989
0.5,1,1.0937,2.0598,0.53073,0.99246,1.8834,2.1141,0.87299,0.024183,1.9988
0.5,1,1.0936,2.0674,0.53111,0.99713,1.8904,2.1131,0.88638,0.019913,1.9998
0.5,1,1.0904,2.0678,0.53079,0.99388,1.8964,2.1127,0.89796,0.018096,1.9935
