a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.7,0.8,1.4321,1.6243,0.46541,0.68577,1.1545,2.1032,0,1,1.9997
0.7,0.8,1.4322,1.6289,0.46251,0.68678,1.1551,2.0995,0.00089202,0.98432,1.9998
0.7,0.8,1.4323,1.6336,0.46031,0.68297,1.1562,2.0959,0.0028088,0.96943,1.9998
0.7,0.8,1.4323,1.6382,0.4581,0.6842,1.1576,2.0925,0.0052501,0.95505,1.9998
0.7,0.8,1.4323,1.6427,0.45587,0.68541,1.1592,2.0892,0.0080975,0.94105,1.9998
0.7,0.8,1.4323,1.6471,0.45372,0.68662,1.1611,2.0859,0.011281,0.92739,1.9998
0.7,0.8,1.4322,1.6515,0.45145,0.68287,1.1631,2.0828,0.014755,0.914,1.9998
0.7,0.8,1.4324,1.6561,0.45074,0.68435,1.1655,2.0797,0.018898,0.90128,1.9998
0.7,0.8,1.4321,1.6602,0.45102,0.68629,1.1685,2.0772,0.024027,0.89058,1.999
0.7,0.8,1.4332,1.6649,0.45154,0.68755,1.1708,2.0739,0.028133,0.87671,1.9998
0.7,0.8,1.4337,1.6694,0.45196,0.6891,1.1735,2.0709,0.032673,0.86414,2
0.7,0.8,1.434,1.6738,0.4525,0.686,1.1762,2.0681,0.037433,0.85221,1.9998
0.7,0.8,1.4343,1.6783,0.45294,0.68765,1.1789,2.0652,0.042102,0.83998,1.9998
0.7,0.8,1.4347,1.6828,0.4534,0.68932,1.1817,2.0622,0.046797,0.82778,1.9998
0.7,0.8,1.435,1.6873,0.45399,0.69102,1.1844,2.0594,0.051513,0.81559,1.9998
0.7,0.8,1.4353,1.6918,0.45455,0.69273,1.1871,2.0565,0.056248,0.80343,1.9998
0.7,0.8,1.4358,1.6964,0.45516,0.69439,1.1898,2.0535,0.06091,0.79096,2
0.7,0.8,1.436,1.7009,0.45591,0.69159,1.1927,2.0507,0.06579,0.77916,1.9998
0.7,0.8,1.4363,1.7055,0.45648,0.69335,1.1955,2.0478,0.070591,0.76705,1.9998
0.7,0.8,1.4365,1.71,0.45726,0.69517,1.1983,2.0449,0.075421,0.75498,1.9998
0.7,0.8,1.4368,1.7147,0.4579,0.69698,1.2011,2.0421,0.080281,0.74293,1.9998
0.7,0.8,1.4364,1.719,0.45839,0.69911,1.2042,2.0396,0.085666,0.73251,1.999
0.7,0.8,1.4366,1.7237,0.4592,0.70098,1.207,2.0367,0.090591,0.72053,1.999
0.7,0.8,1.4376,1.7288,0.46012,0.70251,1.2096,2.0334,0.094968,0.70668,2
0.7,0.8,1.4378,1.7336,0.46091,0.70441,1.2125,2.0306,0.099954,0.69471,2
0.7,0.8,1.4378,1.7383,0.46164,0.70639,1.2154,2.0278,0.10509,0.68314,1.9998
0.7,0.8,1.4381,1.7432,0.46253,0.70831,1.2183,2.025,0.11009,0.67102,2
0.7,0.8,1.4381,1.748,0.46337,0.71031,1.2213,2.0222,0.11525,0.6593,2
0.7,0.8,1.4383,1.7529,0.46415,0.71228,1.2243,2.0194,0.12041,0.64751,2
0.7,0.8,1.4382,1.7578,0.465,0.7129,1.2274,2.0167,0.12574,0.63613,1.9998
0.7,0.8,1.4384,1.7628,0.46591,0.71641,1.2304,2.0138,0.13096,0.62427,2
0.7,0.8,1.4384,1.7678,0.46676,0.71849,1.2335,2.0111,0.13632,0.6127,2
0.7,0.8,1.4383,1.7728,0.46771,0.72066,1.2367,2.0084,0.1418,0.60143,1.9998
0.7,0.8,1.4383,1.7779,0.46871,0.72283,1.2399,2.0057,0.14728,0.58999,1.9998
0.7,0.8,1.4382,1.7829,0.46994,0.72508,1.2431,2.003,0.15285,0.57863,1.9998
0.7,0.8,1.4381,1.788,0.47091,0.72729,1.2464,2.0003,0.1585,0.56735,1.9998
0.7,0.8,1.438,1.7932,0.47207,0.72958,1.2497,1.9976,0.16425,0.55617,1.9998
0.7,0.8,1.4348,1.7961,0.47249,0.7289,1.2542,1.9968,0.17197,0.55269,1.9958
0.7,0.8,1.4377,1.8037,0.47439,0.73418,1.2565,1.9923,0.17599,0.53381,2
0.7,0.8,1.437,1.8085,0.4752,0.73672,1.2603,1.9901,0.18244,0.52453,1.9991
0.7,0.8,1.4373,1.8143,0.4766,0.73892,1.2637,1.9872,0.18833,0.5123,2
0.7,0.8,1.437,1.8197,0.47766,0.7413,1.2674,1.9847,0.19472,0.50175,2
0.7,0.8,1.4362,1.8245,0.47868,0.74394,1.2714,1.9826,0.20161,0.49291,1.9991
0.7,0.8,1.4358,1.8298,0.47991,0.7464,1.2754,1.9802,0.20846,0.48282,1.9991
