a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.8,1.2,0.80421,1.6554,0.6407,0.93925,2.3084,3.1717,0,1,1.6
0.8,1.2,0.80441,1.6619,0.63799,0.93304,2.3084,3.1643,5.1623e-05,0.98333,1.6
0.8,1.2,0.80477,1.6747,0.63307,0.94332,2.3087,3.1498,0.00085215,0.95055,1.6
0.8,1.2,0.80492,1.6811,0.63068,0.93292,2.309,3.1429,0.0017734,0.93488,1.6
0.8,1.2,0.80512,1.6875,0.62828,0.94456,2.3093,3.1357,0.0024834,0.91861,1.6
0.8,1.2,0.80525,1.6938,0.62569,0.94735,2.3097,3.1287,0.0036314,0.903,1.6
0.8,1.2,0.80542,1.7002,0.62336,0.95015,2.3102,3.1218,0.004914,0.88744,1.6
0.8,1.2,0.80554,1.7064,0.62082,0.94853,2.3108,3.1151,0.0064622,0.87222,1.6
0.8,1.2,0.80569,1.7127,0.61857,0.9513,2.3114,3.1084,0.008183,0.85714,1.6
0.8,1.2,0.80581,1.719,0.6161,0.95401,2.3121,3.1018,0.010082,0.84219,1.6
0.8,1.2,0.80591,1.7251,0.61368,0.95242,2.3129,3.0953,0.012237,0.82757,1.6
0.8,1.2,0.80602,1.7313,0.61129,0.9551,2.3137,3.0889,0.014568,0.81308,1.6
0.8,1.2,0.80613,1.7374,0.60896,0.95354,2.3147,3.0826,0.017105,0.79879,1.6
0.8,1.2,0.80622,1.7435,0.60666,0.95618,2.3157,3.0763,0.019843,0.78469,1.6
0.8,1.2,0.80629,1.7495,0.60442,0.95466,2.3168,3.0703,0.022895,0.77106,1.6
0.8,1.2,0.80639,1.7555,0.60221,0.95726,2.3179,3.0642,0.026037,0.75737,1.6
0.8,1.2,0.80648,1.7615,0.5998,0.95981,2.3191,3.0581,0.029271,0.74357,1.6
0.8,1.2,0.80657,1.7675,0.59768,0.96236,2.3204,3.0522,0.03283,0.73028,1.6
0.8,1.2,0.80662,1.7733,0.59543,0.96081,2.3218,3.0464,0.036614,0.71724,1.6
0.8,1.2,0.80653,1.7786,0.5934,0.95148,2.3235,3.0414,0.041222,0.70597,1.5998
0.8,1.2,0.80674,1.7849,0.59108,0.96576,2.3248,3.0351,0.044743,0.69161,1.6
0.8,1.2,0.8068,1.7906,0.58901,0.96422,2.3264,3.0296,0.049141,0.67917,1.6
0.8,1.2,0.80686,1.7963,0.58697,0.96663,2.3281,3.0241,0.053712,0.66683,1.6
0.8,1.2,0.8069,1.802,0.58487,0.96786,2.3298,3.0187,0.058507,0.65474,1.6
0.8,1.2,0.80695,1.8075,0.58297,0.96745,2.3317,3.0135,0.063521,0.64291,1.6
0.8,1.2,0.807,1.8131,0.581,0.96977,2.3336,3.0083,0.068705,0.63116,1.6
0.8,1.2,0.80705,1.8185,0.57912,0.96823,2.3355,3.0032,0.07413,0.61974,1.6
0.8,1.2,0.8071,1.8239,0.57731,0.97049,2.3376,2.9982,0.079735,0.60844,1.6
0.8,1.2,0.80715,1.8293,0.57547,0.97271,2.3397,2.9933,0.085529,0.59728,1.6
0.8,1.2,0.80718,1.8345,0.57385,0.97116,2.3419,2.9886,0.091612,0.58669,1.6
0.8,1.2,0.80726,1.8398,0.57215,0.97332,2.3442,2.9837,0.097764,0.57574,1.6
0.8,1.2,0.80733,1.845,0.57056,0.97545,2.3465,2.9791,0.10416,0.56516,1.6
0.8,1.2,0.80739,1.8501,0.56902,0.97386,2.349,2.9745,0.11077,0.55489,1.6
0.8,1.2,0.80747,1.8552,0.56761,0.97593,2.3514,2.97,0.11756,0.54477,1.6
0.8,1.2,0.80756,1.8602,0.56625,0.97796,2.354,2.9656,0.12455,0.5348,1.6
0.8,1.2,0.80765,1.8652,0.56499,0.97635,2.3566,2.9613,0.13172,0.52504,1.6
0.8,1.2,0.80776,1.8701,0.56381,0.97831,2.3593,2.957,0.13906,0.51538,1.6
0.8,1.2,0.80788,1.875,0.56271,0.98024,2.3621,2.9528,0.14659,0.50596,1.6
0.8,1.2,0.808,1.8797,0.56172,0.97861,2.3649,2.9488,0.15429,0.49678,1.6
0.8,1.2,0.80814,1.8845,0.56081,0.98048,2.3678,2.9447,0.16215,0.48767,1.6
0.8,1.2,0.8083,1.8892,0.55999,0.98232,2.3707,2.9407,0.17018,0.47869,1.6
0.8,1.2,0.80845,1.8939,0.55924,0.98067,2.3737,2.9369,0.17836,0.46995,1.6
0.8,1.2,0.80862,1.8985,0.5586,0.98246,2.3767,2.933,0.18669,0.46131,1.6
0.8,1.2,0.8088,1.9031,0.55799,0.98423,2.3798,2.9293,0.19516,0.45277,1.6
0.8,1.2,0.80898,1.9076,0.55747,0.98258,2.383,2.9256,0.20377,0.44447,1.6
0.8,1.2,0.80913,1.9119,0.55708,0.98098,2.3862,2.9221,0.21252,0.43656,1.5999
0.8,1.2,0.80938,1.9165,0.55664,0.98601,2.3894,2.9183,0.22137,0.42805,1.6
0.8,1.2,0.80957,1.9209,0.5563,0.98438,2.3927,2.9148,0.23035,0.4201,1.6
0.8,1.2,0.80972,1.9251,0.55602,0.9828,2.3961,2.9114,0.23943,0.41254,1.5999
0.8,1.2,0.80998,1.9296,0.55576,0.98771,2.3994,2.9078,0.24864,0.40435,1.6
0.8,1.2,0.81018,1.9339,0.55557,0.98611,2.4028,2.9044,0.25793,0.39672,1.6
0.8,1.2,0.8104,1.9382,0.55538,0.98775,2.4063,2.901,0.26733,0.38906,1.6
0.8,1.2,0.8106,1.9424,0.55522,0.98937,2.4097,2.8977,0.27682,0.38155,1.6
0.8,1.2,0.81079,1.9466,0.55507,0.98781,2.4132,2.8944,0.28638,0.37419,1.6
0.8,1.2,0.81095,1.9507,0.55492,0.9863,2.4168,2.8913,0.29602,0.3671,1.6
0.8,1.2,0.8112,1.955,0.55482,0.99101,2.4203,2.8879,0.30579,0.35951,1.6
0.8,1.2,0.81139,1.9591,0.55473,0.98949,2.4239,2.8848,0.31559,0.35237,1.6
0.8,1.2,0.81154,1.963,0.5546,0.98802,2.4275,2.8817,0.32545,0.34552,1.6
0.8,1.2,0.81178,1.9672,0.55455,0.99264,2.4312,2.8785,0.33544,0.33815,1.6
0.8,1.2,0.81191,1.9711,0.55445,0.98817,2.4349,2.8755,0.34544,0.3315,1.6
0.8,1.2,0.81209,1.9751,0.55436,0.98973,2.4386,2.8725,0.35551,0.32457,1.6
0.8,1.2,0.81233,1.9793,0.55436,0.99427,2.4423,2.8693,0.36571,0.31738,1.6
0.8,1.2,0.81249,1.9832,0.5543,0.99283,2.446,2.8663,0.37592,0.31064,1.6
0.8,1.2,0.81267,1.9871,0.55423,0.99436,2.4498,2.8633,0.38619,0.30389,1.6
