a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,0.6,1.6332,0.88809,0.19324,0.64155,0.5894,1.1852,0,1,2
0,0.6,1.6331,0.89214,0.19215,0.64391,0.58951,1.182,0.00030087,0.98337,1.9998
0,0.6,1.6334,0.89632,0.19113,0.64644,0.58953,1.1786,0.00035561,0.96612,2
0,0.6,1.6334,0.90045,0.18993,0.64017,0.58965,1.1753,0.0007111,0.94938,2
0,0.6,1.6333,0.90458,0.18876,0.64264,0.58983,1.172,0.0012179,0.93283,2
0,0.6,1.6333,0.90874,0.18762,0.64512,0.59003,1.1688,0.0018076,0.91633,2
0,0.6,1.633,0.91286,0.18632,0.64763,0.59033,1.1656,0.0026787,0.90029,1.9998
0,0.6,1.633,0.91711,0.1851,0.65004,0.59058,1.1623,0.0033901,0.88374,2
0,0.6,1.6327,0.92133,0.18374,0.6525,0.59092,1.1592,0.0043693,0.8676,2
0,0.6,1.6323,0.92549,0.1826,0.64673,0.59138,1.1561,0.0057118,0.85208,1.9998
0,0.6,1.632,0.92971,0.18127,0.64924,0.59184,1.153,0.0070449,0.83634,1.9998
0,0.6,1.6317,0.93393,0.18011,0.65174,0.59237,1.1499,0.0085639,0.82078,1.9998
0,0.6,1.6314,0.93821,0.17877,0.65419,0.59292,1.1468,0.010143,0.80511,2
0,0.6,1.631,0.94244,0.17758,0.65669,0.59359,1.1439,0.012086,0.78999,2
0,0.6,1.6306,0.94665,0.17634,0.65117,0.59434,1.1409,0.014263,0.7751,2
0,0.6,1.63,0.95077,0.1752,0.65374,0.59523,1.1381,0.016826,0.7608,1.9998
0,0.6,1.6297,0.9549,0.1742,0.65615,0.59617,1.1353,0.019542,0.74647,1.9998
0,0.6,1.6297,0.95897,0.17346,0.65849,0.59723,1.1325,0.022594,0.73248,1.9998
0,0.6,1.6302,0.96301,0.17305,0.66066,0.59837,1.1298,0.025882,0.71853,2
0,0.6,1.6307,0.96684,0.173,0.65519,0.59968,1.1272,0.029689,0.70551,1.9998
0,0.6,1.6315,0.97067,0.17309,0.65731,0.60104,1.1246,0.033614,0.69241,1.9998
0,0.6,1.6318,0.97419,0.17341,0.6597,0.60265,1.1224,0.038266,0.68113,1.999
0,0.6,1.6333,0.97822,0.17362,0.66146,0.60395,1.1196,0.042018,0.66677,1.9998
0,0.6,1.6344,0.98202,0.1739,0.66348,0.60545,1.117,0.046336,0.65385,2
