a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,1.8,0.57619,1.3859,0.56224,0.9815,2.6702,3.2279,0,1,1.6
0,1.8,0.57628,1.3887,0.56089,0.98794,2.6703,3.2228,0.00033303,0.98325,1.6
0,1.8,0.57638,1.3911,0.55982,1,2.6703,3.2177,0.0005106,0.96613,1.6
0,1.8,0.5765,1.3948,0.55812,0.99975,2.6705,3.2127,0.0012904,0.94983,1.6
0,1.8,0.57662,1.3984,0.55654,0.99995,2.6707,3.2079,0.0022676,0.93372,1.6
0,1.8,0.57673,1.4019,0.55487,1,2.671,3.2031,0.0034717,0.91783,1.6
0,1.8,0.57684,1.4055,0.55323,0.99999,2.6713,3.1984,0.0048918,0.90216,1.6
0,1.8,0.57695,1.409,0.55168,1,2.6717,3.1937,0.006521,0.8867,1.6
0,1.8,0.57705,1.4125,0.55006,1,2.6721,3.1891,0.0083616,0.87146,1.6
0,1.8,0.57715,1.416,0.54845,1,2.6725,3.1846,0.010405,0.85641,1.6
0,1.8,0.57725,1.4194,0.54686,1,2.673,3.1801,0.012646,0.84156,1.6
0,1.8,0.57734,1.423,0.54525,0.99775,2.6736,3.1759,0.015452,0.82752,1.6
0,1.8,0.57745,1.4263,0.54381,1,2.6741,3.1713,0.017726,0.81247,1.6
0,1.8,0.57754,1.4296,0.54227,1,2.6748,3.167,0.020548,0.7982,1.6
0,1.8,0.57763,1.433,0.54074,1,2.6754,3.1628,0.023561,0.78412,1.6
0,1.8,0.57771,1.4363,0.53923,1,2.6761,3.1586,0.026752,0.77023,1.6
0,1.8,0.5778,1.4396,0.53781,0.99999,2.6769,3.1545,0.030127,0.75651,1.6
0,1.8,0.57789,1.4429,0.53633,1,2.6777,3.1504,0.033675,0.74297,1.6
0,1.8,0.57797,1.4462,0.53487,1,2.6785,3.1463,0.03739,0.7296,1.6
0,1.8,0.57805,1.4494,0.53342,0.99999,2.6793,3.1424,0.041277,0.71639,1.6
0,1.8,0.57813,1.4527,0.532,1,2.6802,3.1384,0.045321,0.70335,1.6
0,1.8,0.57821,1.4559,0.53066,0.99995,2.6812,3.1345,0.049538,0.69048,1.6
0,1.8,0.57829,1.4591,0.52926,0.99999,2.6821,3.1307,0.053892,0.67774,1.6
0,1.8,0.57836,1.4623,0.52788,0.99996,2.6831,3.1269,0.058414,0.66518,1.6
0,1.8,0.57843,1.4654,0.52652,0.99979,2.6842,3.1232,0.063121,0.65284,1.6
0,1.8,0.57852,1.4685,0.52524,1,2.6852,3.1194,0.067858,0.64043,1.6
0,1.8,0.57859,1.4717,0.52392,1,2.6863,3.1158,0.072795,0.62828,1.6
0,1.8,0.57866,1.4748,0.52261,0.99996,2.6874,3.1122,0.077876,0.61628,1.6
0,1.8,0.57874,1.4779,0.52137,1,2.6886,3.1086,0.083067,0.60437,1.6
0,1.8,0.57881,1.4809,0.5201,1,2.6898,3.105,0.088399,0.59261,1.6
0,1.8,0.57888,1.484,0.51885,0.99999,2.691,3.1015,0.093868,0.58099,1.6
0,1.8,0.57895,1.487,0.51762,0.99997,2.6922,3.0981,0.09948,0.56952,1.6
0,1.8,0.57902,1.4901,0.51641,1,2.6935,3.0946,0.10521,0.55814,1.6
0,1.8,0.57909,1.4931,0.51518,0.99997,2.6948,3.0913,0.1111,0.54696,1.6
0,1.8,0.57916,1.496,0.51401,0.99997,2.6961,3.0879,0.11714,0.5359,1.6
0,1.8,0.57922,1.499,0.51283,0.99997,2.6975,3.0846,0.12331,0.52498,1.6
0,1.8,0.57937,1.502,0.51252,0.99937,2.699,3.0816,0.12994,0.51484,1.6
0,1.8,0.5797,1.505,0.51384,0.99944,2.7005,3.0785,0.13674,0.50455,1.6
0,1.8,0.57995,1.5106,0.5136,1,2.7037,3.0725,0.15128,0.48457,1.6
0,1.8,0.57993,1.5132,0.5125,1,2.7054,3.0696,0.15892,0.47512,1.6
0,1.8,0.57992,1.5159,0.51142,1,2.7071,3.0668,0.16668,0.46578,1.6
0,1.8,0.5799,1.5185,0.51037,0.9999,2.7088,3.064,0.1746,0.45669,1.6
0,1.8,0.57989,1.5211,0.50933,1,2.7106,3.0613,0.18255,0.44747,1.6
0,1.8,0.57988,1.5236,0.50832,1,2.7124,3.0585,0.19065,0.43847,1.6
0,1.8,0.57988,1.5262,0.50733,1,2.7142,3.0559,0.19887,0.4296,1.6
0,1.8,0.57987,1.5287,0.50636,1,2.716,3.0532,0.20719,0.42082,1.6
0,1.8,0.57987,1.5313,0.50542,1,2.7179,3.0506,0.21561,0.41215,1.6
0,1.8,0.57986,1.5338,0.5045,1,2.7198,3.048,0.22414,0.40359,1.6
