a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,2,0.64997,1.6148,0.55384,0.87932,2.6115,3.3473,0,1,1.8
0,2,0.65,1.6181,0.55157,0.89576,2.6115,3.3426,1.7855e-05,0.98272,1.8
0,2,0.64997,1.6215,0.54918,0.89052,2.6117,3.3382,0.00058865,0.96641,1.8
0,2,0.64995,1.6249,0.54645,0.89597,2.6118,3.3336,0.00096656,0.94953,1.8
0,2,0.64994,1.6283,0.54413,0.89784,2.612,3.3291,0.0016757,0.93316,1.8
0,2,0.64987,1.6316,0.54147,0.89625,2.6124,3.3248,0.0027239,0.9173,1.8
0,2,0.64983,1.635,0.53874,0.90171,2.6126,3.3203,0.0036402,0.90093,1.8
0,2,0.64972,1.6382,0.53577,0.90019,2.6131,3.3161,0.0049852,0.88524,1.8
0,2,0.64959,1.6414,0.53297,0.90216,2.6136,3.312,0.0066797,0.87005,1.8
0,2,0.64948,1.6447,0.52997,0.90419,2.6141,3.3077,0.008346,0.85446,1.8
0,2,0.64929,1.6478,0.52668,0.90629,2.6148,3.3036,0.01043,0.83949,1.8
0,2,0.64906,1.6507,0.52338,0.90495,2.6156,3.2997,0.012954,0.82515,1.8
0,2,0.64877,1.6537,0.51972,0.90718,2.6164,3.2959,0.015683,0.81084,1.8
0,2,0.6484,1.6566,0.51548,0.9096,2.6174,3.292,0.018701,0.79662,1.8
0,2,0.64793,1.6592,0.51121,0.91211,2.6186,3.2884,0.022448,0.78355,1.8
0,2,0.64748,1.6619,0.50697,0.9146,2.6198,3.2848,0.026493,0.77031,1.8
0,2,0.6472,1.6645,0.50411,0.91316,2.6213,3.2815,0.031159,0.75801,1.8
0,2,0.64706,1.6671,0.5021,0.91488,2.6229,3.2782,0.036121,0.74597,1.8
0,2,0.64695,1.6693,0.50113,0.9129,2.6247,3.2755,0.041841,0.73611,1.7997
0,2,0.64702,1.6724,0.49945,0.91776,2.6262,3.2718,0.046637,0.72242,1.8
0,2,0.64703,1.675,0.49835,0.91567,2.6279,3.2687,0.052151,0.71099,1.8
0,2,0.64708,1.6776,0.49744,0.91692,2.6297,3.2656,0.057742,0.69953,1.8
0,2,0.64715,1.6802,0.49668,0.91812,2.6315,3.2625,0.063482,0.68827,1.8
0,2,0.64726,1.6828,0.49623,0.91919,2.6333,3.2595,0.069423,0.67728,1.8
0,2,0.64751,1.6853,0.49649,0.91996,2.6353,3.2566,0.075622,0.6665,1.8
0,2,0.64777,1.6879,0.49693,0.91825,2.6373,3.2537,0.082082,0.65592,1.8
0,2,0.64801,1.6903,0.49745,0.91801,2.6394,3.251,0.0888,0.64599,1.7999
0,2,0.64826,1.6927,0.49792,0.91871,2.6416,3.2483,0.095586,0.6358,1.7999
0,2,0.6485,1.6952,0.49814,0.91945,2.6437,3.2454,0.10243,0.62539,1.8
0,2,0.64873,1.6977,0.49859,0.92015,2.6459,3.2427,0.10941,0.6154,1.8
0,2,0.64891,1.7,0.49889,0.91785,2.6481,3.2401,0.11651,0.60581,1.7999
0,2,0.64914,1.7024,0.49915,0.92167,2.6504,3.2373,0.12356,0.59555,1.8
0,2,0.64931,1.7047,0.49945,0.91922,2.6526,3.2347,0.13076,0.58612,1.7999
0,2,0.6495,1.707,0.49976,0.91999,2.6549,3.2321,0.13796,0.57636,1.7999
0,2,0.64969,1.7094,0.49999,0.92077,2.6572,3.2294,0.1452,0.56655,1.7999
0,2,0.64988,1.7118,0.50016,0.92156,2.6594,3.2267,0.15245,0.55662,1.8
0,2,0.65005,1.7141,0.5003,0.92238,2.6617,3.2241,0.15976,0.54697,1.8
0,2,0.65022,1.7164,0.50051,0.92319,2.6641,3.2215,0.16711,0.53735,1.8
0,2,0.65037,1.7187,0.50064,0.9209,2.6664,3.2189,0.17448,0.52774,1.8
0,2,0.65051,1.721,0.50087,0.92171,2.6687,3.2163,0.1819,0.51842,1.7999
0,2,0.65067,1.7233,0.50109,0.92253,2.671,3.2137,0.18932,0.50888,1.7999
0,2,0.65084,1.7256,0.5012,0.92336,2.6734,3.2111,0.19675,0.49912,1.8
0,2,0.65099,1.7279,0.50132,0.92421,2.6757,3.2085,0.20423,0.48963,1.8
0,2,0.65113,1.7302,0.50147,0.92506,2.6781,3.2059,0.21174,0.48018,1.8
0,2,0.65126,1.7325,0.50154,0.9257,2.6805,3.2034,0.21928,0.47076,1.8
0,2,0.65137,1.7347,0.50161,0.92377,2.6829,3.2009,0.22686,0.46167,1.7999
0,2,0.6515,1.737,0.50177,0.92463,2.6852,3.1984,0.23444,0.45229,1.7999
0,2,0.65166,1.7393,0.50185,0.92548,2.6876,3.1957,0.242,0.44259,1.8
0,2,0.65179,1.7416,0.50187,0.92637,2.69,3.1932,0.24961,0.43318,1.8
0,2,0.65191,1.7439,0.50195,0.92726,2.6924,3.1906,0.25724,0.4239,1.8
0,2,0.65204,1.7462,0.5021,0.92812,2.6948,3.1881,0.26489,0.41453,1.8
