a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
1,1,1.7575,1.6467,0.78613,0.52132,1.1749,2.7659,0,1,3.1756
1,1,1.7592,1.6536,0.78246,0.5224,1.1749,2.7584,3.0366e-05,0.98342,3.1686
1,1,1.7597,1.6608,0.77887,0.52071,1.175,2.7508,0.00010512,0.96669,3.1578
1,1,1.7617,1.6678,0.77513,0.52017,1.1751,2.7432,0.00023676,0.95002,3.1519
1,1,1.7621,1.6751,0.77271,0.52247,1.1753,2.7359,0.00040377,0.93419,3.1458
1,1,1.7636,1.6823,0.76902,0.52179,1.1755,2.7284,0.00063536,0.91762,3.1386
1,1,1.7643,1.6896,0.76541,0.52034,1.1757,2.7209,0.00091344,0.90109,3.129
1,1,1.7653,1.6978,0.76258,0.52249,1.1761,2.7129,0.0012715,0.88367,3.1239
1,1,1.7669,1.7047,0.75911,0.52377,1.1764,2.7059,0.0016327,0.8682,3.118
1,1,1.7676,1.7129,0.75627,0.52608,1.1769,2.698,0.0021048,0.85089,3.1121
1,1,1.7695,1.7199,0.75283,0.5224,1.1773,2.691,0.0025657,0.83555,3.1075
1,1,1.7696,1.7282,0.74967,0.52433,1.1779,2.6831,0.0031498,0.81832,3.0984
1,1,1.7721,1.7354,0.7466,0.5252,1.1785,2.6762,0.0037122,0.80307,3.0975
1,1,1.7723,1.7435,0.74284,0.52756,1.1791,2.6684,0.0044098,0.78596,3.0865
1,1,1.7749,1.7514,0.74022,0.52334,1.1798,2.6611,0.0051084,0.77002,3.088
1,1,1.7751,1.7595,0.73775,0.5258,1.1805,2.6538,0.005872,0.75398,3.082
1,1,1.7775,1.7672,0.73407,0.52672,1.1813,2.6465,0.0066855,0.73799,3.0791
1,1,1.7771,1.7755,0.73167,0.52437,1.1822,2.6393,0.0075537,0.72205,3.0711
1,1,1.7806,1.7836,0.72901,0.52496,1.1831,2.632,0.0084809,0.706,3.0759
1,1,1.7804,1.7919,0.72648,0.52763,1.184,2.6247,0.0094538,0.69017,3.0683
1,1,1.7832,1.7997,0.72302,0.52325,1.185,2.6176,0.010464,0.67455,3.0678
1,1,1.7836,1.8081,0.72062,0.52559,1.186,2.6105,0.011535,0.65881,3.0629
1,1,1.7827,1.8167,0.71821,0.52378,1.1871,2.6033,0.012696,0.64317,3.0534
1,1,1.7802,1.826,0.7156,0.52302,1.1884,2.5963,0.014042,0.62771,3.0385
1,1,1.7794,1.8361,0.71349,0.5218,1.1899,2.5893,0.015562,0.61242,3.031
1,1,1.7766,1.8463,0.7107,0.52162,1.1916,2.5824,0.017285,0.59716,3.0151
1,1,1.7749,1.857,0.70765,0.52575,1.1934,2.5756,0.0192,0.58224,3.0019
1,1,1.7729,1.8682,0.70497,0.52552,1.1955,2.5689,0.021317,0.56758,2.9893
1,1,1.7707,1.8797,0.70185,0.5255,1.1978,2.5624,0.023659,0.55326,2.975
1,1,1.7686,1.8919,0.6983,0.53016,1.2003,2.5558,0.026296,0.53895,2.9599
1,1,1.7652,1.9037,0.69571,0.53444,1.2031,2.5496,0.029177,0.52517,2.9439
1,1,1.7622,1.9157,0.69233,0.53593,1.206,2.5436,0.032222,0.51221,2.9273
1,1,1.7583,1.9286,0.68966,0.54178,1.2096,2.5373,0.035915,0.49836,2.91
1,1,1.7539,1.941,0.686,0.54492,1.2134,2.5315,0.03983,0.48547,2.8888
1,1,1.7494,1.9536,0.68268,0.54908,1.2176,2.5258,0.044133,0.47298,2.8687
1,1,1.7455,1.9656,0.67991,0.55448,1.2218,2.5206,0.048535,0.46172,2.8522
