a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.4,2,0.79995,1.8268,0.84841,0.70249,2.6383,3.1879,3.9417,0,0.58063,1,2.342
0.4,2,0.79888,1.8297,0.84573,0.68947,2.6384,3.1835,3.937,7.8325e-05,0.56569,0.98856,2.3344
0.4,2,0.79777,1.8326,0.84295,0.67755,2.6385,3.1791,3.9328,0.00027524,0.55062,0.97812,2.3268
0.4,2,0.7966,1.8348,0.84072,0.70181,2.6387,3.1749,3.9277,0.00056923,0.53635,0.9655,2.3196
0.4,2,0.79541,1.8374,0.83814,0.69007,2.639,3.1705,3.9236,0.0010008,0.52157,0.95534,2.3119
0.4,2,0.79426,1.84,0.83558,0.70835,2.6393,3.1664,3.9185,0.0015379,0.50756,0.94294,2.3046
0.4,2,0.79301,1.8424,0.83311,0.7017,2.6398,3.1622,3.9145,0.0022071,0.49313,0.93283,2.297
0.4,2,0.79184,1.8451,0.8304,0.71501,2.6403,3.1581,3.9096,0.003005,0.47937,0.92084,2.2896
0.4,2,0.79059,1.8475,0.82782,0.71838,2.6409,3.154,3.9052,0.0039325,0.46547,0.9101,2.2821
0.4,2,0.7893,1.8499,0.82529,0.71677,2.6416,3.15,3.901,0.0049924,0.45167,0.89975,2.2745
0.4,2,0.788,1.8522,0.82272,0.72037,2.6424,3.146,3.8968,0.0061898,0.43808,0.88934,2.267
0.4,2,0.78667,1.8546,0.82013,0.71998,2.6433,3.142,3.8927,0.007529,0.42465,0.87907,2.2594
0.4,2,0.78533,1.8569,0.81751,0.72314,2.6443,3.1382,3.8885,0.0090119,0.41143,0.86874,2.2518
0.4,2,0.7839,1.8588,0.81516,0.72087,2.6453,3.1342,3.8849,0.010624,0.3981,0.85995,2.2442
0.4,2,0.78256,1.8613,0.81235,0.72936,2.6465,3.1305,3.8805,0.012415,0.3854,0.84901,2.2366
0.4,2,0.78113,1.8634,0.80976,0.72954,2.6478,3.1268,3.8766,0.014344,0.37262,0.83948,2.229
