a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.7,0.5,2.1522,1.3863,0.39563,0.63008,0.66995,1.2185,1.5564,0,0.71872,1,2
0.7,0.5,2.153,1.3916,0.39677,0.62661,0.67004,1.2138,1.5539,0.00015487,0.70038,0.9897,2
0.7,0.5,2.1537,1.3968,0.39795,0.62913,0.67028,1.2093,1.5514,0.00058243,0.68241,0.9796,2
0.7,0.5,2.1543,1.4018,0.39916,0.63165,0.67072,1.2049,1.549,0.0013794,0.66484,0.97001,2
0.7,0.5,2.1547,1.4067,0.40042,0.62841,0.67139,1.2006,1.5468,0.0025921,0.64772,0.96101,2
0.7,0.5,2.155,1.4114,0.40171,0.63092,0.67227,1.1964,1.5446,0.0041936,0.63107,0.95243,2
0.7,0.5,2.1553,1.4159,0.40302,0.63338,0.67338,1.1923,1.5426,0.0062038,0.61491,0.94428,2
0.7,0.5,2.1553,1.4202,0.40437,0.63027,0.67475,1.1883,1.5408,0.0086828,0.59926,0.93685,2
0.7,0.5,2.1553,1.4244,0.40574,0.63273,0.6763,1.1845,1.539,0.01149,0.584,0.92975,2
0.7,0.5,2.1552,1.4285,0.40713,0.6352,0.67801,1.1807,1.5373,0.014569,0.56905,0.92298,2
0.7,0.5,2.155,1.4325,0.40856,0.6323,0.67982,1.177,1.5357,0.017856,0.55434,0.91648,2
0.7,0.5,2.1547,1.4365,0.41002,0.63486,0.68173,1.1733,1.5342,0.021303,0.53981,0.91019,1.9999
0.7,0.5,2.154,1.4404,0.41149,0.63751,0.68376,1.1697,1.5328,0.024978,0.5255,0.90449,1.9997
0.7,0.5,2.1538,1.4445,0.41301,0.63487,0.68574,1.1661,1.5312,0.028553,0.51118,0.89796,2
0.7,0.5,2.1531,1.4485,0.41456,0.63761,0.68785,1.1626,1.5297,0.032371,0.49707,0.89218,1.9999
0.7,0.5,2.1523,1.4525,0.41613,0.64039,0.69,1.159,1.5283,0.036267,0.48306,0.88643,1.9999
0.7,0.5,2.1516,1.4566,0.41772,0.64321,0.69219,1.1555,1.5269,0.040235,0.46914,0.88069,2
0.7,0.5,2.1503,1.4606,0.41932,0.64115,0.6945,1.152,1.5256,0.044406,0.45541,0.8756,1.9998
0.7,0.5,2.1482,1.4644,0.42089,0.64435,0.69701,1.1487,1.5247,0.048958,0.44202,0.87193,1.9989
0.7,0.5,2.1483,1.4689,0.42264,0.64712,0.6991,1.1451,1.5229,0.052737,0.42804,0.86451,2
0.7,0.5,2.1458,1.4727,0.42421,0.64564,0.70176,1.1418,1.5221,0.05754,0.41494,0.86142,1.9988
0.7,0.5,2.1454,1.4772,0.42599,0.64862,0.70399,1.1384,1.5204,0.061582,0.40121,0.85465,1.9997
0.7,0.5,2.1442,1.4816,0.42772,0.6518,0.70642,1.135,1.5191,0.065981,0.3878,0.84921,1.9999
0.7,0.5,2.1423,1.4858,0.42942,0.65049,0.70901,1.1317,1.518,0.070663,0.37467,0.84475,1.9997
0.7,0.5,2.1406,1.4902,0.43117,0.65389,0.71159,1.1284,1.5168,0.075332,0.36155,0.83996,1.9997
0.7,0.5,2.1392,1.4947,0.43296,0.65728,0.71416,1.1251,1.5155,0.079976,0.34843,0.83475,2
0.7,0.5,2.137,1.4991,0.4347,0.65638,0.71691,1.1218,1.5145,0.084958,0.33565,0.83073,1.9997
0.7,0.5,2.135,1.5037,0.43651,0.66001,0.71966,1.1186,1.5134,0.089927,0.32288,0.82631,1.9997
0.7,0.5,2.1331,1.5084,0.43839,0.65933,0.72241,1.1154,1.5122,0.094912,0.31013,0.82159,1.9999
