a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.7,1.2,0.59303,1.4728,0.68175,1,2.7818,2.8975,3.3179,0,0.002804,0.99918,1.4
0.7,1.2,0.59329,1.4737,0.68536,1,2.782,2.8971,3.318,0.00089158,0,1,1.4
0.7,1.2,0.59269,1.4772,0.67745,1,2.784,2.898,3.3133,0.0089035,0.0062625,0.97212,1.4
0.7,1.2,0.59201,1.4805,0.67192,1,2.7867,2.8994,3.3095,0.019707,0.016076,0.95001,1.4
0.7,1.2,0.59131,1.4838,0.66707,1,2.7896,2.9009,3.306,0.031379,0.026995,0.9297,1.4
0.7,1.2,0.5906,1.487,0.66259,1,2.7926,2.9025,3.3027,0.043581,0.038588,0.91049,1.4
0.7,1.2,0.58988,1.4902,0.65835,1,2.7957,2.9042,3.2996,0.056143,0.05064,0.89202,1.4
0.7,1.2,0.58916,1.4934,0.65433,0.99997,2.7989,2.906,3.2966,0.068991,0.063094,0.87438,1.4
0.7,1.2,0.58844,1.4967,0.65037,1,2.8021,2.9078,3.2936,0.082106,0.07581,0.85682,1.4
0.7,1.2,0.58772,1.4999,0.64656,1,2.8054,2.9096,3.2907,0.095416,0.088813,0.8399,1.4
0.7,1.2,0.587,1.5031,0.64284,1,2.8087,2.9115,3.2879,0.10893,0.10208,0.82341,1.4
0.7,1.2,0.58628,1.5063,0.6392,1,2.8121,2.9134,3.2851,0.12261,0.11555,0.80725,1.4
0.7,1.2,0.58558,1.509,0.63631,0.99955,2.8154,2.9153,3.2832,0.13608,0.12959,0.79594,1.3999
0.7,1.2,0.58486,1.5127,0.63211,1,2.819,2.9172,3.2798,0.15043,0.14309,0.77593,1.4
0.7,1.2,0.58415,1.5159,0.62866,1,2.8225,2.9192,3.2772,0.16456,0.15714,0.76075,1.4
0.7,1.2,0.58344,1.5191,0.62524,1,2.826,2.9212,3.2746,0.17882,0.17135,0.74576,1.4
0.7,1.2,0.58274,1.5223,0.62188,1,2.8296,2.9232,3.2721,0.19322,0.18574,0.7311,1.4
0.7,1.2,0.58205,1.5254,0.6186,0.99998,2.8331,2.9253,3.2697,0.2077,0.20027,0.71687,1.4
0.7,1.2,0.58136,1.5287,0.61529,1,2.8368,2.9273,3.2673,0.22235,0.21495,0.70251,1.4
0.7,1.2,0.58068,1.5319,0.61204,1,2.8404,2.9294,3.2649,0.23709,0.22977,0.68851,1.4
0.7,1.2,0.58001,1.5351,0.60884,1,2.8441,2.9315,3.2625,0.25194,0.24473,0.67477,1.4
0.7,1.2,0.57934,1.5383,0.60571,0.99998,2.8478,2.9336,3.2603,0.26685,0.25981,0.66147,1.4
0.7,1.2,0.57869,1.5415,0.60274,0.99991,2.8515,2.9358,3.2581,0.28177,0.27505,0.64907,1.4
0.7,1.2,0.57803,1.5448,0.59949,0.99998,2.8552,2.9379,3.2557,0.29705,0.29037,0.63505,1.4
0.7,1.2,0.57739,1.5481,0.59642,0.99998,2.859,2.9401,3.2535,0.31228,0.30583,0.62212,1.4
0.7,1.2,0.57676,1.5513,0.59336,1,2.8628,2.9423,3.2513,0.32764,0.3214,0.60917,1.4
0.7,1.2,0.57614,1.5546,0.59036,1,2.8666,2.9445,3.2492,0.34306,0.33708,0.59662,1.4
0.7,1.2,0.57553,1.5579,0.58739,1,2.8704,2.9467,3.2471,0.35856,0.35288,0.58423,1.4
0.7,1.2,0.57493,1.5612,0.58446,1,2.8743,2.9489,3.245,0.37414,0.36877,0.57202,1.4
0.7,1.2,0.57434,1.5645,0.58156,1,2.8782,2.9512,3.2429,0.38979,0.38475,0.55996,1.4
0.7,1.2,0.57377,1.5678,0.57869,1,2.882,2.9534,3.2409,0.40552,0.40083,0.54805,1.4
0.7,1.2,0.57321,1.5712,0.57586,1,2.8859,2.9557,3.2389,0.42132,0.41701,0.5363,1.4
0.7,1.2,0.57266,1.5745,0.57306,1,2.8899,2.958,3.2369,0.43718,0.43326,0.52466,1.4
0.7,1.2,0.57213,1.5779,0.57029,1,2.8938,2.9603,3.2349,0.45311,0.44959,0.51317,1.4
0.7,1.2,0.57161,1.5813,0.56756,1,2.8978,2.9626,3.233,0.46909,0.466,0.50179,1.4
0.7,1.2,0.57111,1.5847,0.56486,1,2.9017,2.9649,3.2311,0.48513,0.48248,0.49053,1.4
0.7,1.2,0.57063,1.5882,0.5622,1,2.9057,2.9672,3.2292,0.50122,0.49901,0.47937,1.4
0.7,1.2,0.57017,1.5917,0.55958,1,2.9097,2.9696,3.2273,0.51735,0.51561,0.46829,1.4
0.7,1.2,0.56972,1.5951,0.557,1,2.9137,2.9719,3.2254,0.53352,0.53226,0.45731,1.4
0.7,1.2,0.5693,1.5987,0.55446,1,2.9177,2.9742,3.2236,0.54973,0.54895,0.4464,1.4
0.7,1.2,0.56889,1.6022,0.55196,1,2.9217,2.9766,3.2217,0.56597,0.56569,0.43556,1.4
