a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.7,2,0.57952,1.8145,0.84513,0.99999,3.5476,3.6378,4.3915,0,0.091096,1,1.6
0.7,2,0.5795,1.8163,0.8436,0.99997,3.5476,3.6373,4.3888,6.4359e-05,0.089053,0.9942,1.6
0.7,2,0.57949,1.8181,0.84211,0.99998,3.5476,3.6368,4.3861,0.00016202,0.087045,0.98845,1.6
0.7,2,0.57947,1.8199,0.84064,1,3.5476,3.6363,4.3834,0.00029079,0.08507,0.98275,1.6
0.7,2,0.57946,1.8217,0.83919,0.99999,3.5477,3.6359,4.3807,0.00045055,0.083126,0.9771,1.6
0.7,2,0.57944,1.8235,0.83775,0.99999,3.5478,3.6354,4.3781,0.0006391,0.081213,0.9715,1.6
0.7,2,0.57942,1.8252,0.83634,0.99999,3.5478,3.6349,4.3755,0.00085515,0.079328,0.96594,1.6
0.7,2,0.5794,1.827,0.83495,1,3.5479,3.6345,4.3728,0.0010969,0.07747,0.96042,1.6
0.7,2,0.57938,1.8287,0.83358,0.99999,3.548,3.6341,4.3703,0.0013657,0.07564,0.95495,1.6
0.7,2,0.57937,1.8305,0.83222,1,3.5481,3.6336,4.3677,0.0016582,0.073835,0.94952,1.6
0.7,2,0.57934,1.8322,0.83085,0.99925,3.5482,3.6332,4.3652,0.0020074,0.07209,0.94425,1.6
0.7,2,0.57933,1.8339,0.82956,1,3.5483,3.6328,4.3626,0.0023126,0.070296,0.93876,1.6
0.7,2,0.57931,1.8357,0.82826,1,3.5484,3.6323,4.3601,0.0026742,0.068563,0.93343,1.6
0.7,2,0.57928,1.8374,0.82697,1,3.5485,3.6319,4.3576,0.0030565,0.066851,0.92814,1.6
0.7,2,0.57926,1.8391,0.8257,0.99998,3.5486,3.6315,4.3551,0.0034602,0.065162,0.92289,1.6
0.7,2,0.57924,1.8408,0.82444,1,3.5488,3.6311,4.3526,0.0038824,0.063491,0.91765,1.6
