a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,0.4,1.3019,0.65502,0.15874,0.91148,0.61752,0.92587,1.1014,0,1,1,1.4
0,0.4,1.3016,0.65893,0.15782,0.90534,0.61832,0.92404,1.0982,0.0031118,0.9803,0.98359,1.4
0,0.4,1.3013,0.66286,0.15692,0.91037,0.61914,0.92223,1.0951,0.0063282,0.96069,0.96726,1.4
0,0.4,1.301,0.66682,0.15605,0.91546,0.62002,0.92042,1.0919,0.0097197,0.94117,0.95117,1.3999
0,0.4,1.3007,0.67085,0.1551,0.92044,0.6209,0.91864,1.0888,0.013155,0.92187,0.9349,1.4
0,0.4,1.3004,0.6749,0.15421,0.91474,0.62181,0.91685,1.0856,0.016714,0.9026,0.91884,1.4
0,0.4,1.3001,0.67896,0.15336,0.91984,0.62278,0.91508,1.0826,0.020454,0.88344,0.90304,1.3999
0,0.4,1.2998,0.68309,0.15244,0.92482,0.62374,0.91332,1.0794,0.02421,0.86444,0.887,1.4
0,0.4,1.2995,0.68726,0.15155,0.92464,0.62476,0.91157,1.0764,0.028184,0.84558,0.87126,1.4
0,0.4,1.2992,0.69144,0.15068,0.92459,0.6258,0.90983,1.0733,0.032208,0.82676,0.85556,1.4
0,0.4,1.2989,0.69566,0.14982,0.92963,0.62687,0.9081,1.0703,0.036383,0.80809,0.83997,1.4
0,0.4,1.2986,0.6999,0.14899,0.93471,0.628,0.90639,1.0673,0.040759,0.78961,0.8247,1.3999
0,0.4,1.2983,0.70422,0.1481,0.92978,0.62912,0.90468,1.0643,0.045143,0.77116,0.80911,1.4
0,0.4,1.298,0.70853,0.14726,0.93483,0.6303,0.90299,1.0613,0.049726,0.75289,0.79386,1.4
0,0.4,1.2978,0.71288,0.14646,0.93987,0.63151,0.90131,1.0584,0.054425,0.73473,0.77881,1.3999
0,0.4,1.2975,0.71731,0.14558,0.9441,0.63275,0.89964,1.0554,0.059252,0.71671,0.76356,1.4
0,0.4,1.2972,0.72173,0.14477,0.94033,0.63402,0.89798,1.0525,0.064181,0.69878,0.74856,1.4
0,0.4,1.297,0.72618,0.14397,0.94534,0.63533,0.89634,1.0496,0.069266,0.68101,0.73371,1.4
0,0.4,1.2967,0.73068,0.14315,0.95033,0.63668,0.89471,1.0467,0.074547,0.66343,0.71898,1.4
0,0.4,1.2964,0.73503,0.14256,0.94624,0.63808,0.89312,1.0441,0.079987,0.64627,0.70545,1.3998
0,0.4,1.2962,0.73976,0.14158,0.95112,0.63947,0.89148,1.041,0.085388,0.62853,0.68973,1.4
0,0.4,1.296,0.74436,0.14079,0.95609,0.64093,0.88989,1.0382,0.091079,0.61133,0.67526,1.4
0,0.4,1.2958,0.74897,0.14004,0.95222,0.64242,0.88831,1.0354,0.096862,0.59425,0.66097,1.4
0,0.4,1.2956,0.75362,0.13928,0.95716,0.64394,0.88674,1.0327,0.10278,0.57729,0.64672,1.4
0,0.4,1.2954,0.75831,0.13853,0.96208,0.64551,0.88518,1.0299,0.10889,0.5605,0.63258,1.4
0,0.4,1.2951,0.76276,0.13801,0.95853,0.64711,0.8837,1.0275,0.11509,0.54445,0.61997,1.3998
0,0.4,1.295,0.76774,0.13709,0.96341,0.64875,0.88211,1.0245,0.12148,0.52733,0.60473,1.4
0,0.4,1.2948,0.77251,0.13637,0.96828,0.65043,0.8806,1.0218,0.12803,0.51097,0.59093,1.4
0,0.4,1.2947,0.77729,0.13567,0.96498,0.65216,0.8791,1.0192,0.13474,0.49481,0.57735,1.4
0,0.4,1.2945,0.7821,0.13499,0.96983,0.6539,0.87761,1.0165,0.14153,0.4787,0.56379,1.4
0,0.4,1.2944,0.78696,0.13431,0.97465,0.6557,0.87614,1.0139,0.14853,0.46276,0.55031,1.4
0,0.4,1.2943,0.79176,0.13369,0.97159,0.65753,0.87469,1.0114,0.15565,0.44717,0.53735,1.4
0,0.4,1.2942,0.79669,0.13301,0.97639,0.65941,0.87323,1.0088,0.16296,0.43141,0.52391,1.4
