a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,2,0.65148,1.6016,0.56419,0.88244,2.6067,2.7565,3.3656,0,0.23782,1,1.8
0,2,0.6515,1.6033,0.56348,0.87872,2.6067,2.7552,3.3634,5.0651e-05,0.23221,0.99227,1.8
0,2,0.65152,1.605,0.56282,0.8775,2.6067,2.754,3.3611,0.00013671,0.22663,0.98459,1.8
0,2,0.65154,1.6067,0.56213,0.87557,2.6067,2.7527,3.3589,0.00026319,0.2211,0.97697,1.8
0,2,0.65156,1.6084,0.56145,0.87383,2.6068,2.7515,3.3568,0.00042846,0.21561,0.9694,1.8
0,2,0.65159,1.6101,0.56081,0.87299,2.6069,2.7503,3.3546,0.00063396,0.21016,0.9619,1.8
0,2,0.65161,1.6118,0.5602,0.87283,2.6069,2.7491,3.3524,0.00088241,0.20476,0.95446,1.8
0,2,0.65163,1.6135,0.5595,0.87069,2.607,2.7479,3.3503,0.001177,0.19942,0.94709,1.8
0,2,0.65165,1.6152,0.5589,0.87002,2.6071,2.7467,3.3482,0.0015205,0.19412,0.93979,1.8
0,2,0.65168,1.6168,0.55834,0.87002,2.6073,2.7455,3.3461,0.001911,0.18888,0.93256,1.8
0,2,0.6517,1.6185,0.55769,0.86867,2.6074,2.7444,3.3441,0.0023531,0.18369,0.92541,1.8
0,2,0.65173,1.62,0.55727,0.87024,2.6076,2.7432,3.342,0.0028498,0.17856,0.91833,1.8
0,2,0.65175,1.6215,0.55675,0.87031,2.6077,2.7421,3.34,0.0034034,0.1735,0.91135,1.8
0,2,0.65177,1.6231,0.55618,0.86949,2.6079,2.741,3.338,0.0040161,0.1685,0.90444,1.8
0,2,0.6518,1.6246,0.55582,0.87141,2.6081,2.7399,3.336,0.004692,0.16357,0.89764,1.8
0,2,0.65183,1.626,0.55544,0.87297,2.6084,2.7388,3.3341,0.0054328,0.15871,0.89093,1.8
0,2,0.65186,1.6275,0.55502,0.87356,2.6086,2.7377,3.3322,0.0062437,0.15393,0.88432,1.8
0,2,0.65188,1.629,0.55458,0.87374,2.6089,2.7367,3.3303,0.0071289,0.14923,0.87782,1.8
0,2,0.65191,1.6304,0.55425,0.8751,2.6092,2.7357,3.3285,0.0080928,0.14461,0.87144,1.8
0,2,0.65194,1.6316,0.55408,0.87936,2.6096,2.7347,3.3267,0.009135,0.14008,0.86517,1.8
0,2,0.65197,1.6329,0.55385,0.88267,2.6099,2.7337,3.3249,0.010256,0.13564,0.85903,1.8
0,2,0.652,1.6342,0.55361,0.88654,2.6103,2.7327,3.3231,0.011457,0.13129,0.85299,1.8
0,2,0.65203,1.6355,0.5534,0.89313,2.6107,2.7317,3.3214,0.01275,0.12703,0.84711,1.8
0,2,0.65205,1.6368,0.55307,0.89039,2.6111,2.7308,3.3198,0.014146,0.1229,0.84146,1.8
0,2,0.65208,1.6381,0.55279,0.89788,2.6116,2.7299,3.3181,0.01559,0.1188,0.83569,1.8
0,2,0.65211,1.6393,0.55249,0.8985,2.6121,2.729,3.3165,0.017134,0.11483,0.83016,1.8
0,2,0.65213,1.6406,0.5522,0.89771,2.6126,2.7282,3.315,0.018755,0.11093,0.82476,1.8
0,2,0.65216,1.6418,0.55194,0.89629,2.6132,2.7273,3.3135,0.020465,0.10713,0.81948,1.8
0,2,0.65219,1.643,0.55169,0.89689,2.6137,2.7265,3.312,0.022246,0.10342,0.81431,1.8
0,2,0.65221,1.6442,0.55145,0.89747,2.6143,2.7257,3.3105,0.024084,0.09976,0.80922,1.8
0,2,0.65224,1.6453,0.55122,0.89804,2.6149,2.7249,3.309,0.025987,0.096174,0.80423,1.8
0,2,0.65226,1.6464,0.55103,0.8986,2.6155,2.7241,3.3077,0.027955,0.092665,0.7994,1.8
0,2,0.65229,1.6476,0.55078,0.89916,2.6162,2.7233,3.3062,0.029924,0.089148,0.79444,1.8
0,2,0.65231,1.6487,0.55058,0.89971,2.6168,2.7225,3.3048,0.031966,0.085715,0.78965,1.8
0,2,0.65234,1.6498,0.5504,0.90025,2.6175,2.7218,3.3035,0.034049,0.082328,0.78494,1.8
0,2,0.65236,1.6509,0.55021,0.90079,2.6181,2.721,3.3021,0.036154,0.078964,0.78023,1.8
0,2,0.65239,1.652,0.55004,0.90131,2.6188,2.7203,3.3008,0.038301,0.075646,0.7756,1.8
0,2,0.65241,1.6531,0.54988,0.90184,2.6195,2.7196,3.2995,0.040479,0.072362,0.77102,1.8
0,2,0.65244,1.6541,0.54975,0.90235,2.6202,2.7188,3.2982,0.042696,0.069121,0.76649,1.8
0,2,0.65247,1.6552,0.54962,0.90286,2.6209,2.7181,3.2969,0.044938,0.065908,0.762,1.8
0,2,0.65249,1.6562,0.5495,0.90337,2.6216,2.7174,3.2956,0.047205,0.062722,0.75755,1.8
0,2,0.65252,1.6572,0.54942,0.90054,2.6224,2.7167,3.2943,0.049518,0.059592,0.75323,1.8
0,2,0.65255,1.6583,0.54931,0.90105,2.6231,2.716,3.293,0.051819,0.056437,0.74876,1.8
0,2,0.65257,1.6593,0.54925,0.90154,2.6239,2.7153,3.2918,0.054175,0.05335,0.74445,1.8
0,2,0.6526,1.6603,0.5492,0.90203,2.6246,2.7146,3.2905,0.056556,0.050289,0.74017,1.8
0,2,0.65263,1.6613,0.54915,0.90252,2.6254,2.714,3.2893,0.058945,0.047235,0.73588,1.8
0,2,0.65265,1.6623,0.54912,0.903,2.6262,2.7133,3.2881,0.061369,0.044223,0.73167,1.8
