a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,2,0.80634,1.6026,0.71329,0.68819,2.2794,2.8134,3.447,0,0.5985,1,2.4334
0,2,0.80605,1.6053,0.70895,0.67495,2.2795,2.8095,3.4425,4.8332e-05,0.5838,0.98802,2.4143
0,2,0.80526,1.6079,0.70663,0.67952,2.2796,2.8057,3.4381,0.00023562,0.56928,0.97615,2.4016
0,2,0.80443,1.6105,0.70426,0.66592,2.2798,2.8019,3.4341,0.00059237,0.55478,0.96552,2.3888
0,2,0.80355,1.6129,0.70203,0.68342,2.2801,2.7982,3.4295,0.0011171,0.5408,0.95321,2.3763
0,2,0.80265,1.6154,0.69973,0.68622,2.2806,2.7946,3.4253,0.0018208,0.5269,0.94189,2.3637
0,2,0.80171,1.6179,0.69744,0.68905,2.2811,2.791,3.4212,0.00268,0.51317,0.9308,2.3511
0,2,0.80075,1.6203,0.69512,0.692,2.2818,2.7874,3.4171,0.003677,0.49962,0.91971,2.3385
0,2,0.79964,1.6224,0.69301,0.68768,2.2825,2.7839,3.4134,0.004802,0.48608,0.91,2.3262
0,2,0.7986,1.6247,0.69074,0.69067,2.2833,2.7804,3.4095,0.0060698,0.47284,0.8994,2.3137
0,2,0.79759,1.6272,0.68831,0.69374,2.2842,2.777,3.4053,0.0074915,0.45987,0.88811,2.3009
0,2,0.79647,1.6294,0.68603,0.69685,2.2851,2.7736,3.4015,0.0090368,0.44695,0.87782,2.2884
0,2,0.79532,1.6316,0.68375,0.70001,2.2862,2.7702,3.3977,0.01072,0.4342,0.86769,2.2759
0,2,0.79413,1.6338,0.68173,0.70326,2.2874,2.7669,3.3939,0.012565,0.42165,0.85752,2.2644
0,2,0.79292,1.636,0.6804,0.69925,2.2886,2.7637,3.3902,0.01454,0.40924,0.84772,2.2554
0,2,0.79165,1.6381,0.67869,0.70258,2.29,2.7605,3.3867,0.01666,0.39699,0.83829,2.2449
0,2,0.7904,1.6402,0.6775,0.70591,2.2914,2.7573,3.3831,0.01894,0.38494,0.82867,2.2365
0,2,0.78908,1.6422,0.67579,0.70204,2.2929,2.7542,3.3798,0.021348,0.37303,0.81964,2.226
0,2,0.78772,1.644,0.67355,0.70547,2.2946,2.7511,3.3764,0.023915,0.36132,0.81056,2.2137
0,2,0.78633,1.6459,0.67121,0.70895,2.2963,2.748,3.373,0.026629,0.34978,0.80156,2.2267
0,2,0.78503,1.6479,0.67056,0.71235,2.2981,2.7451,3.3697,0.029505,0.33843,0.79262,2.2217
0,2,0.78357,1.6496,0.66824,0.70869,2.3,2.7421,3.3665,0.032517,0.32724,0.78406,2.2141
0,2,0.78218,1.6514,0.66697,0.71218,2.302,2.7392,3.3634,0.03568,0.31622,0.7756,2.208
0,2,0.78072,1.6528,0.66595,0.70842,2.3041,2.7364,3.3608,0.038926,0.30536,0.76857,2.2021
0,2,0.77933,1.6548,0.66446,0.71202,2.3063,2.7336,3.3573,0.042468,0.29474,0.75933,2.196
0,2,0.77788,1.6564,0.66324,0.71555,2.3086,2.7308,3.3544,0.046095,0.28428,0.75152,2.1899
0,2,0.77639,1.658,0.66186,0.71914,2.311,2.7281,3.3516,0.049886,0.27401,0.74386,2.1836
0,2,0.77482,1.6591,0.66036,0.71554,2.3135,2.7255,3.3492,0.053719,0.26389,0.73751,2.1768
0,2,0.77332,1.6609,0.65884,0.71926,2.3161,2.7229,3.3461,0.057914,0.25401,0.72923,2.1704
0,2,0.77188,1.6623,0.65809,0.72274,2.3188,2.7203,3.3434,0.062158,0.24428,0.7221,2.1651
0,2,0.77013,1.6635,0.65549,0.72671,2.3216,2.7178,3.3409,0.066569,0.23474,0.71515,2.1568
0,2,0.76854,1.6649,0.65393,0.7276,2.3245,2.7154,3.3383,0.071183,0.22542,0.70821,2.1501
0,2,0.767,1.6661,0.6529,0.72688,2.3275,2.713,3.3359,0.075905,0.21628,0.70186,2.1443
0,2,0.76542,1.6673,0.65161,0.73059,2.3306,2.7106,3.3335,0.080861,0.20735,0.69533,2.1381
0,2,0.76389,1.6685,0.65063,0.73417,2.3339,2.7083,3.3312,0.085962,0.19862,0.68918,2.1324
0,2,0.76224,1.6695,0.64921,0.73074,2.3372,2.7061,3.3291,0.091188,0.1901,0.68349,2.126
0,2,0.76067,1.6706,0.64812,0.73442,2.3407,2.7039,3.3268,0.09669,0.18179,0.67749,2.1201
