a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
1,1.8,1.0424,2.1129,1.0153,0.63305,2.4223,3.4465,4.1405,0,1,1,2.6121
1,1.8,1.0411,2.1178,1.0109,0.61678,2.4224,3.437,4.1342,5.6832e-05,0.97753,0.9878,2.5997
1,1.8,1.0394,2.122,1.0077,0.63523,2.4225,3.4277,4.1276,0.00021402,0.95536,0.97518,2.588
1,1.8,1.0378,2.1264,1.0039,0.63382,2.4228,3.4183,4.1214,0.00049055,0.93315,0.96322,2.5759
1,1.8,1.036,2.131,1.0007,0.63792,2.4231,3.409,4.1151,0.00088318,0.91116,0.95112,2.5643
1,1.8,1.0344,2.1352,0.99671,0.62844,2.4236,3.3996,4.1095,0.0013954,0.88901,0.94026,2.5519
1,1.8,1.0327,2.14,0.99322,0.64488,2.4241,3.3906,4.1026,0.0020297,0.86767,0.9271,2.5403
1,1.8,1.0309,2.1443,0.98927,0.64404,2.4248,3.3815,4.0967,0.0027908,0.84606,0.91563,2.5281
1,1.8,1.0292,2.1486,0.98516,0.64749,2.4256,3.3724,4.0907,0.0036816,0.82465,0.90408,2.5159
1,1.8,1.0273,2.1532,0.9819,0.65137,2.4265,3.3635,4.0846,0.0047063,0.80345,0.89246,2.5043
1,1.8,1.0255,2.1574,0.97781,0.65072,2.4275,3.3546,4.0788,0.0058671,0.78235,0.88121,2.4921
1,1.8,1.0235,2.1618,0.97434,0.65455,2.4287,3.3457,4.073,0.0071691,0.76142,0.8701,2.4803
1,1.8,1.0215,2.1659,0.97064,0.65415,2.43,3.3369,4.0675,0.0086138,0.74061,0.8594,2.4683
1,1.8,1.0193,2.1702,0.96736,0.65817,2.4314,3.3282,4.0619,0.01021,0.72003,0.84863,2.4567
1,1.8,1.0173,2.1743,0.96328,0.66192,2.4329,3.3196,4.0564,0.011957,0.69961,0.83803,2.4445
1,1.8,1.0151,2.1785,0.96005,0.66192,2.4346,3.3111,4.0509,0.013861,0.67938,0.8276,2.433
1,1.8,1.0129,2.1827,0.95623,0.66593,2.4365,3.3026,4.0455,0.01593,0.65937,0.81712,2.4211
1,1.8,1.0107,2.1868,0.95258,0.66606,2.4384,3.2942,4.0403,0.018161,0.63951,0.80704,2.4092
1,1.8,1.0083,2.1906,0.94904,0.67005,2.4406,3.2859,4.0352,0.020557,0.61983,0.7974,2.3974
1,1.8,1.006,2.1947,0.94543,0.6743,2.4429,3.2777,4.0301,0.023141,0.6004,0.78747,2.3857
1,1.8,1.0035,2.1986,0.94209,0.67455,2.4453,3.2696,4.0252,0.0259,0.58116,0.77799,2.3741
1,1.8,1.0011,2.2023,0.93854,0.67691,2.4479,3.2615,4.0205,0.028831,0.56212,0.76894,2.3623
1,1.8,0.99855,2.2062,0.93509,0.67924,2.4507,3.2536,4.0156,0.031975,0.54332,0.75962,2.3507
1,1.8,0.99598,2.2099,0.93159,0.6837,2.4537,3.2457,4.011,0.035303,0.52474,0.75076,2.3391
1,1.8,0.99336,2.2136,0.9281,0.68418,2.4568,3.238,4.0065,0.038834,0.50639,0.74213,2.3275
1,1.8,0.99068,2.2171,0.92476,0.68879,2.4601,3.2303,4.0022,0.042571,0.48828,0.73372,2.316
1,1.8,0.98794,2.2206,0.9214,0.6895,2.4636,3.2228,3.9979,0.046521,0.47042,0.72555,2.3045
1,1.8,0.98517,2.2239,0.91777,0.69304,2.4673,3.2153,3.9939,0.050667,0.45283,0.71786,2.2927
1,1.8,0.98235,2.2273,0.91424,0.69485,2.4712,3.208,3.9898,0.055083,0.43547,0.70993,2.2812
1,1.8,0.97945,2.2306,0.91113,0.69971,2.4753,3.2008,3.9859,0.059707,0.41839,0.7025,2.27
1,1.8,0.97652,2.2337,0.90771,0.70062,2.4796,3.1937,3.9822,0.06457,0.40159,0.69533,2.2585
1,1.8,0.97353,2.2366,0.90431,0.70159,2.4841,3.1867,3.9788,0.069646,0.3851,0.68869,2.247
1,1.8,0.97049,2.2397,0.90088,0.7066,2.4889,3.1799,3.9752,0.075037,0.36884,0.68182,2.2356
1,1.8,0.9674,2.2425,0.89785,0.70773,2.4939,3.1731,3.972,0.080612,0.35295,0.67574,2.2245
1,1.8,0.96428,2.2452,0.89483,0.71284,2.4991,3.1665,3.9689,0.086491,0.33734,0.6697,2.2135
1,1.8,0.96109,2.248,0.89165,0.71417,2.5046,3.1601,3.9658,0.092693,0.322,0.6637,2.2024
1,1.8,0.95786,2.2505,0.88841,0.71938,2.5103,3.1537,3.9629,0.099146,0.30702,0.65823,2.1913
1,1.8,0.95458,2.2527,0.88528,0.72075,2.5163,3.1476,3.9604,0.10582,0.29244,0.65338,2.1802
1,1.8,0.95122,2.2551,0.88185,0.7223,2.5225,3.1415,3.9578,0.11291,0.27812,0.64841,2.1689
1,1.8,0.94786,2.2571,0.87892,0.72759,2.529,3.1357,3.9556,0.12019,0.26425,0.64419,2.1582
1,1.8,0.94447,2.2585,0.87587,0.72897,2.5355,3.1301,3.9541,0.12751,0.25101,0.64121,2.1473
1,1.8,0.94095,2.2609,0.8726,0.7325,2.5429,3.1244,3.9516,0.13586,0.23757,0.63644,2.1362
1,1.8,0.93733,2.2626,0.86899,0.73651,2.5504,3.119,3.9498,0.14431,0.22477,0.63292,2.1248
1,1.8,0.93379,2.264,0.86604,0.73823,2.5581,3.1138,3.9484,0.15295,0.21255,0.63026,2.1142
1,1.8,0.92992,2.2652,0.86186,0.74408,2.5662,3.1088,3.9472,0.16208,0.20073,0.62783,2.1022
1,1.8,0.92594,2.2661,0.85766,0.74629,2.5747,3.1041,3.9461,0.17166,0.18943,0.6259,2.0901
1,1.8,0.92284,2.2671,0.85694,0.74754,2.5836,3.0995,3.9454,0.18169,0.17866,0.62447,2.0823
1,1.8,0.92,2.2682,0.85736,0.75229,2.5928,3.095,3.9446,0.19206,0.16797,0.62296,2.0758
1,1.8,0.91754,2.2685,0.85891,0.75257,2.6011,3.0908,3.9448,0.20144,0.15817,0.62335,2.0708
1,1.8,0.91464,2.2699,0.85956,0.75757,2.6111,3.0863,3.9437,0.2127,0.14742,0.62124,2.0644
1,1.8,0.91193,2.2707,0.86085,0.75853,2.6205,3.082,3.9433,0.22331,0.13729,0.62042,2.0587
1,1.8,0.90934,2.2717,0.8629,0.75942,2.6303,3.0777,3.9428,0.23427,0.12717,0.61943,2.0538
