Jdi,Jr,Kp,Ti,Td,beta
7.0613,85.6496,11.2917,58.8168,29.4846,0.42652
7.5506,75.7283,11.1552,76.5222,25.5479,0.47543
8.1825,74.0436,10.7663,82.9611,26.0157,0.54576
8.8602,72.7971,10.3919,89.8245,26.324,0.60754
9.277,72.2495,10.1864,93.4577,26.447,0.637
10.205,71.4595,9.8893,100.7,26.4958,0.68574
10.5014,71.2575,9.8075,102.90,26.5388,0.69958
11.1799,70.8666,9.6473,107.85,26.5711,0.72785
11.5016,70.7118,9.5932,110.3368,26.5956,0.74198
12.0675,70.4546,9.4855,114.467,26.6338,0.76153
12.6509,70.2211,9.3776,118.6355,26.6308,0.78036
13.375,69.9623,9.2602,123.85,26.6763,0.80231
14.0576,69.7346,9.1463,128.57,26.7416,0.82163
14.5409,69.586,9.0729,131.932,26.7801,0.83576
15.4343,69.3318,8.9511,138.16,26.8913,0.85958
16.3683,69.0865,8.8269,144.50,27.0603,0.88185
17.8959,68.7351,8.6408,154.69,27.2403,0.91572
18.6397,68.5816,8.5624,159.69,27.3949,0.93038
19.3279,68.4561,8.5151,164.7,27.4911,0.94443
19.9854,68.3428,8.4686,169.43,27.5751,0.95703
20.4288,68.255,8.3933,171.677,27.7041,0.96289
21.3183,68.1168,8.3375,178.05,27.7981,0.97886
21.7088,68.0629,8.3204,180.99,27.8306,0.98598
22.5384,67.9284,8.1971,185.21,28.1411,0.99502
