a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.1,2,0.71926,1.6999,0.62443,0.78307,2.4937,2.8106,3.4749,0,0.1683,1,1.9998
0.1,2,0.71919,1.7014,0.62546,0.78398,2.4942,2.809,3.473,0.00077962,0.1627,0.99287,2
0.1,2,0.71905,1.7027,0.62637,0.78493,2.4949,2.8076,3.4713,0.0021807,0.1577,0.98658,2
0.1,2,0.71892,1.704,0.62729,0.78585,2.4958,2.8063,3.4697,0.0037577,0.15286,0.98052,2
0.1,2,0.71876,1.7051,0.62822,0.78677,2.4968,2.805,3.4682,0.0055346,0.1482,0.97483,2
0.1,2,0.71862,1.7063,0.62917,0.78766,2.4978,2.8037,3.4667,0.0074226,0.14365,0.96921,2
0.1,2,0.71846,1.7074,0.63012,0.78855,2.4989,2.8025,3.4653,0.0094673,0.13925,0.96387,2
0.1,2,0.71829,1.7085,0.63108,0.78418,2.5001,2.8013,3.464,0.011664,0.13498,0.95881,2
0.1,2,0.71813,1.7095,0.63206,0.78504,2.5013,2.8002,3.4626,0.013953,0.1308,0.95379,2
0.1,2,0.71795,1.7105,0.63305,0.78591,2.5027,2.799,3.4614,0.016378,0.12675,0.94899,2
0.1,2,0.71771,1.7113,0.63403,0.78685,2.5041,2.798,3.4603,0.019063,0.12291,0.94498,1.9998
0.1,2,0.71757,1.7122,0.63511,0.78765,2.5056,2.7969,3.459,0.021695,0.11908,0.94018,2
0.1,2,0.71737,1.7131,0.63619,0.7885,2.5071,2.7959,3.458,0.024584,0.11546,0.9361,2
0.1,2,0.71718,1.7139,0.63728,0.78933,2.5088,2.7949,3.4569,0.027569,0.11193,0.93207,2
0.1,2,0.71698,1.7146,0.63833,0.79015,2.5105,2.7939,3.4559,0.030678,0.10852,0.92828,2
0.1,2,0.71648,1.7148,0.63901,0.78624,2.5124,2.7931,3.4555,0.034323,0.10551,0.92689,1.999
0.1,2,0.71657,1.716,0.64038,0.78664,2.5141,2.7922,3.4541,0.037299,0.10206,0.92133,2
0.1,2,0.71631,1.7165,0.64129,0.78748,2.516,2.7913,3.4533,0.040898,0.099088,0.91858,1.9998
0.1,2,0.71611,1.717,0.64223,0.7882,2.518,2.7905,3.4526,0.044624,0.096249,0.91571,1.9997
0.1,2,0.71591,1.7176,0.64318,0.78891,2.5201,2.7897,3.4518,0.048368,0.093427,0.91286,1.9997
0.1,2,0.71578,1.7182,0.64422,0.78954,2.5221,2.789,3.451,0.052066,0.090576,0.90964,2
0.1,2,0.71556,1.7187,0.64517,0.79028,2.5242,2.7882,3.4503,0.055861,0.087797,0.90694,1.9999
0.1,2,0.71535,1.7193,0.64614,0.79101,2.5262,2.7874,3.4495,0.059661,0.085026,0.90417,1.9999
0.1,2,0.71515,1.7198,0.64714,0.79173,2.5283,2.7866,3.4488,0.06346,0.082258,0.90134,2
0.1,2,0.71484,1.7202,0.648,0.78767,2.5304,2.7859,3.4482,0.067386,0.079585,0.89915,1.9997
0.1,2,0.71469,1.7208,0.6491,0.78832,2.5325,2.7851,3.4474,0.071158,0.076804,0.89602,1.9999
0.1,2,0.71446,1.7213,0.65011,0.78908,2.5346,2.7844,3.4467,0.075027,0.074097,0.89336,1.9999
0.1,2,0.71418,1.7216,0.65104,0.78993,2.5368,2.7836,3.4461,0.078982,0.071459,0.89107,1.9997
0.1,2,0.71394,1.7221,0.65207,0.7907,2.5389,2.7829,3.4454,0.082899,0.068797,0.88847,1.9997
