a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.6,0.8,1.3822,1.5205,0.45928,0.68743,1.1403,1.6084,2.0693,0,0.58118,1,2
0.6,0.8,1.3821,1.5241,0.46041,0.68397,1.1406,1.6052,2.067,0.00065089,0.56529,0.99068,2
0.6,0.8,1.3819,1.5274,0.46156,0.68591,1.1413,1.6022,2.065,0.0019044,0.55005,0.98223,2
0.6,0.8,1.3818,1.5304,0.46272,0.68772,1.1424,1.5993,2.0631,0.0039321,0.5357,0.97469,2
0.6,0.8,1.3816,1.533,0.46387,0.68934,1.144,1.5967,2.0616,0.0069207,0.52244,0.96833,2
0.6,0.8,1.3814,1.5354,0.46504,0.6909,1.1458,1.5941,2.0602,0.010346,0.50966,0.96259,2
0.6,0.8,1.3812,1.5377,0.46622,0.68715,1.1477,1.5916,2.0589,0.013961,0.49708,0.95716,2
0.6,0.8,1.3804,1.5395,0.46736,0.68893,1.1499,1.5892,2.0581,0.01807,0.48496,0.95388,1.9992
0.6,0.8,1.3806,1.5423,0.46863,0.69031,1.1517,1.5866,2.0563,0.021465,0.47226,0.94645,2
0.6,0.8,1.3802,1.5444,0.46985,0.69196,1.1539,1.5842,2.0551,0.025426,0.46006,0.94172,1.9998
0.6,0.8,1.38,1.5467,0.47111,0.68839,1.1559,1.5817,2.0538,0.029303,0.4478,0.93623,2
0.6,0.8,1.3795,1.5488,0.47236,0.69009,1.1581,1.5793,2.0527,0.033411,0.43577,0.93177,1.9998
0.6,0.8,1.3791,1.551,0.47365,0.69176,1.1603,1.5769,2.0515,0.037463,0.4237,0.92675,1.9998
0.6,0.8,1.3787,1.5533,0.47497,0.69344,1.1624,1.5745,2.0502,0.041534,0.41165,0.92158,2
0.6,0.8,1.3783,1.5554,0.4763,0.69518,1.1647,1.5721,2.0491,0.045727,0.39973,0.91683,2
0.6,0.8,1.3777,1.5576,0.47764,0.6919,1.1669,1.5697,2.0479,0.049973,0.38787,0.91214,2
0.6,0.8,1.3771,1.5597,0.47899,0.69376,1.1693,1.5674,2.0469,0.054357,0.37616,0.90797,1.9997
0.6,0.8,1.3765,1.5618,0.48037,0.69559,1.1716,1.5651,2.0458,0.058719,0.36443,0.90343,1.9997
0.6,0.8,1.376,1.564,0.48182,0.69741,1.1739,1.5627,2.0446,0.06306,0.35269,0.89852,1.9999
0.6,0.8,1.3754,1.5662,0.48326,0.69932,1.1763,1.5604,2.0435,0.067546,0.3411,0.89415,1.9999
0.6,0.8,1.3745,1.5682,0.48468,0.6964,1.1788,1.5581,2.0426,0.072172,0.32966,0.89028,1.9997
0.6,0.8,1.3738,1.5703,0.48617,0.69839,1.1813,1.5558,2.0416,0.076782,0.31821,0.88606,1.9997
0.6,0.8,1.373,1.5724,0.48768,0.70041,1.1838,1.5535,2.0406,0.081462,0.30684,0.88193,1.9997
0.6,0.8,1.3724,1.5746,0.48927,0.70242,1.1862,1.5513,2.0395,0.086127,0.29546,0.87742,2
