a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,2,0.73238,1.6576,0.59158,0.76806,2.3799,2.7054,3.3276,0,0.18699,1,1.9999
0,2,0.73227,1.6592,0.59251,0.76907,2.3801,2.7037,3.3256,0.00044116,0.18065,0.99211,2
0,2,0.73215,1.6605,0.59333,0.76995,2.381,2.7023,3.324,0.0020045,0.17536,0.98587,2
0,2,0.73203,1.6617,0.59416,0.77077,2.382,2.701,3.3225,0.0038716,0.17035,0.98004,2
0,2,0.73191,1.6628,0.59499,0.7716,2.383,2.6997,3.3211,0.0058371,0.16544,0.97435,2
0,2,0.73179,1.6639,0.59583,0.77241,2.3841,2.6985,3.3197,0.0079139,0.16063,0.96882,2
0,2,0.73143,1.6645,0.59664,0.76818,2.3855,2.6973,3.3189,0.010541,0.15621,0.96551,1.9993
0,2,0.73153,1.6661,0.59754,0.77341,2.3865,2.696,3.317,0.012321,0.15125,0.95806,2
0,2,0.73137,1.6671,0.59841,0.76955,2.3877,2.6948,3.3157,0.014707,0.14673,0.95304,2
0,2,0.73117,1.668,0.59928,0.77041,2.3891,2.6937,3.3146,0.017261,0.14234,0.94852,1.9998
0,2,0.73108,1.669,0.60019,0.77113,2.3904,2.6925,3.3132,0.019708,0.13791,0.94315,2
0,2,0.73091,1.6699,0.60108,0.77193,2.3918,2.6914,3.312,0.022394,0.13367,0.93858,2
0,2,0.73075,1.6708,0.60199,0.77271,2.3933,2.6903,3.3109,0.025171,0.12951,0.93406,2
0,2,0.73059,1.6717,0.6029,0.77342,2.3949,2.6893,3.3098,0.028044,0.12545,0.92963,2
0,2,0.73043,1.6725,0.60381,0.77422,2.3965,2.6882,3.3087,0.031053,0.12152,0.92544,2
0,2,0.73024,1.6733,0.60471,0.77499,2.3982,2.6872,3.3077,0.034235,0.11774,0.92159,2
0,2,0.73008,1.674,0.60562,0.77082,2.3999,2.6863,3.3068,0.03753,0.11407,0.91777,2
0,2,0.7299,1.6746,0.60649,0.77152,2.4018,2.6854,3.3059,0.041103,0.11066,0.91447,2
0,2,0.72972,1.6752,0.60737,0.7722,2.4037,2.6845,3.3051,0.044731,0.1073,0.91119,1.9999
0,2,0.72954,1.6759,0.60827,0.77289,2.4057,2.6836,3.3043,0.048389,0.10397,0.90796,1.9999
0,2,0.72936,1.6765,0.60917,0.77359,2.4077,2.6828,3.3035,0.052065,0.10066,0.90475,1.9999
0,2,0.72918,1.6771,0.6101,0.77427,2.4096,2.6819,3.3027,0.055753,0.097358,0.90149,2
0,2,0.72897,1.6776,0.61102,0.775,2.4116,2.681,3.3019,0.059501,0.094109,0.89846,1.9999
0,2,0.72877,1.6782,0.61196,0.77571,2.4136,2.6802,3.3011,0.063253,0.090867,0.89536,1.9999
0,2,0.72815,1.6781,0.61244,0.77247,2.4159,2.6795,3.301,0.067572,0.088061,0.89493,1.9985
0,2,0.72837,1.6793,0.6139,0.77715,2.4177,2.6785,3.2995,0.070824,0.084449,0.88919,2
0,2,0.72814,1.6799,0.61488,0.77336,2.4197,2.6777,3.2988,0.074672,0.081296,0.88625,2
0,2,0.7279,1.6804,0.61586,0.77416,2.4218,2.6769,3.2981,0.078551,0.07817,0.8834,1.9999
0,2,0.72767,1.6809,0.61687,0.77489,2.4238,2.676,3.2973,0.082445,0.07506,0.88051,1.9999
0,2,0.72743,1.6814,0.6179,0.77566,2.4259,2.6752,3.2966,0.086374,0.071984,0.87767,1.9999
0,2,0.72711,1.6817,0.61882,0.77655,2.4281,2.6745,3.296,0.090415,0.068997,0.8753,1.9996
0,2,0.72693,1.6823,0.62,0.77723,2.4302,2.6737,3.2952,0.094335,0.065927,0.87214,1.9999
0,2,0.72667,1.6828,0.6211,0.77802,2.4323,2.6729,3.2946,0.098389,0.062968,0.86948,1.9999
0,2,0.72639,1.6832,0.62221,0.77883,2.4345,2.6721,3.2939,0.10248,0.060044,0.86688,1.9999
0,2,0.72613,1.6837,0.62336,0.77962,2.4367,2.6713,3.2932,0.10658,0.057131,0.86422,2
0,2,0.72585,1.6841,0.62449,0.78045,2.4389,2.6706,3.2926,0.11071,0.054243,0.86167,2
0,2,0.72554,1.6844,0.62559,0.77709,2.4411,2.6698,3.292,0.11489,0.051392,0.85925,1.9999
0,2,0.72525,1.6848,0.62674,0.77794,2.4434,2.6691,3.2913,0.11907,0.048553,0.85678,1.9999
0,2,0.72495,1.6852,0.62789,0.7788,2.4456,2.6684,3.2907,0.12328,0.045737,0.85435,1.9999
0,2,0.72454,1.6855,0.62886,0.77982,2.4479,2.6676,3.2902,0.12759,0.043003,0.85238,1.9995
0,2,0.72422,1.6859,0.63002,0.7807,2.4502,2.6669,3.2896,0.13185,0.04024,0.85003,1.9995
0,2,0.724,1.6863,0.63141,0.78143,2.4524,2.6662,3.2889,0.13605,0.037429,0.84726,1.9999
0,2,0.72368,1.6867,0.6326,0.78233,2.4547,2.6655,3.2884,0.14036,0.034709,0.84497,1.9999
0,2,0.72334,1.687,0.63381,0.78324,2.457,2.6648,3.2878,0.14469,0.032013,0.84272,1.9999
0,2,0.723,1.6874,0.63503,0.78416,2.4594,2.6641,3.2872,0.14907,0.029358,0.84054,1.9999
0,2,0.72267,1.6877,0.63632,0.78505,2.4617,2.6634,3.2867,0.15347,0.026717,0.83831,2
0,2,0.72232,1.688,0.63757,0.7821,2.4641,2.6627,3.2861,0.15792,0.024129,0.83623,2
0,2,0.72192,1.6882,0.63877,0.78305,2.4665,2.662,3.2856,0.16242,0.021584,0.83428,1.9999
0,2,0.72154,1.6885,0.64004,0.78404,2.4689,2.6614,3.2851,0.16694,0.019066,0.83231,1.9998
0,2,0.72119,1.6888,0.6414,0.78498,2.4713,2.6607,3.2846,0.17148,0.016565,0.83028,2
0,2,0.72062,1.6889,0.64227,0.78627,2.4738,2.6601,3.2843,0.17619,0.014204,0.82897,1.9991
0,2,0.72038,1.6892,0.64403,0.787,2.4762,2.6594,3.2837,0.18074,0.011716,0.82662,2
0,2,0.71992,1.6894,0.64524,0.78812,2.4787,2.6588,3.2833,0.18547,0.0093871,0.82503,1.9997
0,2,0.71927,1.6894,0.64623,0.78956,2.4815,2.6583,3.283,0.19065,0.0074846,0.82401,1.9988
0,2,0.71838,1.6892,0.64666,0.79144,2.4845,2.6579,3.2829,0.19619,0.0059125,0.82342,1.9967
0,2,0.71704,1.6887,0.64552,0.79049,2.4875,2.6576,3.2829,0.20192,0.0045191,0.82328,1.9919
0,2,0.71586,1.6883,0.64516,0.79293,2.4906,2.6572,3.2829,0.2078,0.0032725,0.82328,1.9884
0,2,0.71449,1.6877,0.64426,0.79573,2.4939,2.657,3.2829,0.2139,0.0022204,0.82359,1.9838
0,2,0.71321,1.6871,0.64384,0.79836,2.4972,2.6567,3.2831,0.22014,0.0013134,0.82412,1.9799
0,2,0.71175,1.6864,0.64301,0.80131,2.5007,2.6565,3.2833,0.22667,0.00066818,0.82498,1.9753
0,2,0.71034,1.6857,0.64255,0.80063,2.5043,2.6564,3.2836,0.23337,0.00018262,0.82624,1.971
0,2,0.70879,1.6848,0.64183,0.8037,2.508,2.6564,3.284,0.2404,0,0.82782,1.9662
0,2,0.73293,1.6649,0.58682,0.77042,2.3803,2.7051,3.3182,0.00081679,0.18583,0.96293,2
0,2,0.73282,1.6662,0.58769,0.77127,2.3812,2.7037,3.3166,0.002374,0.18054,0.95663,2
0,2,0.73272,1.6674,0.58854,0.77208,2.3822,2.7024,3.3151,0.0042146,0.17551,0.95078,2
0,2,0.7326,1.6686,0.58941,0.77288,2.3832,2.7011,3.3137,0.0061647,0.17058,0.94506,2
0,2,0.73227,1.6692,0.59025,0.76865,2.3845,2.6999,3.3128,0.0086395,0.16602,0.94156,1.9993
0,2,0.73237,1.6708,0.59119,0.7692,2.3854,2.6986,3.3109,0.010334,0.16099,0.93396,2
0,2,0.73225,1.6719,0.59209,0.76999,2.3866,2.6973,3.3095,0.012568,0.15633,0.92866,2
0,2,0.7321,1.6729,0.593,0.7708,2.3879,2.6962,3.3082,0.014914,0.15176,0.92358,2
0,2,0.73197,1.6739,0.59393,0.77157,2.3891,2.695,3.307,0.01732,0.14727,0.91847,2
0,2,0.73177,1.6748,0.59484,0.77243,2.3905,2.6938,3.3059,0.019961,0.14296,0.91412,1.9998
0,2,0.73167,1.6758,0.5958,0.77315,2.3919,2.6927,3.3045,0.022502,0.13861,0.90896,2
0,2,0.73151,1.6768,0.59675,0.77392,2.3934,2.6916,3.3034,0.025248,0.13442,0.9044,2
0,2,0.73137,1.6777,0.5977,0.77466,2.3949,2.6905,3.3023,0.028078,0.13033,0.89989,2
0,2,0.73115,1.6784,0.59861,0.77062,2.3965,2.6895,3.3013,0.03114,0.12642,0.8961,1.9998
0,2,0.73104,1.6793,0.5996,0.77129,2.3981,2.6885,3.3002,0.034161,0.12251,0.89164,2
0,2,0.73081,1.6799,0.6005,0.77209,2.3999,2.6875,3.2993,0.037496,0.11886,0.88824,1.9998
0,2,0.73064,1.6806,0.60142,0.7728,2.4017,2.6866,3.2984,0.040965,0.11536,0.88473,1.9998
0,2,0.73047,1.6812,0.60233,0.77347,2.4037,2.6857,3.2976,0.044594,0.112,0.88146,1.9998
0,2,0.73035,1.6819,0.60331,0.77407,2.4056,2.6848,3.2967,0.048204,0.10864,0.8779,2
0,2,0.73017,1.6825,0.60425,0.77476,2.4076,2.684,3.2959,0.051907,0.10535,0.87475,1.9999
0,2,0.72998,1.6831,0.60521,0.77545,2.4096,2.6831,3.2951,0.055644,0.10209,0.87163,1.9999
0,2,0.72979,1.6837,0.60618,0.77615,2.4116,2.6823,3.2943,0.059405,0.09886,0.86855,1.9999
0,2,0.7296,1.6843,0.60719,0.77683,2.4136,2.6814,3.2935,0.063192,0.095654,0.86544,2
0,2,0.72939,1.6848,0.6082,0.77303,2.4156,2.6806,3.2928,0.067036,0.092498,0.86247,2
0,2,0.72908,1.6852,0.6091,0.7739,2.4178,2.6798,3.2922,0.071023,0.089456,0.86011,1.9996
0,2,0.72886,1.6857,0.61015,0.77464,2.4198,2.679,3.2915,0.074937,0.086366,0.85725,1.9996
0,2,0.72863,1.6862,0.61121,0.77538,2.4219,2.6782,3.2907,0.078861,0.083285,0.8544,1.9996
0,2,0.7284,1.6867,0.61228,0.77614,2.424,2.6774,3.29,0.082813,0.08023,0.8516,1.9996
0,2,0.72824,1.6873,0.61349,0.77678,2.4261,2.6766,3.2892,0.086711,0.07714,0.84838,1.9999
0,2,0.72802,1.6878,0.6146,0.77752,2.4282,2.6758,3.2885,0.090682,0.074107,0.84552,2
