a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
1,1.1,1.2702,1.9853,0.61278,0.70393,1.604,2.1718,2.7776,0,0.4697,0.96451,2
1,1.1,1.2701,1.9884,0.61453,0.70121,1.6046,2.1681,2.7757,0.00084421,0.45705,0.95797,2
1,1.1,1.27,1.9908,0.61623,0.70254,1.606,2.1648,2.7743,0.0028407,0.44558,0.95343,1.9999
1,1.1,1.2694,1.9921,0.61783,0.70381,1.6083,2.1618,2.7738,0.0060552,0.43534,0.95185,1.9992
1,1.1,1.2697,1.9945,0.61958,0.70474,1.6104,2.1589,2.7723,0.0089819,0.42506,0.94673,1.9998
1,1.1,1.2696,1.9964,0.62129,0.70582,1.6127,2.1559,2.7712,0.012139,0.41491,0.94318,2
1,1.1,1.2695,1.9982,0.62302,0.70283,1.615,2.153,2.7702,0.015378,0.40483,0.94,2
1,1.1,1.2691,1.9998,0.62475,0.70404,1.6174,2.1501,2.7694,0.018727,0.39483,0.93741,1.9998
1,1.1,1.269,2.0017,0.62654,0.7052,1.6198,2.1472,2.7684,0.02202,0.38482,0.93407,2
1,1.1,1.2687,2.0034,0.62833,0.70642,1.6222,2.1444,2.7676,0.025404,0.37489,0.93116,2
1,1.1,1.2684,2.0051,0.63015,0.70766,1.6247,2.1415,2.7667,0.028836,0.36501,0.92832,2
1,1.1,1.2681,2.0068,0.63199,0.70489,1.6272,2.1387,2.7659,0.032313,0.35518,0.92552,2
1,1.1,1.2677,2.0084,0.63382,0.70623,1.6297,2.1358,2.7651,0.035887,0.34543,0.92319,1.9998
1,1.1,1.2674,2.0102,0.63574,0.70753,1.6323,2.133,2.7642,0.039416,0.33567,0.9202,2
1,1.1,1.267,2.0119,0.63766,0.70889,1.6349,2.1302,2.7634,0.043032,0.326,0.91754,2
1,1.1,1.2665,2.0135,0.6396,0.71029,1.6375,2.1274,2.7627,0.046727,0.31639,0.91515,1.9999
1,1.1,1.266,2.0151,0.64157,0.70775,1.6402,2.1247,2.762,0.05046,0.30683,0.91274,1.9999
1,1.1,1.2654,2.0166,0.64351,0.70926,1.6429,2.1219,2.7614,0.054312,0.29739,0.91087,1.9997
1,1.1,1.2648,2.0182,0.64554,0.71076,1.6457,2.1192,2.7607,0.058156,0.28795,0.90862,1.9997
1,1.1,1.2643,2.0198,0.6476,0.71227,1.6485,2.1165,2.76,0.06204,0.27856,0.90633,1.9998
1,1.1,1.2638,2.0215,0.64975,0.71378,1.6513,2.1138,2.7593,0.065934,0.26919,0.90378,2
1,1.1,1.263,2.0229,0.6518,0.71155,1.6542,2.1111,2.7588,0.070021,0.26,0.90224,1.9998
1,1.1,1.2623,2.0245,0.65395,0.71319,1.6571,2.1085,2.7582,0.074105,0.25082,0.90033,1.9998
1,1.1,1.2617,2.0261,0.65621,0.71481,1.6601,2.1058,2.7575,0.078187,0.24164,0.89807,2
1,1.1,1.261,2.0277,0.65844,0.71652,1.6631,2.1032,2.757,0.082403,0.2326,0.89633,2
