a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.8,1.9,0.92944,2.0358,0.97755,0.662,2.586,4.1563,0,1,2.4962
0.8,1.9,0.92935,2.0422,0.97408,0.64345,2.586,4.1488,4.558e-05,0.9843,2.4914
0.8,1.9,0.9302,2.0481,0.9695,0.66074,2.5861,4.1403,0.00016252,0.96675,2.4884
0.8,1.9,0.93048,2.0542,0.96563,0.65361,2.5863,4.1327,0.00035231,0.95095,2.4845
0.8,1.9,0.93034,2.0603,0.96122,0.66477,2.5865,4.1243,0.00063936,0.93345,2.478
0.8,1.9,0.93157,2.067,0.95764,0.66531,2.5868,4.1164,0.00099862,0.91701,2.4785
0.8,1.9,0.93153,2.0728,0.95376,0.65859,2.5871,4.1089,0.0014122,0.9016,2.4733
0.8,1.9,0.93182,2.0794,0.95002,0.66482,2.5876,4.1006,0.0019545,0.88435,2.4699
0.8,1.9,0.93276,2.0855,0.94621,0.6612,2.588,4.0933,0.0025164,0.8691,2.4688
0.8,1.9,0.9327,2.092,0.94282,0.66787,2.5886,4.0851,0.0032196,0.85217,2.4646
0.8,1.9,0.93304,2.0982,0.93857,0.66826,2.5892,4.0774,0.0039766,0.83612,2.4607
0.8,1.9,0.93386,2.1046,0.93556,0.66308,2.5899,4.0701,0.00477,0.82095,2.4605
0.8,1.9,0.93377,2.111,0.93143,0.66839,2.5907,4.062,0.0057317,0.80409,2.4552
0.8,1.9,0.93488,2.1176,0.92801,0.66902,2.5915,4.0545,0.0067111,0.78844,2.4556
0.8,1.9,0.93496,2.1237,0.9251,0.6667,2.5923,4.0473,0.0077223,0.7735,2.4527
0.8,1.9,0.93546,2.1304,0.92076,0.66816,2.5933,4.0393,0.0089366,0.75688,2.4495
0.8,1.9,0.93616,2.1366,0.91785,0.66506,2.5943,4.0322,0.010079,0.74225,2.4491
0.8,1.9,0.93618,2.1433,0.91458,0.66725,2.5954,4.0244,0.011437,0.72594,2.4457
0.8,1.9,0.93741,2.1501,0.91161,0.66774,2.5965,4.0169,0.012802,0.7105,2.4472
0.8,1.9,0.93735,2.1565,0.90857,0.66765,2.5977,4.0095,0.014248,0.69514,2.4438
0.8,1.9,0.9361,2.1622,0.90553,0.66536,2.599,4.0026,0.015783,0.68076,2.4359
0.8,1.9,0.93529,2.1692,0.90176,0.66477,2.6006,3.995,0.017721,0.66482,2.429
0.8,1.9,0.93471,2.1762,0.89882,0.66393,2.6022,3.9879,0.019725,0.65016,2.424
0.8,1.9,0.93369,2.1831,0.89545,0.66766,2.6041,3.9808,0.021966,0.63546,2.4169
0.8,1.9,0.93318,2.1906,0.89175,0.66687,2.606,3.974,0.024375,0.6212,2.4114
0.8,1.9,0.93268,2.1985,0.88843,0.66628,2.6082,3.9671,0.027045,0.60693,2.4065
0.8,1.9,0.93175,2.206,0.88536,0.67007,2.6106,3.9604,0.029923,0.593,2.4004
0.8,1.9,0.93069,2.2135,0.8816,0.67015,2.6132,3.9538,0.033039,0.57931,2.393
0.8,1.9,0.92965,2.2212,0.87773,0.6741,2.6159,3.9473,0.036405,0.56587,2.3857
0.8,1.9,0.92827,2.2286,0.87468,0.67467,2.6189,3.941,0.040026,0.55268,2.3782
0.8,1.9,0.92737,2.2367,0.87133,0.67855,2.6221,3.9348,0.043883,0.53989,2.3721
0.8,1.9,0.9261,2.2445,0.86803,0.67913,2.6256,3.9287,0.048095,0.52714,2.365
0.8,1.9,0.92479,2.2522,0.8643,0.68346,2.6292,3.9227,0.052557,0.5148,2.3572
0.8,1.9,0.92332,2.2596,0.86104,0.68791,2.6331,3.917,0.057255,0.50292,2.3494
0.8,1.9,0.92172,2.2671,0.85743,0.68889,2.6373,3.9113,0.062392,0.49102,2.3409
0.8,1.9,0.92054,2.2752,0.85418,0.69313,2.6418,3.9058,0.06776,0.47963,2.3344
0.8,1.9,0.91886,2.2823,0.85096,0.69775,2.6464,3.9005,0.073398,0.46866,2.3262
0.8,1.9,0.91725,2.2898,0.84743,0.70239,2.6515,3.8953,0.079527,0.45774,2.3181
0.8,1.9,0.91539,2.2966,0.84398,0.70358,2.6567,3.8902,0.085908,0.44732,2.3093
0.8,1.9,0.91359,2.3035,0.8404,0.70827,2.6622,3.8854,0.092634,0.43724,2.3006
0.8,1.9,0.91216,2.3101,0.83745,0.71238,2.6676,3.8811,0.099137,0.42828,2.2938
0.8,1.9,0.90984,2.3165,0.83348,0.71768,2.6742,3.8762,0.10717,0.41816,2.2833
0.8,1.9,0.90801,2.323,0.82985,0.72228,2.6807,3.8719,0.115,0.4092,2.2748
0.8,1.9,0.90646,2.3299,0.82617,0.72659,2.6874,3.8678,0.12313,0.40077,2.2673
0.8,1.9,0.90396,2.3355,0.82028,0.72823,2.6945,3.8639,0.13184,0.39269,2.255
0.8,1.9,0.90223,2.3419,0.81591,0.7326,2.7022,3.8603,0.14111,0.38517,2.2466
0.8,1.9,0.90065,2.345,0.81689,0.73606,2.7093,3.8571,0.14973,0.37846,2.2428
0.8,1.9,0.89878,2.3489,0.81767,0.74024,2.7178,3.8533,0.16005,0.3705,2.238
0.8,1.9,0.89755,2.354,0.81801,0.74377,2.7256,3.8498,0.16958,0.36323,2.2349
0.8,1.9,0.89595,2.3572,0.8189,0.7473,2.7328,3.8466,0.17831,0.35664,2.2309
0.8,1.9,0.89393,2.3613,0.81876,0.75173,2.7414,3.8428,0.18877,0.34881,2.225
0.8,1.9,0.8921,2.3647,0.81966,0.75569,2.7493,3.8394,0.19838,0.34171,2.2205
0.8,1.9,0.89027,2.3686,0.8197,0.75975,2.7574,3.836,0.20814,0.33457,2.2153
0.8,1.9,0.88869,2.3727,0.82083,0.7636,2.7655,3.8325,0.21806,0.3274,2.2117
0.8,1.9,0.88723,2.3774,0.82127,0.76738,2.7736,3.8291,0.22785,0.32039,2.2081
0.8,1.9,0.88542,2.3808,0.82204,0.77143,2.7816,3.8258,0.23752,0.31354,2.2036
0.8,1.9,0.8838,2.3844,0.82238,0.77505,2.7889,3.8228,0.24648,0.30726,2.1993
0.8,1.9,0.88193,2.3879,0.82308,0.77915,2.7971,3.8195,0.2564,0.30038,2.1946
0.8,1.9,0.88014,2.3925,0.82391,0.7869,2.8061,3.8159,0.26729,0.2929,2.1903
0.8,1.9,0.87796,2.3955,0.82404,0.78789,2.8143,3.8126,0.27732,0.28612,2.1843
0.8,1.9,0.87641,2.4,0.82496,0.79521,2.8226,3.8094,0.28737,0.27936,2.1808
0.8,1.9,0.87458,2.4041,0.82496,0.7994,2.8309,3.8062,0.29747,0.27267,2.1758
0.8,1.9,0.87267,2.4074,0.82608,0.80358,2.8393,3.803,0.30762,0.26601,2.1714
0.8,1.9,0.87102,2.412,0.82625,0.80766,2.8477,3.7998,0.31782,0.25941,2.1671
0.8,1.9,0.86886,2.4149,0.82724,0.81212,2.8563,3.7966,0.32826,0.25273,2.1619
0.8,1.9,0.86743,2.42,0.82761,0.81599,2.8646,3.7935,0.33836,0.24634,2.1585
0.8,1.9,0.86551,2.4236,0.82855,0.82031,2.8733,3.7903,0.34889,0.23975,2.154
0.8,1.9,0.86377,2.4279,0.82903,0.82449,2.8818,3.7872,0.35928,0.23333,2.1498
0.8,1.9,0.86226,2.4319,0.82937,0.82816,2.8894,3.7845,0.36846,0.22773,2.1461
0.8,1.9,0.85945,2.4341,0.82971,0.83357,2.899,3.7811,0.3802,0.22064,2.1386
0.8,1.9,0.85759,2.4382,0.82988,0.83786,2.9077,3.7781,0.39074,0.21437,2.1338
0.8,1.9,0.85572,2.442,0.83075,0.84254,2.9164,3.7751,0.40132,0.20815,2.1296
0.8,1.9,0.85411,2.4468,0.83119,0.84857,2.9252,3.7721,0.41195,0.20198,2.1258
0.8,1.9,0.85232,2.4507,0.83242,0.85396,2.934,3.7692,0.42263,0.19585,2.122
0.8,1.9,0.85049,2.4537,0.83274,0.85591,2.9417,3.7666,0.43201,0.19055,2.1174
0.8,1.9,0.84853,2.4584,0.83385,0.86272,2.9517,3.7634,0.44415,0.18375,2.1133
0.8,1.9,0.84669,2.4626,0.83407,0.86709,2.9606,3.7605,0.45498,0.17778,2.1087
0.8,1.9,0.84518,2.4666,0.83431,0.87083,2.9684,3.758,0.46446,0.17263,2.105
0.8,1.9,0.84266,2.4694,0.83528,0.87607,2.9784,3.7549,0.47659,0.16613,2.0992
0.8,1.9,0.84054,2.4728,0.83516,0.88071,2.9875,3.7521,0.48758,0.16031,2.0936
0.8,1.9,0.83873,2.4771,0.83536,0.8851,2.9966,3.7493,0.49863,0.15456,2.0891
0.8,1.9,0.83681,2.4807,0.83649,0.88956,3.0057,3.7466,0.50973,0.14886,2.0851
0.8,1.9,0.83524,2.4845,0.83712,0.89342,3.0139,3.7442,0.51961,0.14387,2.0817
0.8,1.9,0.8326,2.4874,0.83657,0.89887,3.0241,3.7412,0.53212,0.13764,2.0744
0.8,1.9,0.83082,2.4917,0.83683,0.90325,3.0334,3.7385,0.54339,0.13212,2.0702
0.8,1.9,0.82887,2.495,0.83836,0.90777,3.0428,3.7359,0.55473,0.12666,2.0664
0.8,1.9,0.82717,2.4995,0.83863,0.91237,3.0521,3.7333,0.56605,0.1213,2.0625
0.8,1.9,0.82523,2.5031,0.83921,0.91983,3.0615,3.7307,0.57751,0.11596,2.0581
0.8,1.9,0.8235,2.5074,0.83955,0.92425,3.071,3.7282,0.58903,0.11068,2.0541
0.8,1.9,0.82178,2.5118,0.83988,0.9286,3.0806,3.7257,0.60062,0.10547,2.0502
0.8,1.9,0.81968,2.5135,0.84048,0.92963,3.089,3.7235,0.61091,0.10096,2.0453
0.8,1.9,0.81763,2.5178,0.84106,0.93792,3.0998,3.7208,0.624,0.095256,2.0408
0.8,1.9,0.81595,2.5221,0.84143,0.9422,3.1095,3.7184,0.6358,0.090259,2.037
0.8,1.9,0.81374,2.5246,0.84102,0.94696,3.1193,3.716,0.64767,0.085333,2.0312
0.8,1.9,0.81168,2.5262,0.84165,0.94795,3.1279,3.714,0.65813,0.081125,2.0265
0.8,1.9,0.80973,2.5305,0.84228,0.95612,3.139,3.7114,0.67165,0.075723,2.0223
0.8,1.9,0.80791,2.5329,0.84168,0.95681,3.1477,3.7094,0.68219,0.071691,2.0175
0.8,1.9,0.80612,2.5362,0.84338,0.96119,3.1577,3.7072,0.69435,0.06711,2.0144
0.8,1.9,0.80425,2.5406,0.84403,0.96925,3.1693,3.7047,0.70839,0.061945,2.0105
0.8,1.9,0.80201,2.542,0.84493,0.97398,3.1794,3.7027,0.72071,0.057643,2.0056
0.8,1.9,0.80034,2.5453,0.84548,0.97702,3.1898,3.7006,0.73333,0.053466,2.0021
0.8,1.9,0.79904,2.5487,0.84382,0.97758,3.1987,3.699,0.74411,0.049988,1.9979
0.8,1.9,0.79741,2.5534,0.84435,0.98561,3.2108,3.6966,0.75877,0.045149,1.9945
0.8,1.9,0.79526,2.5539,0.84276,0.98337,3.2196,3.6951,0.76951,0.041888,1.9881
0.8,1.9,0.79409,2.5589,0.84206,0.98689,3.2301,3.6931,0.78223,0.037875,1.9851
0.8,1.9,0.79236,2.5621,0.84154,0.98886,3.2407,3.6913,0.7951,0.034009,1.9807
0.8,1.9,0.79096,2.5663,0.84085,0.99162,3.2513,3.6894,0.80791,0.030146,1.977
0.8,1.9,0.78896,2.5686,0.84034,0.99293,3.262,3.6877,0.82095,0.026492,1.972
0.8,1.9,0.78725,2.5735,0.84007,0.99962,3.2748,3.6853,0.83647,0.021533,1.968
0.8,1.9,0.78547,2.5765,0.83914,0.99884,3.2855,3.6838,0.84949,0.018366,1.9632
0.8,1.9,0.78393,2.5791,0.83735,0.99607,3.2947,3.6828,0.8607,0.016426,1.9585
0.8,1.9,0.78177,2.5826,0.83675,0.99915,3.3078,3.6808,0.87664,0.012279,1.9532
0.8,1.9,0.78054,2.5861,0.83498,0.99732,3.317,3.6801,0.8878,0.010733,1.9493
0.8,1.9,0.77824,2.5878,0.83336,0.99765,3.3285,3.6789,0.90167,0.008268,1.9429
0.8,1.9,0.77629,2.5931,0.83238,0.99961,3.3431,3.6772,0.9194,0.0047889,1.938
