a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,0.7,1.8653,0.8817,0.29127,0.48628,0.56607,1.3626,0,1,3.0487
0,0.7,1.868,0.88506,0.28984,0.48685,0.56608,1.359,1.9919e-05,0.98341,3.0478
0,0.7,1.8665,0.8887,0.28838,0.48987,0.56612,1.3554,9.8753e-05,0.96669,3.0329
0,0.7,1.8658,0.89238,0.28702,0.49248,0.56618,1.3518,0.00021483,0.95,3.0217
0,0.7,1.8687,0.896,0.28598,0.49309,0.56627,1.3482,0.00039033,0.93337,3.0252
0,0.7,1.8694,0.89969,0.28473,0.49435,0.56639,1.3446,0.00063532,0.9168,3.0196
0,0.7,1.8681,0.90324,0.28333,0.4893,0.56653,1.3412,0.00090562,0.90108,3.0065
0,0.7,1.8693,0.90704,0.28181,0.49025,0.56671,1.3374,0.001251,0.88381,3.0008
0,0.7,1.872,0.91061,0.28037,0.49086,0.56691,1.3339,0.001658,0.86741,3.0006
0,0.7,1.8704,0.91467,0.2795,0.49416,0.56715,1.3303,0.0021264,0.85091,2.9911
0,0.7,1.8701,0.91827,0.27823,0.4964,0.56739,1.327,0.0025942,0.83556,2.9828
0,0.7,1.8728,0.92191,0.27681,0.49699,0.56767,1.3235,0.003143,0.8193,2.9829
0,0.7,1.8754,0.92558,0.2754,0.49766,0.56799,1.32,0.003763,0.80313,2.9827
0,0.7,1.8732,0.92976,0.27465,0.49262,0.56833,1.3165,0.004435,0.78699,2.9726
0,0.7,1.874,0.93375,0.27313,0.49443,0.56871,1.3128,0.0051776,0.77009,2.9664
0,0.7,1.8765,0.93728,0.27181,0.49503,0.56908,1.3095,0.0059029,0.75485,2.9669
0,0.7,1.8795,0.94145,0.27098,0.49588,0.56953,1.3059,0.0067804,0.73791,2.9721
0,0.7,1.875,0.94541,0.26958,0.50031,0.56996,1.3026,0.0076212,0.72297,2.951
0,0.7,1.8753,0.94965,0.268,0.49413,0.57048,1.2992,0.0086433,0.70719,2.9436
0,0.7,1.8741,0.95464,0.26696,0.49749,0.5711,1.2956,0.0098537,0.69074,2.9356
0,0.7,1.8701,0.95924,0.26514,0.49391,0.57178,1.2923,0.011182,0.67527,2.9143
0,0.7,1.8669,0.96396,0.26409,0.49823,0.57251,1.2891,0.012613,0.66078,2.9005
0,0.7,1.8638,0.96952,0.26268,0.50287,0.57345,1.2857,0.014437,0.64491,2.8856
0,0.7,1.8613,0.97513,0.26123,0.50724,0.57445,1.2825,0.016408,0.63008,2.8721
0,0.7,1.859,0.98107,0.25963,0.50366,0.57559,1.2793,0.01863,0.6155,2.8589
0,0.7,1.8553,0.98692,0.25798,0.5087,0.57687,1.2762,0.021135,0.60121,2.8418
0,0.7,1.8517,0.99249,0.25683,0.51361,0.57822,1.2734,0.023774,0.58801,2.8275
0,0.7,1.8476,0.99903,0.25516,0.51915,0.57992,1.2703,0.027102,0.57357,2.8101
0,0.7,1.8441,1.0052,0.2535,0.52409,0.58162,1.2676,0.030423,0.56112,2.7946
0,0.7,1.8393,1.0119,0.25164,0.52774,0.58377,1.2646,0.034645,0.54752,2.775
0,0.7,1.8338,1.0182,0.24949,0.52842,0.58607,1.262,0.039141,0.53522,2.753
0,0.7,1.8287,1.0241,0.24761,0.53394,0.5885,1.2596,0.043887,0.52436,2.7336
0,0.7,1.826,1.0316,0.24587,0.53905,0.59152,1.2572,0.049808,0.51328,2.7216
