a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.2,1.5,0.94167,1.4787,0.63365,0.64504,1.8301,2.9578,0,1,2.4798
0.2,1.5,0.94161,1.4834,0.63049,0.61602,1.8301,2.9525,5.0187e-05,0.98425,2.4737
0.2,1.5,0.94242,1.4874,0.62798,0.62956,1.8302,2.9467,0.00014924,0.96755,2.4722
0.2,1.5,0.94243,1.4917,0.6251,0.64392,1.8303,2.9408,0.00034169,0.95012,2.4671
0.2,1.5,0.94312,1.496,0.62236,0.63843,1.8305,2.9354,0.00058824,0.93438,2.4649
0.2,1.5,0.94329,1.5007,0.61977,0.64123,1.8307,2.9295,0.00094807,0.91712,2.4612
0.2,1.5,0.94392,1.505,0.61758,0.64061,1.8309,2.9241,0.0013377,0.90152,2.4601
0.2,1.5,0.94457,1.5095,0.61475,0.64084,1.8312,2.9186,0.0018326,0.88522,2.4577
0.2,1.5,0.94464,1.5139,0.61191,0.6392,1.8316,2.913,0.0023962,0.86898,2.4532
0.2,1.5,0.94524,1.5188,0.60992,0.64657,1.832,2.9072,0.0030735,0.85202,2.4526
0.2,1.5,0.94547,1.5232,0.60709,0.64236,1.8325,2.9017,0.0037941,0.83594,2.4488
0.2,1.5,0.94632,1.5278,0.60432,0.64399,1.833,2.8962,0.0046014,0.81994,2.4476
0.2,1.5,0.94617,1.5321,0.60261,0.64545,1.8335,2.891,0.0054273,0.8048,2.4446
0.2,1.5,0.94749,1.537,0.59974,0.64584,1.8341,2.8854,0.0064327,0.78816,2.4451
0.2,1.5,0.94693,1.5413,0.59802,0.64287,1.8347,2.8802,0.0074142,0.77319,2.4406
0.2,1.5,0.94823,1.5462,0.59521,0.64895,1.8354,2.8746,0.0085741,0.75669,2.4412
0.2,1.5,0.94774,1.5506,0.59338,0.6459,1.8362,2.8692,0.0097607,0.74107,2.4369
0.2,1.5,0.94727,1.5551,0.59155,0.64859,1.837,2.8639,0.011058,0.72556,2.4327
0.2,1.5,0.9469,1.5599,0.58955,0.64563,1.8379,2.8587,0.012539,0.71024,2.4287
0.2,1.5,0.94659,1.5649,0.58736,0.64279,1.8389,2.8535,0.014199,0.69509,2.4246
0.2,1.5,0.9462,1.5701,0.58522,0.64528,1.8401,2.8484,0.016043,0.68013,2.4204
0.2,1.5,0.94542,1.5752,0.58294,0.64361,1.8413,2.8433,0.01807,0.66536,2.4146
0.2,1.5,0.94481,1.5802,0.58075,0.64144,1.8426,2.8386,0.020174,0.65159,2.4096
0.2,1.5,0.94409,1.5855,0.5783,0.64479,1.8441,2.8337,0.022585,0.63721,2.4038
0.2,1.5,0.94361,1.5912,0.57573,0.648,1.8458,2.8289,0.025227,0.62306,2.3989
0.2,1.5,0.94249,1.5969,0.57311,0.64688,1.8476,2.8238,0.028268,0.60834,2.3916
0.2,1.5,0.94168,1.6025,0.57134,0.65056,1.8496,2.8191,0.031396,0.59467,2.3869
0.2,1.5,0.94054,1.608,0.56855,0.65457,1.8517,2.8145,0.03479,0.58121,2.3795
0.2,1.5,0.93979,1.6141,0.56644,0.65321,1.854,2.81,0.038475,0.56794,2.3746
0.2,1.5,0.93854,1.6195,0.56391,0.65737,1.8564,2.8056,0.042359,0.55518,2.3673
0.2,1.5,0.93711,1.625,0.56197,0.66177,1.859,2.8013,0.046611,0.54246,2.3603
0.2,1.5,0.93572,1.6303,0.55986,0.66607,1.8618,2.7971,0.051078,0.53029,2.3533
0.2,1.5,0.93418,1.6357,0.55755,0.66851,1.8648,2.793,0.055893,0.5183,2.3456
