a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,1.3,1.1035,1.267,0.49145,0.57998,1.347,2.3614,0,1,2.6078
0,1.3,1.1047,1.271,0.48919,0.57718,1.347,2.3564,3.6017e-05,0.98343,2.6065
0,1.3,1.1041,1.275,0.48693,0.56761,1.3471,2.3516,0.00011057,0.9675,2.5985
0,1.3,1.1053,1.279,0.48474,0.57783,1.3471,2.3466,0.00021946,0.95081,2.5977
0,1.3,1.1068,1.2832,0.48245,0.57693,1.3472,2.3416,0.00038715,0.93417,2.5977
0,1.3,1.1069,1.2875,0.48007,0.57661,1.3474,2.3364,0.00061696,0.91679,2.5921
0,1.3,1.1072,1.2914,0.47792,0.57851,1.3475,2.3316,0.00086306,0.90104,2.588
0,1.3,1.1083,1.2958,0.47554,0.57949,1.3477,2.3264,0.001212,0.88377,2.5866
0,1.3,1.1076,1.3,0.47366,0.58238,1.3479,2.3215,0.001602,0.86719,2.5799
0,1.3,1.109,1.3041,0.47161,0.58284,1.3482,2.3168,0.0020217,0.85179,2.5805
0,1.3,1.1098,1.3083,0.46936,0.58357,1.3485,2.3119,0.0025512,0.83552,2.5783
0,1.3,1.1094,1.3125,0.4676,0.58068,1.3488,2.3071,0.0031497,0.81932,2.5731
0,1.3,1.1102,1.3168,0.46538,0.58188,1.3492,2.3022,0.0038431,0.80321,2.5711
0,1.3,1.1097,1.321,0.46366,0.58451,1.3497,2.2974,0.004617,0.78718,2.5659
0,1.3,1.1087,1.3254,0.46178,0.58211,1.3503,2.2924,0.0055804,0.7705,2.5585
0,1.3,1.1083,1.33,0.45981,0.58471,1.3509,2.2876,0.0066809,0.75462,2.5534
0,1.3,1.1083,1.3347,0.45742,0.58154,1.3516,2.283,0.007923,0.73923,2.5483
0,1.3,1.1075,1.3396,0.45604,0.58473,1.3525,2.2784,0.009355,0.72386,2.5435
0,1.3,1.107,1.3445,0.45359,0.58231,1.3534,2.2738,0.010969,0.70867,2.5369
0,1.3,1.1065,1.3496,0.45199,0.58541,1.3544,2.2693,0.012776,0.69367,2.5324
0,1.3,1.1057,1.3547,0.44993,0.58356,1.3556,2.2649,0.014782,0.67888,2.5259
0,1.3,1.1048,1.3595,0.44802,0.58684,1.3568,2.2607,0.016858,0.66508,2.5196
0,1.3,1.1038,1.3647,0.44593,0.59045,1.3582,2.2564,0.019262,0.65069,2.5125
0,1.3,1.1025,1.3701,0.44452,0.58954,1.3598,2.2519,0.022044,0.63573,2.5059
0,1.3,1.1012,1.3749,0.44263,0.59328,1.3614,2.2479,0.024726,0.62258,2.4983
0,1.3,1.1003,1.3804,0.44053,0.59687,1.3632,2.2438,0.027798,0.60886,2.492
0,1.3,1.0992,1.3862,0.43894,0.59887,1.3653,2.2395,0.031336,0.59461,2.4859
0,1.3,1.0976,1.3911,0.43751,0.60009,1.3672,2.2358,0.034693,0.58219,2.4787
0,1.3,1.0962,1.3969,0.43612,0.60439,1.3696,2.2317,0.038777,0.56845,2.4724
0,1.3,1.0951,1.4027,0.43474,0.60836,1.372,2.2279,0.042914,0.55573,2.467
0,1.3,1.0933,1.4078,0.43414,0.61281,1.3746,2.2241,0.047303,0.54337,2.4607
0,1.3,1.0914,1.4126,0.4329,0.61717,1.3771,2.2207,0.051752,0.53186,2.4529
0,1.3,1.0898,1.4184,0.43199,0.61724,1.3802,2.2169,0.057036,0.51928,2.447
0,1.3,1.0879,1.4231,0.43091,0.62138,1.3831,2.2137,0.061952,0.50851,2.4395
0,1.3,1.0859,1.4284,0.43033,0.62609,1.3865,2.2101,0.067834,0.49665,2.433
0,1.3,1.0834,1.4331,0.42865,0.63109,1.39,2.2068,0.073797,0.48562,2.4227
0,1.3,1.0816,1.4379,0.42757,0.63529,1.3933,2.2038,0.07957,0.47582,2.4157
0,1.3,1.0798,1.4434,0.42659,0.63993,1.3975,2.2005,0.086632,0.46485,2.4091
0,1.3,1.0776,1.4477,0.42517,0.64434,1.4012,2.1978,0.093039,0.45578,2.4003
0,1.3,1.0747,1.4516,0.42359,0.64935,1.4055,2.195,0.10037,0.44637,2.3893
0,1.3,1.0722,1.4563,0.42097,0.65427,1.41,2.1923,0.10818,0.43748,2.3779
0,1.3,1.0702,1.4603,0.4202,0.65843,1.4149,2.1898,0.11657,0.42911,2.3711
0,1.3,1.0681,1.4634,0.42078,0.66234,1.4198,2.1873,0.12504,0.42078,2.366
0,1.3,1.066,1.467,0.42072,0.66641,1.4248,2.1848,0.13357,0.41251,2.3601
0,1.3,1.0629,1.4689,0.42106,0.67098,1.4298,2.1824,0.14216,0.40431,2.3517
0,1.3,1.0606,1.4723,0.42093,0.67522,1.4348,2.1799,0.1508,0.39616,2.3451
0,1.3,1.0583,1.4757,0.42092,0.67946,1.4399,2.1775,0.1595,0.38806,2.3387
0,1.3,1.0558,1.4791,0.4212,0.68398,1.4454,2.1749,0.16892,0.37943,2.3323
0,1.3,1.0537,1.4822,0.42149,0.68784,1.4501,2.1727,0.17709,0.37206,2.3271
0,1.3,1.051,1.4851,0.42119,0.69247,1.4553,2.1703,0.18597,0.36415,2.319
0,1.3,1.0482,1.488,0.42109,0.69708,1.4605,2.1679,0.19492,0.3563,2.3112
0,1.3,1.0458,1.4911,0.42169,0.70133,1.4658,2.1656,0.20392,0.34851,2.3058
0,1.3,1.0436,1.4946,0.42166,0.7057,1.4711,2.1633,0.21299,0.34079,2.2996
0,1.3,1.0407,1.4974,0.42152,0.71043,1.4764,2.161,0.22212,0.33313,2.2916
0,1.3,1.0378,1.4999,0.42191,0.71512,1.4817,2.1587,0.23131,0.32553,2.2844
0,1.3,1.0354,1.5034,0.4219,0.71957,1.4871,2.1564,0.24057,0.31799,2.2782
0,1.3,1.033,1.5064,0.42259,0.72401,1.4925,2.1542,0.24988,0.31054,2.2727
0,1.3,1.0295,1.5092,0.42224,0.72952,1.4985,2.1517,0.2601,0.30248,2.263
0,1.3,1.0272,1.5122,0.42218,0.73369,1.5035,2.1497,0.26872,0.29578,2.2569
0,1.3,1.0251,1.5162,0.42221,0.73968,1.5091,2.1475,0.27824,0.2885,2.2515
0,1.3,1.0223,1.5191,0.42254,0.74697,1.5146,2.1454,0.28781,0.28129,2.2449
0,1.3,1.0196,1.5223,0.4224,0.75173,1.5202,2.1432,0.29746,0.27414,2.2378
0,1.3,1.0169,1.5259,0.42264,0.75678,1.5264,2.1409,0.30801,0.26647,2.2311
0,1.3,1.0139,1.5284,0.42295,0.7617,1.5321,2.1388,0.31781,0.25947,2.2239
0,1.3,1.011,1.5314,0.42273,0.76665,1.5378,2.1367,0.32767,0.25253,2.2163
0,1.3,1.0088,1.5347,0.42291,0.77085,1.5431,2.1349,0.33675,0.24628,2.2112
0,1.3,1.0056,1.5374,0.42337,0.77627,1.5495,2.1326,0.34765,0.2389,2.2036
0,1.3,1.0027,1.5403,0.42313,0.78129,1.5554,2.1306,0.35773,0.2322,2.196
0,1.3,1.0002,1.5439,0.42319,0.78601,1.5613,2.1286,0.36791,0.22556,2.1901
