a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.2,1,1.2654,1.2149,0.48726,0.56996,1.1421,2.1652,0,1,2.7383
0.2,1,1.2665,1.2191,0.48496,0.56953,1.1422,2.1603,3.8781e-05,0.98343,2.735
0.2,1,1.2656,1.2234,0.48362,0.56697,1.1422,2.1556,0.00012287,0.96752,2.728
0.2,1,1.2675,1.2279,0.48121,0.57452,1.1423,2.1504,0.00029011,0.95007,2.7273
0.2,1,1.2669,1.2319,0.47902,0.56988,1.1424,2.1458,0.00051324,0.93429,2.7179
0.2,1,1.2677,1.2362,0.47672,0.57123,1.1426,2.1409,0.00079797,0.91777,2.7138
0.2,1,1.2694,1.2408,0.47431,0.5719,1.1428,2.1358,0.0011893,0.90053,2.7126
0.2,1,1.2682,1.2453,0.47291,0.57538,1.1431,2.131,0.0016173,0.88414,2.7044
0.2,1,1.2699,1.2495,0.47074,0.57577,1.1434,2.1264,0.0020896,0.86862,2.7043
0.2,1,1.2703,1.254,0.46834,0.57763,1.1437,2.1214,0.0026967,0.85158,2.6985
0.2,1,1.2703,1.2584,0.46706,0.57278,1.1441,2.1168,0.003297,0.83619,2.6954
0.2,1,1.2722,1.2629,0.46482,0.5732,1.1445,2.1121,0.0040028,0.82008,2.6955
0.2,1,1.2713,1.2677,0.46334,0.57638,1.145,2.1071,0.0048184,0.80323,2.6888
0.2,1,1.2726,1.2719,0.46121,0.57723,1.1454,2.1026,0.0056104,0.78804,2.6872
0.2,1,1.2741,1.2766,0.45887,0.57801,1.146,2.0977,0.0065735,0.77133,2.6862
0.2,1,1.2734,1.2813,0.45753,0.58093,1.1466,2.093,0.0075474,0.75547,2.6805
0.2,1,1.2748,1.2856,0.45543,0.57491,1.1472,2.0886,0.0085384,0.74048,2.6797
0.2,1,1.2755,1.2903,0.45417,0.57645,1.1478,2.0839,0.0096483,0.72476,2.6794
0.2,1,1.2754,1.295,0.45177,0.57878,1.1485,2.0791,0.010889,0.70831,2.6723
0.2,1,1.2741,1.3,0.45026,0.57556,1.1493,2.0745,0.012257,0.69284,2.6647
0.2,1,1.273,1.3049,0.44877,0.57238,1.1502,2.0702,0.01373,0.67835,2.6573
