a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.3,1.8,0.67222,1.6923,0.59309,0.90109,2.6457,3.4425,0,1,1.8
0.3,1.8,0.67218,1.696,0.59022,0.89406,2.6459,3.4379,0.00045983,0.98362,1.8
0.3,1.8,0.67216,1.6996,0.58747,0.89594,2.646,3.4332,0.00088185,0.967,1.8
0.3,1.8,0.67213,1.7033,0.58453,0.90663,2.6461,3.4284,0.0012816,0.95016,1.8
0.3,1.8,0.67205,1.7068,0.58159,0.90383,2.6465,3.4239,0.002262,0.93429,1.8
0.3,1.8,0.67197,1.7104,0.57834,0.90594,2.6468,3.4193,0.0030878,0.91789,1.8
0.3,1.8,0.67186,1.7139,0.5754,0.90351,2.6472,3.4149,0.0044353,0.90235,1.8
0.3,1.8,0.67174,1.7174,0.57222,0.90537,2.6477,3.4104,0.005834,0.88667,1.8
0.3,1.8,0.67161,1.7209,0.56884,0.90732,2.6482,3.406,0.0073106,0.8709,1.8
0.3,1.8,0.67143,1.7243,0.56546,0.9093,2.6488,3.4017,0.009178,0.85568,1.8
0.3,1.8,0.67122,1.7276,0.56219,0.91129,2.6496,3.3975,0.011445,0.84104,1.8
0.3,1.8,0.67097,1.7308,0.55854,0.90902,2.6504,3.3934,0.013849,0.82635,1.8
0.3,1.8,0.67069,1.734,0.55481,0.91112,2.6514,3.3893,0.016542,0.81194,1.7999
0.3,1.8,0.67037,1.7372,0.55086,0.91327,2.6524,3.3852,0.01943,0.79753,1.8
0.3,1.8,0.66999,1.7402,0.54701,0.91548,2.6536,3.3814,0.022936,0.78411,1.7999
0.3,1.8,0.66959,1.7432,0.54288,0.91774,2.6548,3.3776,0.02659,0.77043,1.8
0.3,1.8,0.66913,1.7461,0.5388,0.91574,2.6563,3.3739,0.030805,0.7575,1.8
0.3,1.8,0.6687,1.7488,0.53522,0.91793,2.6579,3.3705,0.035595,0.74535,1.7999
0.3,1.8,0.66838,1.7516,0.53204,0.91995,2.6596,3.367,0.040697,0.73306,1.8
0.3,1.8,0.66828,1.7543,0.53031,0.9215,2.6616,3.3638,0.046394,0.72156,1.8
0.3,1.8,0.66835,1.7571,0.52953,0.91962,2.6637,3.3606,0.052472,0.71038,1.8
0.3,1.8,0.6685,1.7598,0.52944,0.91948,2.6659,3.3576,0.058933,0.69995,1.7999
0.3,1.8,0.66872,1.7625,0.52955,0.92037,2.6681,3.3546,0.065511,0.68932,1.7999
0.3,1.8,0.66895,1.7653,0.52964,0.92123,2.6704,3.3516,0.072189,0.67852,1.8
0.3,1.8,0.66906,1.7675,0.53022,0.91802,2.6729,3.3492,0.079417,0.67012,1.7997
0.3,1.8,0.66945,1.7707,0.53032,0.92284,2.6752,3.3457,0.086009,0.65784,1.8
0.3,1.8,0.66964,1.7733,0.53063,0.91957,2.6776,3.343,0.093117,0.64804,1.7999
0.3,1.8,0.66987,1.7759,0.53096,0.92039,2.68,3.3401,0.10023,0.63793,1.7999
