a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.7,1,0.88155,1.5125,0.56668,0.90781,1.934,2.7667,0,1,1.6
0.7,1,0.8818,1.5191,0.56436,0.91086,1.934,2.7596,1.9948e-05,0.98321,1.6
0.7,1,0.88201,1.5255,0.56204,0.90891,1.9341,2.7527,0.00036371,0.96678,1.6
0.7,1,0.88223,1.532,0.55974,0.91195,1.9343,2.7458,0.00084315,0.95043,1.6
0.7,1,0.88239,1.5384,0.55751,0.90525,1.9346,2.7391,0.0017274,0.93471,1.6
0.7,1,0.88263,1.5449,0.55525,0.9131,1.9349,2.7322,0.002423,0.9184,1.6
0.7,1,0.88282,1.5513,0.55305,0.91609,1.9353,2.7256,0.0035008,0.90267,1.6
0.7,1,0.88292,1.5576,0.55066,0.91422,1.9358,2.7191,0.0049501,0.88752,1.6
0.7,1,0.88314,1.5641,0.54848,0.91718,1.9363,2.7125,0.0062661,0.87185,1.6
0.7,1,0.88327,1.5703,0.54641,0.91543,1.937,2.7063,0.0080831,0.85705,1.6
0.7,1,0.88345,1.5768,0.54405,0.92299,1.9376,2.6998,0.0097722,0.84171,1.6
0.7,1,0.88357,1.583,0.54203,0.92121,1.9384,2.6937,0.011961,0.82727,1.6
0.7,1,0.88372,1.5893,0.53975,0.92404,1.9392,2.6874,0.014112,0.81247,1.6
0.7,1,0.88385,1.5956,0.53754,0.92672,1.9401,2.6813,0.016549,0.79806,1.6
0.7,1,0.88392,1.6017,0.53541,0.92509,1.9412,2.6755,0.019335,0.78423,1.6
0.7,1,0.88406,1.608,0.53326,0.92786,1.9422,2.6694,0.022096,0.77003,1.6
0.7,1,0.88413,1.614,0.53122,0.92613,1.9434,2.6637,0.025263,0.75655,1.6
0.7,1,0.88423,1.6201,0.52919,0.92887,1.9446,2.658,0.02853,0.74302,1.6
0.7,1,0.88435,1.6263,0.52715,0.93156,1.9458,2.6523,0.031915,0.72944,1.6
0.7,1,0.88442,1.6323,0.52507,0.92985,1.9472,2.6467,0.035599,0.71632,1.6
0.7,1,0.88449,1.6382,0.52301,0.93248,1.9486,2.6413,0.039484,0.7034,1.6
0.7,1,0.88455,1.6441,0.52105,0.93509,1.9502,2.6359,0.04358,0.69069,1.6
0.7,1,0.88461,1.65,0.51909,0.93339,1.9518,2.6306,0.047884,0.67819,1.6
0.7,1,0.88468,1.6558,0.51721,0.93595,1.9534,2.6254,0.05239,0.66588,1.6
0.7,1,0.88475,1.6616,0.51539,0.93847,1.9552,2.6203,0.057118,0.65381,1.6
0.7,1,0.88479,1.6673,0.51352,0.93676,1.957,2.6153,0.062048,0.64194,1.6
0.7,1,0.88485,1.673,0.51176,0.93922,1.9589,2.6103,0.067185,0.63027,1.6
0.7,1,0.88491,1.6786,0.50999,0.94165,1.9609,2.6055,0.072522,0.61875,1.6
0.7,1,0.88496,1.6841,0.50835,0.93994,1.963,2.6007,0.078096,0.60757,1.6
0.7,1,0.88503,1.6896,0.50678,0.9423,1.9651,2.5961,0.083863,0.59653,1.6
0.7,1,0.8851,1.6951,0.50521,0.94462,1.9673,2.5915,0.089828,0.58564,1.6
0.7,1,0.88517,1.7004,0.50374,0.9429,1.9696,2.587,0.096022,0.57508,1.6
0.7,1,0.88524,1.7057,0.50229,0.94515,1.972,2.5826,0.10241,0.56464,1.6
0.7,1,0.88534,1.711,0.501,0.94343,1.9745,2.5783,0.109,0.55443,1.6
0.7,1,0.88544,1.7161,0.49975,0.94562,1.977,2.574,0.11579,0.54443,1.6
0.7,1,0.88556,1.7213,0.49858,0.94777,1.9796,2.5699,0.12278,0.53461,1.6
0.7,1,0.88569,1.7263,0.49753,0.94603,1.9823,2.5658,0.12996,0.52499,1.6
0.7,1,0.8858,1.7313,0.49659,0.94812,1.985,2.5619,0.13735,0.51579,1.6
0.7,1,0.88599,1.7363,0.49568,0.95016,1.9878,2.5579,0.14488,0.5063,1.6
0.7,1,0.88617,1.7412,0.49491,0.94841,1.9907,2.5541,0.15261,0.49722,1.6
0.7,1,0.88636,1.7461,0.49423,0.9504,1.9936,2.5503,0.1605,0.48831,1.6
0.7,1,0.88542,1.7475,0.49446,0.93467,1.9969,2.5501,0.16928,0.4879,1.5989
0.7,1,0.88675,1.7555,0.49315,0.95063,1.9996,2.5431,0.17679,0.47122,1.6
0.7,1,0.88701,1.7603,0.49267,0.95253,2.0028,2.5394,0.18514,0.46254,1.6
0.7,1,0.88725,1.765,0.49231,0.95442,2.0059,2.5359,0.19365,0.45424,1.6
0.7,1,0.88743,1.7695,0.492,0.95272,2.0091,2.5326,0.20228,0.44639,1.5999
0.7,1,0.88768,1.774,0.49175,0.95457,2.0124,2.5291,0.21104,0.43835,1.5999
0.7,1,0.88798,1.7787,0.49152,0.95639,2.0157,2.5257,0.21994,0.43011,1.6
0.7,1,0.88824,1.7832,0.49137,0.95472,2.019,2.5224,0.22894,0.4223,1.6
0.7,1,0.88844,1.7876,0.49122,0.95654,2.0224,2.5192,0.23801,0.41483,1.6
0.7,1,0.88873,1.7921,0.49107,0.95832,2.0258,2.5159,0.24724,0.40699,1.6
0.7,1,0.88892,1.7963,0.49098,0.9567,2.0293,2.5128,0.2565,0.39981,1.5999
0.7,1,0.88923,1.8009,0.49092,0.95847,2.0328,2.5096,0.26593,0.39207,1.6
0.7,1,0.88946,1.8052,0.49085,0.96023,2.0363,2.5065,0.2754,0.38474,1.6
0.7,1,0.88966,1.8093,0.49079,0.95866,2.0398,2.5035,0.28492,0.37773,1.5999
0.7,1,0.88988,1.8136,0.49072,0.9604,2.0434,2.5005,0.29455,0.37056,1.5999
0.7,1,0.89017,1.818,0.49073,0.96213,2.047,2.4974,0.30431,0.36321,1.6
0.7,1,0.89034,1.822,0.49069,0.96062,2.0506,2.4945,0.31404,0.35644,1.5999
0.7,1,0.89055,1.8262,0.49061,0.96233,2.0543,2.4916,0.32389,0.34949,1.5999
0.7,1,0.8908,1.8305,0.49055,0.96401,2.058,2.4885,0.33386,0.34234,1.6
0.7,1,0.89096,1.8345,0.49052,0.96255,2.0617,2.4858,0.34378,0.33577,1.5999
0.7,1,0.89121,1.8387,0.49046,0.96422,2.0654,2.4828,0.35388,0.32875,1.6
0.7,1,0.89141,1.8428,0.49035,0.96587,2.0692,2.4799,0.36399,0.32199,1.6
0.7,1,0.89154,1.8466,0.4903,0.96446,2.0729,2.4772,0.37406,0.31565,1.5999
0.7,1,0.89177,1.8508,0.49021,0.96609,2.0768,2.4743,0.38434,0.30879,1.6
0.7,1,0.8919,1.8546,0.49012,0.96471,2.0805,2.4717,0.39453,0.3025,1.5999
0.7,1,0.89205,1.8585,0.48997,0.96633,2.0844,2.469,0.4048,0.29607,1.5999
0.7,1,0.89227,1.8626,0.48982,0.96792,2.0882,2.4661,0.41523,0.28929,1.6
0.7,1,0.89243,1.8665,0.48961,0.96949,2.0921,2.4634,0.42564,0.2828,1.6
0.7,1,0.89252,1.8703,0.4894,0.96813,2.0959,2.4608,0.43596,0.27671,1.5999
0.7,1,0.89266,1.8741,0.48915,0.96969,2.0998,2.4581,0.4464,0.27035,1.5999
0.7,1,0.8928,1.878,0.48887,0.96835,2.1037,2.4554,0.45688,0.26403,1.5999
0.7,1,0.89292,1.8818,0.48851,0.96986,2.1076,2.4527,0.46737,0.25771,1.5999
0.7,1,0.89309,1.8857,0.48817,0.97135,2.1115,2.45,0.47797,0.25116,1.6
0.7,1,0.89315,1.8893,0.48776,0.97004,2.1154,2.4474,0.48843,0.24516,1.5999
0.7,1,0.89301,1.8924,0.48723,0.96878,2.1192,2.4453,0.49855,0.24021,1.5997
0.7,1,0.89341,1.897,0.48687,0.97295,2.1233,2.442,0.50962,0.2324,1.6
0.7,1,0.89321,1.8999,0.48624,0.96898,2.1271,2.4401,0.51971,0.22776,1.5997
0.7,1,0.89355,1.9043,0.48579,0.97307,2.1311,2.4369,0.5307,0.22021,1.5999
0.7,1,0.89368,1.9081,0.48524,0.97447,2.1351,2.4341,0.54137,0.21375,1.6
0.7,1,0.89377,1.9118,0.4846,0.97585,2.139,2.4315,0.552,0.20748,1.6
0.7,1,0.89379,1.9153,0.48397,0.97457,2.1429,2.429,0.56249,0.20158,1.5999
0.7,1,0.89392,1.9192,0.48337,0.97595,2.1469,2.4263,0.57318,0.19512,1.6
0.7,1,0.89395,1.9227,0.48272,0.97472,2.1508,2.4238,0.5837,0.18918,1.5999
0.7,1,0.89402,1.9264,0.48205,0.97608,2.1548,2.4211,0.59431,0.18298,1.5999
0.7,1,0.89384,1.9294,0.4813,0.97239,2.1586,2.4191,0.60453,0.17813,1.5997
0.7,1,0.89415,1.9337,0.48078,0.97627,2.1626,2.4159,0.61551,0.17067,1.5999
0.7,1,0.89422,1.9374,0.48012,0.97763,2.1666,2.4133,0.62612,0.16448,1.5999
0.7,1,0.89436,1.9413,0.47955,0.97899,2.1706,2.4106,0.63685,0.15797,1.6
0.7,1,0.89436,1.9448,0.47888,0.97787,2.1745,2.4081,0.64736,0.15211,1.5999
0.7,1,0.89443,1.9484,0.47822,0.97921,2.1784,2.4055,0.65798,0.14592,1.5999
0.7,1,0.89451,1.9521,0.47764,0.97816,2.1824,2.4028,0.66862,0.13976,1.5999
0.7,1,0.89457,1.9558,0.47697,0.9795,2.1863,2.4002,0.67924,0.13357,1.5999
0.7,1,0.89471,1.9597,0.47642,0.98087,2.1903,2.3975,0.68998,0.12707,1.6
0.7,1,0.89478,1.9634,0.47578,0.98221,2.1943,2.3949,0.70062,0.12088,1.6
0.7,1,0.89477,1.9669,0.47508,0.98118,2.1982,2.3924,0.71114,0.11505,1.5999
0.7,1,0.89459,1.9699,0.47424,0.97791,2.202,2.3903,0.72142,0.11017,1.5997
0.7,1,0.89491,1.9742,0.47385,0.98157,2.2061,2.3872,0.73243,0.10273,1.5999
0.7,1,0.89499,1.978,0.47323,0.98291,2.21,2.3845,0.7431,0.096474,1.5999
0.7,1,0.89512,1.9818,0.47273,0.98428,2.214,2.3818,0.75383,0.090053,1.6
0.7,1,0.89491,1.9883,0.47106,0.98025,2.2218,2.3773,0.77468,0.079392,1.5997
0.7,1,0.89524,1.9927,0.4707,0.98599,2.2259,2.3741,0.78569,0.071846,1.5999
0.7,1,0.89531,1.9964,0.47013,0.98516,2.2298,2.3715,0.79637,0.065712,1.5999
0.7,1,0.89552,2.0004,0.47052,0.98864,2.2338,2.3689,0.80702,0.059562,1.5999
0.7,1,0.89579,2.0044,0.47325,0.9887,2.2376,2.367,0.81732,0.054926,1.5997
0.7,1,0.89613,2.0089,0.4729,0.99473,2.2418,2.3638,0.82859,0.047536,1.5999
0.7,1,0.89641,2.0132,0.47372,0.99835,2.2459,2.3612,0.8396,0.041399,1.6
0.7,1,0.8967,2.0175,0.47818,0.9949,2.2499,2.3597,0.85033,0.037755,1.5997
0.7,1,0.89714,2.0224,0.47851,0.99978,2.2542,2.3565,0.86209,0.030258,1.6
0.7,1,0.89722,2.0263,0.48212,0.99709,2.2584,2.3553,0.87331,0.027412,1.5997
0.7,1,0.8977,2.0316,0.48359,0.99987,2.2631,2.3524,0.88589,0.020495,1.6
0.7,1,0.8976,2.0352,0.48606,0.99821,2.2674,2.3515,0.89742,0.018408,1.5997
0.7,1,0.89801,2.0407,0.48801,0.99969,2.2724,2.3491,0.91104,0.012608,1.5999
0.7,1,0.89813,2.0454,0.48984,0.99975,2.2774,2.3476,0.92428,0.0091431,1.5999
0.7,1,0.89828,2.0504,0.49157,0.99996,2.2826,2.3462,0.93836,0.0057842,1.6
0.7,1,0.89802,2.0535,0.49291,0.99912,2.2866,2.3461,0.94927,0.0056438,1.5997
0.7,1,0.89836,2.06,0.49457,0.99986,2.2931,2.3445,0.96658,0.0019071,1.5999
0.7,1,0.89851,2.0715,0.4968,0.99995,2.3055,2.3437,1,0,1.6
