a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.9,0.3,6.6905,0.82633,0.4359,0.39297,0.16839,1.1485,0,1,4.6662
0.9,0.3,6.7048,0.83058,0.4338,0.40242,0.1684,1.1442,1.1271e-05,0.98325,4.6607
0.9,0.3,6.7105,0.83537,0.43195,0.40421,0.16842,1.14,4.2117e-05,0.96663,4.6424
0.9,0.3,6.7115,0.84055,0.43022,0.40669,0.16845,1.1357,8.7041e-05,0.94987,4.6168
0.9,0.3,6.7133,0.84573,0.42865,0.39779,0.16849,1.1314,0.00014548,0.93296,4.5959
0.9,0.3,6.7287,0.85036,0.42671,0.39849,0.16854,1.1271,0.0002235,0.91623,4.5964
0.9,0.3,6.7372,0.85571,0.42538,0.40044,0.1686,1.1229,0.00031884,0.89968,4.5937
0.9,0.3,6.7318,0.86149,0.42382,0.40386,0.16867,1.1186,0.00043247,0.88299,4.5592
0.9,0.3,6.7413,0.86664,0.42207,0.39453,0.16875,1.1143,0.00056304,0.86615,4.5517
0.9,0.3,6.7579,0.87165,0.42033,0.39534,0.16885,1.1101,0.00071383,0.84949,4.5583
0.9,0.3,6.7593,0.87739,0.41892,0.39805,0.16895,1.1059,0.00088254,0.83302,4.5405
0.9,0.3,6.7549,0.88334,0.4173,0.40129,0.16907,1.1017,0.0010717,0.8164,4.5088
0.9,0.3,6.7708,0.88854,0.41551,0.40213,0.1692,1.0974,0.0012752,0.7998,4.5133
0.9,0.3,6.786,0.89409,0.41402,0.39304,0.16935,1.0932,0.0014996,0.78305,4.5215
0.9,0.3,6.7865,0.89993,0.41228,0.39563,0.1695,1.0889,0.0017474,0.76649,4.4977
0.9,0.3,6.7906,0.90585,0.41081,0.39802,0.16967,1.0848,0.0020059,0.75012,4.4853
0.9,0.3,6.8043,0.91171,0.40939,0.39951,0.16985,1.0805,0.002287,0.73342,4.4918
0.9,0.3,6.814,0.91728,0.40742,0.4009,0.17004,1.0763,0.00259,0.71708,4.4824
0.9,0.3,6.8182,0.92394,0.40662,0.3942,0.17025,1.0721,0.0029137,0.70043,4.4806
0.9,0.3,6.8214,0.92997,0.40481,0.39648,0.17046,1.0679,0.0032491,0.68396,4.4618
0.9,0.3,6.8377,0.93568,0.40305,0.39727,0.17069,1.0637,0.0036054,0.66751,4.4682
0.9,0.3,6.845,0.94202,0.40185,0.39952,0.17092,1.0595,0.0039791,0.65126,4.4662
0.9,0.3,6.8504,0.94819,0.39999,0.40149,0.17118,1.0554,0.0043762,0.63483,4.4514
0.9,0.3,6.8592,0.95492,0.39912,0.39466,0.17144,1.0511,0.0047906,0.61828,4.4569
0.9,0.3,6.8446,0.96243,0.39801,0.39929,0.17174,1.047,0.0052588,0.6021,4.4171
0.9,0.3,6.8373,0.97057,0.39681,0.39465,0.17209,1.0429,0.0058155,0.58585,4.3899
0.9,0.3,6.8315,0.97952,0.39576,0.39924,0.17251,1.0388,0.0064682,0.5697,4.368
0.9,0.3,6.8251,0.9891,0.39436,0.39542,0.17299,1.0347,0.0072239,0.55366,4.3407
0.9,0.3,6.8149,0.99875,0.39222,0.40006,0.17351,1.0308,0.0080508,0.53852,4.2985
0.9,0.3,6.8011,1.0103,0.39074,0.40616,0.1742,1.0266,0.0091303,0.52195,4.2598
0.9,0.3,6.7876,1.0223,0.38912,0.40408,0.17496,1.0226,0.010334,0.50635,4.2208
0.9,0.3,6.7645,1.0345,0.38724,0.41082,0.17587,1.0187,0.011751,0.49096,4.1648
0.9,0.3,6.7442,1.0481,0.38536,0.41775,0.17693,1.0148,0.01343,0.47584,4.115
0.9,0.3,6.7159,1.0617,0.38378,0.42537,0.17822,1.0111,0.015448,0.46106,4.0579
0.9,0.3,6.6803,1.0763,0.38145,0.43339,0.17978,1.0074,0.017913,0.44673,3.9852
0.9,0.3,6.653,1.0896,0.38077,0.44091,0.18162,1.0041,0.020794,0.43379,3.9417
0.9,0.3,6.6213,1.1023,0.38145,0.44915,0.18368,1.0006,0.024035,0.42024,3.9052
0.9,0.3,6.6005,1.1175,0.38292,0.45778,0.18598,0.99698,0.027661,0.40586,3.8914
0.9,0.3,6.5673,1.1315,0.38359,0.46639,0.18821,0.99364,0.031157,0.39276,3.8536
0.9,0.3,6.5315,1.1454,0.38492,0.47541,0.19056,0.9903,0.034856,0.37965,3.819
0.9,0.3,6.4984,1.1597,0.38592,0.48402,0.19286,0.98721,0.038479,0.36751,3.7856
0.9,0.3,6.4604,1.175,0.38733,0.49352,0.19544,0.98396,0.042525,0.35478,3.7502
0.9,0.3,6.4225,1.1919,0.38831,0.50318,0.19813,0.98076,0.046768,0.34223,3.7118
0.9,0.3,6.3851,1.2104,0.38877,0.51292,0.20097,0.97762,0.051224,0.32991,3.6706
0.9,0.3,6.3467,1.2296,0.38949,0.52291,0.20395,0.97454,0.055912,0.31782,3.6309
0.9,0.3,6.31,1.2499,0.39064,0.53529,0.20709,0.97152,0.060858,0.30599,3.5979
0.9,0.3,6.2759,1.2721,0.39174,0.54892,0.21041,0.96858,0.066081,0.29444,3.5679
0.9,0.3,6.228,1.292,0.3929,0.56115,0.21393,0.96571,0.071612,0.28321,3.5228
0.9,0.3,6.1884,1.3155,0.39282,0.57128,0.21767,0.96294,0.07749,0.27233,3.4786
0.9,0.3,6.1394,1.3369,0.39371,0.582,0.22168,0.96028,0.083804,0.26192,3.4319
0.9,0.3,6.0999,1.361,0.39421,0.59219,0.226,0.95775,0.090584,0.25198,3.3939
0.9,0.3,6.0532,1.3829,0.39432,0.60212,0.23077,0.95542,0.098098,0.24283,3.3461
0.9,0.3,6.0184,1.4076,0.3956,0.61206,0.23583,0.95318,0.10606,0.23405,3.3201
0.9,0.3,5.9885,1.4349,0.39567,0.62133,0.24108,0.95101,0.11431,0.22554,3.2913
0.9,0.3,5.9455,1.4596,0.39557,0.63094,0.2465,0.94892,0.12282,0.21733,3.2482
0.9,0.3,5.911,1.4876,0.39701,0.64112,0.25226,0.94686,0.13188,0.20925,3.2249
0.9,0.3,5.8885,1.5029,0.39659,0.64631,0.2556,0.94573,0.13714,0.20485,3.2006
0.9,0.3,5.8507,1.5287,0.39663,0.6553,0.2615,0.94393,0.14642,0.19778,3.1655
0.9,0.3,5.8225,1.5574,0.3973,0.6641,0.26758,0.94218,0.15598,0.19092,3.1442
0.9,0.3,5.7966,1.5871,0.39827,0.67284,0.27384,0.94051,0.16581,0.18436,3.1272
