a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,2,0.65147,1.6035,0.56268,0.88007,2.6067,3.363,0,1,1.8
0,2,0.65145,1.607,0.56028,0.88209,2.6067,3.3582,0.00022177,0.98323,1.8
0,2,0.65143,1.6105,0.55812,0.88409,2.6069,3.3535,0.00069292,0.96684,1.8
0,2,0.65142,1.614,0.55583,0.88611,2.607,3.3487,0.0011393,0.95026,1.8
0,2,0.65138,1.6176,0.55336,0.88812,2.6072,3.344,0.0017315,0.93381,1.8
0,2,0.65136,1.6212,0.55086,0.89373,2.6074,3.3392,0.0022844,0.91712,1.8
0,2,0.65131,1.6246,0.54855,0.89212,2.6077,3.3347,0.0033904,0.9014,1.8
0,2,0.65125,1.6281,0.54589,0.89421,2.608,3.33,0.0043292,0.88512,1.8
0,2,0.65118,1.6315,0.54325,0.89626,2.6084,3.3255,0.0056145,0.86936,1.8
0,2,0.65107,1.635,0.54043,0.89834,2.6088,3.321,0.0070749,0.85374,1.8
0,2,0.65096,1.6383,0.53765,0.90043,2.6094,3.3166,0.0088371,0.83849,1.8
0,2,0.6508,1.6415,0.53473,0.89903,2.61,3.3124,0.010957,0.82374,1.8
0,2,0.65063,1.6449,0.53156,0.90121,2.6107,3.308,0.013065,0.8086,1.8
0,2,0.65042,1.648,0.52831,0.90342,2.6115,3.3038,0.015612,0.79409,1.8
0,2,0.65015,1.6511,0.52477,0.90571,2.6124,3.2997,0.018489,0.7799,1.8
0,2,0.64982,1.6541,0.52093,0.90464,2.6134,3.2958,0.021745,0.76608,1.8
0,2,0.64938,1.6569,0.51677,0.90717,2.6146,3.292,0.025563,0.75303,1.8
0,2,0.64887,1.6596,0.51233,0.90982,2.6159,3.2883,0.02979,0.74018,1.7999
0,2,0.64846,1.6624,0.50851,0.91226,2.6173,3.2847,0.034445,0.72746,1.8
0,2,0.64821,1.665,0.50595,0.9108,2.6189,3.2813,0.039675,0.71565,1.8
0,2,0.64808,1.6677,0.50421,0.91251,2.6206,3.278,0.045245,0.70435,1.7999
0,2,0.64803,1.6703,0.5028,0.91406,2.6224,3.2747,0.050928,0.69293,1.7999
0,2,0.64803,1.673,0.50167,0.9155,2.6242,3.2715,0.056765,0.68165,1.7999
0,2,0.64805,1.6758,0.50055,0.91688,2.626,3.2682,0.062664,0.67019,1.8
0,2,0.64808,1.6785,0.4996,0.9148,2.6279,3.265,0.068753,0.65917,1.8
0,2,0.64812,1.681,0.49892,0.91605,2.6298,3.262,0.075041,0.64859,1.7999
0,2,0.64824,1.6837,0.49851,0.91716,2.6318,3.2589,0.081443,0.63788,1.7999
0,2,0.64845,1.6863,0.49865,0.91804,2.6339,3.2559,0.088119,0.62744,1.7999
0,2,0.64872,1.689,0.49905,0.91878,2.636,3.2529,0.095002,0.61693,1.8
0,2,0.64896,1.6915,0.49944,0.91623,2.6382,3.25,0.10212,0.60692,1.8
0,2,0.64917,1.6939,0.49989,0.91702,2.6405,3.2473,0.10941,0.59736,1.7999
0,2,0.6494,1.6965,0.50016,0.9178,2.6427,3.2443,0.11672,0.58725,1.8
0,2,0.64961,1.699,0.50048,0.9186,2.645,3.2416,0.12415,0.57754,1.8
0,2,0.64979,1.7014,0.50069,0.91944,2.6473,3.2388,0.13166,0.56791,1.8
0,2,0.64998,1.7038,0.50093,0.92026,2.6497,3.236,0.13921,0.55827,1.8
0,2,0.65012,1.7061,0.50111,0.91792,2.652,3.2334,0.14687,0.54914,1.7999
0,2,0.65033,1.7086,0.50138,0.91872,2.6544,3.2306,0.15449,0.53933,1.8
0,2,0.6505,1.711,0.50159,0.91957,2.6567,3.2278,0.16218,0.52988,1.8
0,2,0.65067,1.7134,0.50179,0.92043,2.6591,3.2251,0.16992,0.52048,1.8
0,2,0.65081,1.7158,0.50186,0.92133,2.6615,3.2224,0.17769,0.51111,1.8
0,2,0.65094,1.7181,0.50205,0.91907,2.664,3.2199,0.18552,0.50209,1.7999
0,2,0.65111,1.7205,0.50213,0.91995,2.6664,3.2171,0.19331,0.49245,1.8
0,2,0.65124,1.7228,0.50237,0.92085,2.6688,3.2145,0.20118,0.48347,1.7999
0,2,0.65139,1.7252,0.5025,0.92173,2.6712,3.2118,0.20905,0.47413,1.7999
0,2,0.65154,1.7276,0.5025,0.92264,2.6737,3.2091,0.21694,0.46463,1.8
0,2,0.65167,1.7299,0.50261,0.92354,2.6761,3.2064,0.22488,0.45545,1.8
0,2,0.6518,1.7323,0.50272,0.92445,2.6786,3.2038,0.23285,0.44627,1.8
0,2,0.65194,1.7347,0.50279,0.92231,2.681,3.2011,0.24084,0.43704,1.8
0,2,0.65206,1.737,0.50293,0.92323,2.6835,3.1985,0.24886,0.42799,1.8
