a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,2,0.73238,1.6576,0.59158,0.76806,2.3799,3.3276,0,1,1.9999
0,2,0.73268,1.6608,0.58865,0.76495,2.38,3.3235,0.00025056,0.98365,1.9998
0,2,0.73298,1.664,0.5859,0.76987,2.3802,3.3193,0.00060539,0.96721,1.9998
0,2,0.73327,1.6672,0.58316,0.77079,2.3805,3.3152,0.0011697,0.95097,1.9998
0,2,0.73355,1.6704,0.58034,0.77171,2.3809,3.3111,0.0019173,0.9349,1.9998
0,2,0.7338,1.6735,0.57765,0.77268,2.3814,3.3071,0.0028363,0.919,1.9998
0,2,0.73404,1.6766,0.57498,0.7684,2.3819,3.3031,0.0039143,0.90326,1.9998
0,2,0.73427,1.6797,0.5723,0.7694,2.3826,3.2991,0.005131,0.88765,1.9998
0,2,0.73448,1.6828,0.56961,0.77042,2.3833,3.2952,0.0064849,0.87217,1.9998
0,2,0.73468,1.6859,0.56703,0.77148,2.384,3.2913,0.0079642,0.85681,1.9998
0,2,0.73487,1.689,0.56437,0.77253,2.3849,3.2875,0.0095649,0.84158,1.9998
0,2,0.7351,1.6922,0.56177,0.77353,2.3857,3.2835,0.011137,0.82613,2
0,2,0.73526,1.6952,0.55918,0.77463,2.3866,3.2797,0.012981,0.81113,2
0,2,0.73541,1.6983,0.55661,0.77091,2.3877,3.276,0.014977,0.79627,2
0,2,0.73549,1.7012,0.5541,0.77212,2.3888,3.2723,0.017248,0.78187,1.9998
0,2,0.73561,1.7042,0.55156,0.77326,2.39,3.2686,0.01953,0.76729,1.9998
0,2,0.73572,1.7072,0.54931,0.77444,2.3913,3.265,0.021989,0.75289,1.9998
0,2,0.73581,1.7103,0.5477,0.77568,2.3927,3.2614,0.024733,0.73876,1.9998
0,2,0.73589,1.7135,0.54669,0.77251,2.3943,3.2579,0.027892,0.72504,1.9998
0,2,0.73596,1.7167,0.54613,0.77386,2.3961,3.2545,0.031361,0.71162,1.9998
0,2,0.73604,1.72,0.5453,0.77522,2.3981,3.2512,0.035095,0.69845,1.9998
0,2,0.73618,1.7234,0.54503,0.7765,2.4001,3.2478,0.038954,0.6852,2
0,2,0.73619,1.7266,0.54419,0.77378,2.4023,3.2447,0.043241,0.67277,1.9998
0,2,0.73627,1.73,0.54368,0.77515,2.4045,3.2415,0.047616,0.66023,1.9998
0,2,0.73634,1.7333,0.54338,0.77669,2.4069,3.2384,0.052188,0.64787,1.9998
0,2,0.73642,1.7367,0.54262,0.77773,2.4094,3.2353,0.056949,0.6357,1.9998
0,2,0.73649,1.7401,0.54212,0.77935,2.4119,3.2323,0.061908,0.62372,1.9998
0,2,0.73664,1.7437,0.5418,0.78066,2.4146,3.2292,0.066979,0.61163,2
0,2,0.73664,1.747,0.54109,0.77826,2.4174,3.2263,0.072447,0.60037,1.9998
0,2,0.73671,1.7505,0.54066,0.77969,2.4203,3.2235,0.078048,0.58902,1.9997
0,2,0.7368,1.754,0.53987,0.78113,2.4233,3.2207,0.083902,0.57791,1.9997
0,2,0.73687,1.7575,0.53938,0.78256,2.4265,3.2179,0.090041,0.56708,1.9997
0,2,0.73695,1.7611,0.53858,0.78402,2.4298,3.2153,0.096535,0.55659,1.9997
0,2,0.73703,1.7647,0.53789,0.78545,2.4335,3.2127,0.10354,0.54661,1.9997
0,2,0.73664,1.7667,0.53839,0.78719,2.4373,3.2106,0.11098,0.5384,1.9986
0,2,0.73665,1.7696,0.53908,0.78847,2.4411,3.2082,0.11823,0.52865,1.9986
0,2,0.73707,1.7733,0.54046,0.78924,2.4447,3.2053,0.12531,0.51735,1.9997
