a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
1,0.5,3.7556,1.1604,0.57649,0.43167,0.4084,1.7002,0,1,4.0415
1,0.5,3.7631,1.166,0.57366,0.43749,0.40842,1.6945,2.3445e-05,0.98342,4.0373
1,0.5,3.7655,1.1722,0.57113,0.43412,0.40847,1.6886,8.0427e-05,0.96647,4.0217
1,0.5,3.7652,1.179,0.56903,0.43406,0.40853,1.6828,0.00015791,0.94974,4.0033
1,0.5,3.773,1.1852,0.56685,0.42974,0.40862,1.677,0.00026102,0.93308,4.0068
1,0.5,3.7723,1.1919,0.56451,0.43246,0.40873,1.6713,0.00039888,0.91657,3.985
1,0.5,3.7755,1.1983,0.56191,0.43421,0.40887,1.6655,0.00056135,0.89992,3.9718
1,0.5,3.7837,1.2046,0.55938,0.43485,0.40903,1.6597,0.00075696,0.88315,3.9735
1,0.5,3.7819,1.212,0.55768,0.43041,0.40922,1.654,0.0009773,0.86673,3.9557
1,0.5,3.7877,1.2189,0.55565,0.43194,0.40943,1.6482,0.0012329,0.85001,3.9552
1,0.5,3.7913,1.2256,0.55322,0.43364,0.40967,1.6426,0.0015137,0.83365,3.9455
1,0.5,3.7916,1.2328,0.55085,0.43619,0.40993,1.6368,0.0018273,0.81699,3.9275
1,0.5,3.7994,1.2397,0.549,0.43124,0.41022,1.6311,0.0021676,0.80069,3.9346
1,0.5,3.7996,1.247,0.54663,0.43235,0.41053,1.6255,0.002542,0.78426,3.9166
1,0.5,3.8019,1.2541,0.54409,0.43434,0.41087,1.6198,0.0029425,0.76785,3.9032
1,0.5,3.8099,1.2613,0.54227,0.43545,0.41123,1.6141,0.0033782,0.75148,3.9109
1,0.5,3.8084,1.2688,0.53989,0.43114,0.41163,1.6084,0.0038459,0.73514,3.8891
1,0.5,3.8155,1.2763,0.53818,0.43253,0.41204,1.6028,0.0043354,0.71883,3.8954
1,0.5,3.8218,1.2835,0.53584,0.43376,0.41248,1.5971,0.0048628,0.70255,3.8944
1,0.5,3.8213,1.2915,0.53409,0.43671,0.41295,1.5915,0.0054178,0.6863,3.8811
1,0.5,3.8284,1.2989,0.53177,0.43087,0.41344,1.5858,0.0060086,0.66992,3.8826
1,0.5,3.8319,1.3066,0.52985,0.43287,0.41395,1.5803,0.0066176,0.65388,3.878
1,0.5,3.834,1.3147,0.5282,0.43537,0.4145,1.5746,0.0072662,0.63756,3.8723
1,0.5,3.8338,1.323,0.52642,0.43153,0.41508,1.569,0.0079548,0.62144,3.8599
1,0.5,3.8277,1.3323,0.52455,0.42927,0.41575,1.5635,0.0087536,0.6056,3.8324
1,0.5,3.8256,1.3424,0.52274,0.43321,0.41653,1.558,0.0096897,0.58974,3.8158
1,0.5,3.8204,1.3532,0.52087,0.43149,0.41743,1.5526,0.010762,0.574,3.7918
1,0.5,3.8163,1.3648,0.51868,0.43611,0.41846,1.5472,0.011989,0.55842,3.7685
1,0.5,3.8108,1.377,0.51743,0.43532,0.41964,1.5419,0.013396,0.54303,3.7491
1,0.5,3.8033,1.389,0.51513,0.44056,0.42092,1.5369,0.014914,0.52863,3.7178
1,0.5,3.7957,1.4036,0.51208,0.4405,0.42256,1.5314,0.016874,0.51272,3.6827
1,0.5,3.7852,1.4163,0.5103,0.44655,0.42422,1.5266,0.018849,0.499,3.6496
