a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
1,0.8,0.87477,1.4596,0.63918,0.98101,2.0216,2.9326,0,1,1.4
1,0.8,0.87518,1.4686,0.63676,0.9509,2.0218,2.9247,0.00048791,0.9836,1.4
1,0.8,0.87546,1.4735,0.6354,0.99943,2.0219,2.9165,0.00055289,0.96637,1.4
1,0.8,0.87581,1.4807,0.6334,0.99965,2.0221,2.9086,0.0010713,0.9498,1.4
1,0.8,0.87615,1.4882,0.63135,0.98918,2.0224,2.9007,0.0018111,0.9335,1.4
1,0.8,0.8765,1.4952,0.62956,0.99988,2.0227,2.8929,0.0025766,0.91714,1.4
1,0.8,0.87683,1.5024,0.62756,0.9979,2.0231,2.8852,0.0035836,0.90108,1.4
1,0.8,0.87715,1.5096,0.62558,0.99959,2.0236,2.8776,0.0047223,0.88514,1.4
1,0.8,0.87747,1.5169,0.62362,1,2.0242,2.87,0.0060294,0.86937,1.4
1,0.8,0.87778,1.5242,0.62164,0.99995,2.0248,2.8625,0.0074998,0.85377,1.4
1,0.8,0.87809,1.5314,0.61969,0.99996,2.0255,2.8551,0.0091298,0.83834,1.4
1,0.8,0.8784,1.5387,0.61774,0.99985,2.0262,2.8478,0.010923,0.82307,1.4
1,0.8,0.8787,1.546,0.61579,0.99998,2.0271,2.8406,0.012872,0.80795,1.4
1,0.8,0.87899,1.5533,0.61388,0.99998,2.0279,2.8334,0.014987,0.79301,1.4
1,0.8,0.87928,1.5607,0.61196,0.9999,2.0289,2.8263,0.017264,0.77823,1.4
1,0.8,0.87957,1.568,0.61005,0.99991,2.0299,2.8193,0.019701,0.76362,1.4
1,0.8,0.87984,1.5753,0.60805,0.99999,2.031,2.8124,0.022296,0.74916,1.4
1,0.8,0.88011,1.5826,0.60617,0.99993,2.0322,2.8056,0.025061,0.73488,1.4
1,0.8,0.88038,1.5899,0.60428,0.99994,2.0334,2.7988,0.027985,0.72076,1.4
1,0.8,0.88063,1.5972,0.60232,0.99995,2.0347,2.7921,0.031071,0.70681,1.4
1,0.8,0.88089,1.6046,0.60047,0.99977,2.0361,2.7855,0.034332,0.69304,1.4
1,0.8,0.88114,1.6118,0.59855,0.99995,2.0375,2.779,0.037735,0.6794,1.4
1,0.8,0.88137,1.6192,0.59666,0.99906,2.0391,2.7726,0.041374,0.66605,1.4
1,0.8,0.88162,1.6265,0.59482,0.99981,2.0406,2.7662,0.045064,0.65267,1.4
1,0.8,0.88184,1.6337,0.59293,1,2.0423,2.7599,0.048955,0.63952,1.4
1,0.8,0.88207,1.641,0.59106,0.99998,2.044,2.7537,0.053025,0.62657,1.4
1,0.8,0.88228,1.6482,0.58921,1,2.0458,2.7475,0.057255,0.61378,1.4
1,0.8,0.8825,1.6555,0.58738,0.99987,2.0476,2.7415,0.061664,0.60118,1.4
1,0.8,0.8827,1.6627,0.58555,0.99998,2.0495,2.7355,0.066212,0.5887,1.4
1,0.8,0.88291,1.6699,0.58376,0.99998,2.0515,2.7296,0.070936,0.57641,1.4
1,0.8,0.88311,1.6771,0.58198,0.99998,2.0536,2.7238,0.075822,0.56429,1.4
1,0.8,0.88329,1.6842,0.58014,0.99998,2.0557,2.7181,0.080872,0.55233,1.4
1,0.8,0.88348,1.6914,0.5784,1,2.0579,2.7124,0.086083,0.54053,1.4
1,0.8,0.88366,1.6985,0.57661,1,2.0602,2.7068,0.091459,0.52891,1.4
1,0.8,0.88384,1.7056,0.57492,1,2.0625,2.7014,0.096998,0.51745,1.4
1,0.8,0.88401,1.7127,0.57318,1,2.0649,2.6959,0.1027,0.50615,1.4
1,0.8,0.88417,1.7197,0.57146,1,2.0674,2.6906,0.10856,0.49502,1.4
1,0.8,0.88433,1.7267,0.56976,0.99999,2.0699,2.6854,0.11459,0.48406,1.4
1,0.8,0.88449,1.7337,0.5681,0.99999,2.0725,2.6802,0.12077,0.47325,1.4
1,0.8,0.88465,1.7407,0.56645,1,2.0752,2.6751,0.12712,0.46261,1.4
1,0.8,0.8848,1.7476,0.56483,0.99994,2.0779,2.6701,0.13363,0.45216,1.4
1,0.8,0.88493,1.7545,0.56318,0.99995,2.0807,2.6651,0.1403,0.44184,1.4
1,0.8,0.88508,1.7613,0.56162,0.99999,2.0836,2.6602,0.14711,0.43167,1.4
1,0.8,0.88522,1.7681,0.56003,1,2.0865,2.6555,0.15409,0.42167,1.4
1,0.8,0.88535,1.7749,0.55846,0.99995,2.0896,2.6508,0.16124,0.41186,1.4
1,0.8,0.88548,1.7816,0.55693,0.99999,2.0926,2.6461,0.16853,0.40216,1.4
1,0.8,0.88561,1.7883,0.55542,0.99999,2.0958,2.6415,0.17597,0.39264,1.4
1,0.8,0.88573,1.795,0.5539,1,2.099,2.6371,0.18358,0.38328,1.4
1,0.8,0.88586,1.8016,0.55246,1,2.1022,2.6326,0.19133,0.37407,1.4
1,0.8,0.88598,1.8081,0.55101,1,2.1056,2.6283,0.19924,0.36502,1.4
1,0.8,0.8861,1.8147,0.54959,0.99999,2.109,2.624,0.2073,0.35613,1.4
1,0.8,0.8862,1.8211,0.54812,1,2.1124,2.6199,0.2155,0.34738,1.4
1,0.8,0.88631,1.8275,0.54673,1,2.1159,2.6157,0.22386,0.33879,1.4
1,0.8,0.88643,1.8339,0.54541,0.99999,2.1195,2.6117,0.23237,0.33035,1.4
1,0.8,0.88654,1.8403,0.54408,1,2.1232,2.6077,0.24102,0.32205,1.4
1,0.8,0.88666,1.8466,0.54279,1,2.1269,2.6038,0.24981,0.3139,1.4
1,0.8,0.88676,1.8528,0.54151,0.99997,2.1306,2.6,0.25875,0.30591,1.4
1,0.8,0.88688,1.859,0.54029,0.99999,2.1345,2.5962,0.26782,0.29803,1.4
1,0.8,0.88697,1.8651,0.53898,1,2.1383,2.5925,0.27704,0.29031,1.4
1,0.8,0.88708,1.8712,0.53779,1,2.1423,2.5889,0.2864,0.28273,1.4
1,0.8,0.88726,1.8774,0.53688,1,2.1463,2.5853,0.29589,0.2753,1.4
1,0.8,0.88736,1.8833,0.53575,1,2.1504,2.5818,0.30554,0.26802,1.4
1,0.8,0.8874,1.8891,0.53464,0.99943,2.1545,2.5787,0.31543,0.26147,1.4
1,0.8,0.88754,1.8951,0.53348,0.99989,2.1587,2.5751,0.32525,0.25397,1.4
1,0.8,0.88766,1.901,0.53242,0.99998,2.1629,2.5717,0.33527,0.24699,1.4
1,0.8,0.88777,1.9068,0.5314,1,2.1672,2.5685,0.34542,0.2402,1.4
1,0.8,0.88788,1.9125,0.53041,1,2.1715,2.5653,0.3557,0.23357,1.4
1,0.8,0.888,1.9182,0.52944,1,2.1759,2.5622,0.36611,0.22705,1.4
1,0.8,0.88808,1.9238,0.52838,1,2.1803,2.5591,0.37663,0.22066,1.4
1,0.8,0.8882,1.9294,0.52747,1,2.1848,2.5561,0.38727,0.21439,1.4
1,0.8,0.88832,1.935,0.52658,0.99998,2.1893,2.5532,0.39802,0.20825,1.4
1,0.8,0.88844,1.9405,0.52573,0.99998,2.1939,2.5503,0.40888,0.2022,1.4
1,0.8,0.88852,1.9459,0.52476,1,2.1985,2.5474,0.41985,0.19625,1.4
