a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.8,1.3,1.0368,1.9154,0.62853,0.74192,1.9097,2.3679,3.0234,0,0.34187,0.96442,2
0.8,1.3,1.0367,1.9176,0.62994,0.74313,1.9099,2.3653,3.0217,0.00033401,0.33246,0.9585,2
0.8,1.3,1.0365,1.9194,0.63132,0.74427,1.9106,2.363,3.0204,0.0013887,0.32374,0.95392,1.9999
0.8,1.3,1.0364,1.9213,0.63269,0.7453,1.9114,2.3608,3.019,0.0027855,0.31546,0.94914,2
0.8,1.3,1.0363,1.9227,0.63405,0.74625,1.9127,2.3587,3.018,0.0047871,0.30774,0.94561,2
0.8,1.3,1.0361,1.9238,0.63536,0.74272,1.9144,2.3568,3.0172,0.0074512,0.3007,0.94306,2
0.8,1.3,1.0359,1.9247,0.63666,0.74354,1.9163,2.355,3.0167,0.010472,0.29399,0.94135,1.9998
0.8,1.3,1.0357,1.9256,0.63798,0.74434,1.9182,2.3532,3.0162,0.01347,0.28728,0.9393,1.9998
0.8,1.3,1.0355,1.9266,0.63932,0.74515,1.9202,2.3514,3.0156,0.0165,0.28061,0.93729,1.9998
0.8,1.3,1.0353,1.9274,0.64067,0.74599,1.9221,2.3496,3.0151,0.019575,0.27397,0.93545,1.9998
0.8,1.3,1.0352,1.9285,0.64208,0.74676,1.924,2.3478,3.0143,0.02259,0.2673,0.93296,2
0.8,1.3,1.035,1.9294,0.64347,0.74762,1.926,2.346,3.0138,0.025722,0.26073,0.93117,2
0.8,1.3,1.0348,1.9303,0.64488,0.74847,1.928,2.3443,3.0133,0.028863,0.25417,0.92925,2
0.8,1.3,1.0345,1.9311,0.6463,0.74507,1.93,2.3425,3.0128,0.032061,0.24765,0.92757,2
0.8,1.3,1.0343,1.932,0.64773,0.74597,1.9321,2.3408,3.0123,0.035278,0.24117,0.92586,2
0.8,1.3,1.0339,1.9327,0.64916,0.74692,1.9342,2.339,3.0119,0.038579,0.23475,0.92453,1.9998
0.8,1.3,1.0337,1.9337,0.65067,0.7478,1.9362,2.3373,3.0114,0.041813,0.22829,0.92255,2
0.8,1.3,1.0334,1.9345,0.65216,0.74874,1.9383,2.3356,3.0109,0.045132,0.22191,0.92097,2
0.8,1.3,1.0331,1.9353,0.65368,0.74969,1.9405,2.3339,3.0105,0.048485,0.21556,0.91943,2
0.8,1.3,1.0328,1.9361,0.65522,0.75065,1.9426,2.3322,3.01,0.051865,0.20924,0.91787,2
0.8,1.3,1.0324,1.9368,0.65676,0.74744,1.9448,2.3305,3.0096,0.055313,0.20298,0.91657,1.9999
0.8,1.3,1.032,1.9375,0.65829,0.74849,1.947,2.3288,3.0093,0.05883,0.19679,0.91556,1.9998
0.8,1.3,1.0316,1.9382,0.65988,0.74951,1.9493,2.3272,3.009,0.062342,0.1906,0.91427,1.9998
0.8,1.3,1.0312,1.939,0.66149,0.75056,1.9515,2.3255,3.0086,0.065893,0.18445,0.91303,1.9998
0.8,1.3,1.0309,1.9398,0.66319,0.75157,1.9538,2.3239,3.0082,0.069436,0.1783,0.91151,1.9999
0.8,1.3,1.0305,1.9405,0.66486,0.75265,1.9561,2.3222,3.0079,0.073076,0.17224,0.91041,1.9999
