a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,1.7,0.79724,1.5331,0.50357,0.76332,2.0028,2.3345,2.8713,0,0.2587,1,1.9999
0,1.7,0.79719,1.5346,0.50442,0.76424,2.003,2.3328,2.8697,0.00044549,0.2511,0.99256,2
0,1.7,0.7971,1.5358,0.50524,0.76506,2.0037,2.3314,2.8683,0.0018069,0.24438,0.98645,2
0,1.7,0.79701,1.5368,0.50604,0.76577,2.0048,2.3301,2.8672,0.0040276,0.23848,0.98158,2
0,1.7,0.79691,1.5376,0.50684,0.76402,2.0061,2.329,2.8663,0.0067639,0.23308,0.97745,2
0,1.7,0.7968,1.5384,0.50764,0.76283,2.0075,2.3279,2.8654,0.0097384,0.22791,0.97373,2
0,1.7,0.79671,1.5391,0.50845,0.76345,2.0091,2.3268,2.8646,0.012907,0.22293,0.97016,2
0,1.7,0.79659,1.5398,0.50927,0.76403,2.0106,2.3257,2.8638,0.016131,0.21799,0.96678,2
0,1.7,0.79648,1.5405,0.51011,0.76463,2.0122,2.3247,2.8631,0.019377,0.21309,0.96334,2
0,1.7,0.79634,1.5412,0.51095,0.76526,2.0138,2.3237,2.8623,0.022675,0.20822,0.96008,2
0,1.7,0.79617,1.5418,0.5118,0.76593,2.0155,2.3226,2.8617,0.026065,0.20344,0.95712,1.9999
0,1.7,0.79608,1.5425,0.51268,0.76652,2.0171,2.3216,2.8609,0.029345,0.19858,0.95355,2
0,1.7,0.79593,1.5431,0.51357,0.76716,2.0187,2.3206,2.8601,0.032717,0.19379,0.95032,2
0,1.7,0.79579,1.5438,0.51448,0.7678,2.0204,2.3195,2.8594,0.036123,0.18904,0.94709,2
0,1.7,0.79563,1.5444,0.51539,0.76845,2.022,2.3185,2.8587,0.039568,0.18432,0.94398,2
0,1.7,0.79547,1.545,0.51633,0.7686,2.0237,2.3175,2.858,0.043068,0.17965,0.94095,2
0,1.7,0.79528,1.5456,0.51727,0.76576,2.0255,2.3165,2.8573,0.046609,0.17502,0.93806,2
0,1.7,0.79504,1.5461,0.51821,0.76652,2.0272,2.3156,2.8568,0.050272,0.1705,0.93558,1.9998
0,1.7,0.79491,1.5467,0.51922,0.76716,2.0289,2.3146,2.856,0.053775,0.16585,0.93224,2
0,1.7,0.79464,1.5472,0.52018,0.76794,2.0308,2.3136,2.8555,0.05751,0.1614,0.92986,1.9998
0,1.7,0.7945,1.5478,0.52124,0.76859,2.0325,2.3126,2.8548,0.061099,0.15683,0.92665,2
0,1.7,0.79428,1.5484,0.52227,0.76932,2.0343,2.3117,2.8542,0.064825,0.15239,0.92394,2
0,1.7,0.79405,1.5489,0.52332,0.77006,2.0361,2.3107,2.8536,0.06859,0.14798,0.9213,1.9999
0,1.7,0.79382,1.5494,0.5244,0.77082,2.038,2.3098,2.853,0.072415,0.14362,0.91874,1.9999
0,1.7,0.79358,1.5499,0.52551,0.77157,2.0399,2.3089,2.8524,0.076271,0.1393,0.91616,2
0,1.7,0.79332,1.5503,0.52664,0.77235,2.0418,2.308,2.8519,0.080205,0.13505,0.91375,2
0,1.7,0.79305,1.5508,0.5278,0.76925,2.0437,2.3071,2.8513,0.084198,0.13086,0.91142,2
0,1.7,0.79274,1.5511,0.52898,0.7701,2.0457,2.3062,2.8509,0.088323,0.1268,0.90937,1.9999
0,1.7,0.79238,1.5514,0.53013,0.77102,2.0478,2.3054,2.8505,0.092543,0.12281,0.90763,1.9997
0,1.7,0.79204,1.5518,0.53134,0.7719,2.0498,2.3045,2.85,0.096758,0.11883,0.90572,1.9996
0,1.7,0.79181,1.5522,0.5327,0.77266,2.0518,2.3036,2.8495,0.10089,0.11479,0.90326,1.9999
0,1.7,0.79139,1.5525,0.53383,0.77364,2.0539,2.3028,2.8491,0.10521,0.1109,0.90175,1.9996
