a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.4,2,0.54756,1.6121,0.78073,0.99994,3.3635,3.442,4.1118,0,0.070593,1,1.6
0.4,2,0.54755,1.6134,0.77945,0.99998,3.3636,3.4417,4.1097,4.8154e-05,0.069069,0.99514,1.6
0.4,2,0.54753,1.6147,0.77818,0.99998,3.3636,3.4414,4.1077,0.00012911,0.067579,0.99033,1.6
0.4,2,0.54751,1.6159,0.77694,1,3.3636,3.4411,4.1056,0.000241,0.06612,0.98557,1.6
0.4,2,0.54749,1.6172,0.77572,0.99999,3.3636,3.4408,4.1036,0.00037628,0.064686,0.98085,1.6
0.4,2,0.54746,1.6185,0.77451,1,3.3637,3.4405,4.1016,0.00054321,0.063285,0.97618,1.6
0.4,2,0.54744,1.6197,0.77332,1,3.3637,3.4403,4.0996,0.00073238,0.061907,0.97155,1.6
0.4,2,0.54742,1.6209,0.77214,0.99999,3.3638,3.44,4.0976,0.00094309,0.060551,0.96696,1.6
0.4,2,0.54739,1.6222,0.77099,1,3.3638,3.4397,4.0956,0.0011792,0.059221,0.96241,1.6
0.4,2,0.54737,1.6234,0.76984,1,3.3639,3.4395,4.0937,0.0014323,0.057909,0.95789,1.6
0.4,2,0.54735,1.6246,0.76871,0.99999,3.364,3.4392,4.0918,0.0017086,0.056621,0.9534,1.6
0.4,2,0.54732,1.6258,0.76759,1,3.3641,3.4389,4.0898,0.0020035,0.055353,0.94895,1.6
0.4,2,0.54729,1.627,0.76649,1,3.3641,3.4387,4.0879,0.0023128,0.054099,0.94452,1.6
0.4,2,0.54727,1.6282,0.7654,1,3.3642,3.4384,4.086,0.0026438,0.052868,0.94013,1.6
0.4,2,0.54724,1.6294,0.76432,1,3.3643,3.4382,4.0842,0.0029896,0.051652,0.93576,1.6
0.4,2,0.54722,1.6306,0.76325,1,3.3644,3.438,4.0823,0.0033484,0.050449,0.93141,1.6
0.4,2,0.54719,1.6318,0.76219,1,3.3645,3.4377,4.0804,0.0037268,0.049267,0.9271,1.6
0.4,2,0.54716,1.633,0.76115,1,3.3646,3.4375,4.0786,0.0041174,0.048097,0.92281,1.6
0.4,2,0.54714,1.6342,0.76012,1,3.3647,3.4373,4.0767,0.004518,0.046938,0.91853,1.6
0.4,2,0.54711,1.6353,0.75909,1,3.3648,3.437,4.0749,0.0049383,0.045799,0.91429,1.6
0.4,2,0.54708,1.6365,0.75808,1,3.365,3.4368,4.0731,0.0053688,0.044671,0.91006,1.6
0.4,2,0.54706,1.6377,0.75708,1,3.3651,3.4366,4.0713,0.0058078,0.043551,0.90585,1.6
0.4,2,0.54703,1.6388,0.7561,1,3.3652,3.4364,4.0695,0.0062603,0.042446,0.90166,1.6
0.4,2,0.547,1.64,0.75512,1,3.3653,3.4361,4.0677,0.0067245,0.041353,0.89749,1.6
0.4,2,0.54698,1.6412,0.75415,1,3.3654,3.4359,4.0659,0.0071968,0.040268,0.89333,1.6
0.4,2,0.54695,1.6423,0.7532,0.99994,3.3656,3.4357,4.0641,0.0076825,0.039197,0.88922,1.6
0.4,2,0.54693,1.6435,0.75226,0.99994,3.3657,3.4355,4.0623,0.0081744,0.038132,0.88509,1.6
0.4,2,0.5469,1.6447,0.75133,1,3.3658,3.4353,4.0605,0.0086685,0.03707,0.88095,1.6
0.4,2,0.54688,1.6458,0.75041,1,3.366,3.4351,4.0588,0.0091746,0.03602,0.87685,1.6
0.4,2,0.54686,1.647,0.74951,1,3.3661,3.4349,4.057,0.0096894,0.034979,0.87277,1.6
0.4,2,0.54683,1.6481,0.74862,1,3.3662,3.4347,4.0553,0.01021,0.033944,0.86869,1.6
0.4,2,0.54681,1.6493,0.74774,1,3.3664,3.4345,4.0535,0.010735,0.032913,0.86462,1.6
0.4,2,0.54679,1.6505,0.74687,1,3.3665,3.4343,4.0518,0.011264,0.031887,0.86056,1.6
0.4,2,0.54677,1.6516,0.74602,1,3.3667,3.4341,4.05,0.011802,0.03087,0.85651,1.6
0.4,2,0.54675,1.6528,0.74518,1,3.3668,3.4339,4.0483,0.012343,0.029856,0.85247,1.6
0.4,2,0.54674,1.6539,0.74436,1,3.3669,3.4336,4.0465,0.012886,0.028844,0.84843,1.6
0.4,2,0.54672,1.6551,0.74356,1,3.3671,3.4334,4.0448,0.013431,0.027835,0.8444,1.6
0.4,2,0.54671,1.6563,0.74277,1,3.3672,3.4332,4.0431,0.013982,0.026831,0.84037,1.6
