a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.5,0.8,1.3164,1.4685,0.4138,0.69841,1.1377,1.5778,1.9898,0,0.56474,1,1.9997
0.5,0.8,1.3169,1.471,0.41498,0.69953,1.138,1.575,1.9882,0.00056371,0.55099,0.99213,2
0.5,0.8,1.317,1.4729,0.41605,0.695,1.1391,1.5725,1.987,0.0027384,0.53907,0.98657,2
0.5,0.8,1.317,1.4744,0.41711,0.69602,1.1406,1.5702,1.9861,0.005596,0.5279,0.98227,1.9998
0.5,0.8,1.3171,1.476,0.41819,0.69701,1.1421,1.5679,1.9851,0.0084351,0.51674,0.97757,1.9998
0.5,0.8,1.3172,1.4777,0.41927,0.69803,1.1436,1.5656,1.9841,0.011313,0.50562,0.97292,1.9998
0.5,0.8,1.3173,1.4793,0.42037,0.69906,1.1451,1.5633,1.9831,0.014228,0.49454,0.96833,1.9998
0.5,0.8,1.3174,1.481,0.42149,0.70007,1.1467,1.561,1.982,0.017121,0.48347,0.96333,2
0.5,0.8,1.3174,1.4826,0.42262,0.70115,1.1482,1.5587,1.9811,0.020112,0.47247,0.95884,2
0.5,0.8,1.3173,1.4841,0.42375,0.69686,1.1499,1.5564,1.9802,0.023197,0.46157,0.95486,1.9998
0.5,0.8,1.3173,1.4858,0.42492,0.69794,1.1514,1.5541,1.9792,0.026193,0.45061,0.95,2
0.5,0.8,1.3173,1.4874,0.42609,0.69909,1.1531,1.5519,1.9783,0.029287,0.43973,0.94566,2
0.5,0.8,1.3167,1.4885,0.42722,0.70048,1.1549,1.5497,1.9778,0.032717,0.42915,0.94355,1.9993
0.5,0.8,1.3171,1.4905,0.42848,0.70146,1.1564,1.5474,1.9764,0.035594,0.41812,0.93714,2
0.5,0.8,1.3169,1.4921,0.42969,0.70268,1.1581,1.5452,1.9756,0.038806,0.40738,0.93296,2
0.5,0.8,1.3168,1.4937,0.43092,0.70392,1.1598,1.543,1.9747,0.042049,0.39668,0.92875,2
0.5,0.8,1.3165,1.4952,0.43216,0.69998,1.1616,1.5408,1.9739,0.045404,0.38609,0.92512,1.9998
0.5,0.8,1.3163,1.4968,0.43344,0.70125,1.1633,1.5386,1.973,0.048689,0.37544,0.92077,2
0.5,0.8,1.3155,1.4979,0.43463,0.7028,1.1652,1.5364,1.9726,0.052379,0.36519,0.919,1.9992
0.5,0.8,1.3158,1.4999,0.43603,0.70394,1.1669,1.5342,1.9713,0.055489,0.35439,0.91294,2
0.5,0.8,1.3155,1.5014,0.43735,0.70533,1.1687,1.532,1.9705,0.058959,0.34395,0.90912,2
0.5,0.8,1.3151,1.503,0.43868,0.70675,1.1705,1.5299,1.9697,0.062474,0.33355,0.90536,2
0.5,0.8,1.3147,1.5045,0.44004,0.7031,1.1724,1.5277,1.9689,0.066038,0.32321,0.90168,2
0.5,0.8,1.3142,1.5059,0.44139,0.70464,1.1743,1.5256,1.9682,0.069715,0.313,0.89852,1.9998
0.5,0.8,1.3132,1.5069,0.44264,0.70639,1.1765,1.5236,1.9679,0.073718,0.30314,0.89726,1.9989
0.5,0.8,1.3133,1.5089,0.4442,0.70771,1.1782,1.5214,1.9667,0.077095,0.29261,0.8915,1.9998
0.5,0.8,1.3129,1.5105,0.44567,0.70925,1.1802,1.5193,1.9659,0.080802,0.28243,0.88765,2
0.5,0.8,1.3124,1.512,0.44712,0.71087,1.1822,1.5172,1.9652,0.084633,0.2724,0.88434,2
0.5,0.8,1.3118,1.5135,0.44861,0.70759,1.1842,1.5151,1.9645,0.088526,0.26243,0.88111,2
0.5,0.8,1.3111,1.5149,0.45007,0.70934,1.1864,1.5131,1.9639,0.092545,0.25261,0.87843,1.9998
0.5,0.8,1.3104,1.5164,0.4516,0.71109,1.1885,1.5111,1.9633,0.096566,0.2428,0.87538,1.9997
0.5,0.8,1.3098,1.5179,0.45321,0.71283,1.1906,1.509,1.9626,0.10058,0.23296,0.87197,1.9999
0.5,0.8,1.3091,1.5194,0.4548,0.71466,1.1928,1.507,1.9619,0.10474,0.2233,0.8691,2
0.5,0.8,1.3083,1.5209,0.45641,0.71654,1.195,1.505,1.9614,0.10898,0.21373,0.86638,1.9999
0.5,0.8,1.3075,1.5224,0.45805,0.71367,1.1973,1.5031,1.9608,0.1133,0.20425,0.86375,1.9999
0.5,0.8,1.3065,1.5237,0.45968,0.71569,1.1996,1.5011,1.9603,0.11776,0.19494,0.86159,1.9998
0.5,0.8,1.3051,1.5248,0.46112,0.71791,1.2021,1.4993,1.9602,0.12254,0.18604,0.86104,1.9988
0.5,0.8,1.3047,1.5267,0.46312,0.71982,1.2044,1.4973,1.9594,0.12685,0.17649,0.85697,1.9997
0.5,0.8,1.3038,1.5283,0.46492,0.72195,1.2069,1.4954,1.9588,0.13152,0.1674,0.85454,1.9999
0.5,0.8,1.3021,1.5294,0.4663,0.7244,1.2096,1.4937,1.9589,0.13669,0.159,0.85486,1.9986
0.5,0.8,1.3015,1.5314,0.46843,0.72651,1.2121,1.4918,1.9581,0.14138,0.14985,0.85129,1.9997
0.5,0.8,1.3005,1.5331,0.47037,0.72883,1.2147,1.49,1.9577,0.1464,0.14114,0.84936,1.9999
0.5,0.8,1.2993,1.5347,0.4723,0.73126,1.2174,1.4882,1.9574,0.1516,0.13266,0.8479,2
0.5,0.8,1.2978,1.5362,0.47414,0.72924,1.2203,1.4865,1.9573,0.15701,0.12445,0.84716,1.9996
0.5,0.8,1.2965,1.5378,0.47615,0.73185,1.2232,1.4848,1.9571,0.16251,0.11631,0.84618,1.9996
0.5,0.8,1.2951,1.5394,0.47836,0.73451,1.2261,1.4832,1.9568,0.16811,0.10826,0.84507,1.9999
0.5,0.8,1.2936,1.541,0.48055,0.73285,1.2292,1.4816,1.9567,0.17395,0.10049,0.84449,2
0.5,0.8,1.2918,1.5424,0.48258,0.73583,1.2324,1.48,1.9568,0.18007,0.093108,0.84475,1.9995
0.5,0.8,1.29,1.544,0.48489,0.7389,1.2357,1.4785,1.9568,0.18638,0.085894,0.84492,1.9993
0.5,0.8,1.2883,1.5456,0.48762,0.74211,1.2392,1.4771,1.9568,0.19297,0.07896,0.84518,1.9998
0.5,0.8,1.286,1.547,0.48979,0.74122,1.2429,1.4758,1.9571,0.19993,0.072526,0.84655,1.9989
0.5,0.8,1.2841,1.5485,0.49285,0.74475,1.2466,1.4745,1.9574,0.20707,0.066198,0.84757,1.9996
0.5,0.8,1.2818,1.5501,0.49581,0.74846,1.2506,1.4732,1.9577,0.21454,0.060289,0.84929,1.9999
0.5,0.8,1.2782,1.5512,0.49612,0.74815,1.2547,1.4721,1.9583,0.22235,0.054852,0.85194,1.9948
0.5,0.8,1.2747,1.5525,0.49679,0.75213,1.2589,1.471,1.9588,0.23032,0.049456,0.85412,1.9905
0.5,0.8,1.271,1.5537,0.49724,0.75206,1.2631,1.4699,1.9593,0.23844,0.044301,0.85682,1.9856
0.5,0.8,1.2675,1.5548,0.49817,0.75614,1.2674,1.4689,1.96,0.24662,0.039285,0.85993,1.9815
0.5,0.8,1.2632,1.556,0.49755,0.75627,1.2719,1.4679,1.9606,0.2551,0.03445,0.8628,1.9745
0.5,0.8,1.2594,1.5571,0.49839,0.76055,1.2764,1.4669,1.9613,0.2637,0.029839,0.86618,1.9701
0.5,0.8,1.2556,1.5582,0.49922,0.76098,1.281,1.466,1.9621,0.27241,0.025433,0.87004,1.9655
0.5,0.8,1.2513,1.5593,0.49921,0.76533,1.2858,1.4651,1.9629,0.28143,0.021224,0.87369,1.9593
0.5,0.8,1.2469,1.5603,0.49922,0.76659,1.2906,1.4643,1.9638,0.29065,0.017303,0.8779,1.953
0.5,0.8,1.2421,1.561,0.49849,0.77048,1.2956,1.4636,1.9649,0.30005,0.013694,0.88275,1.9453
