a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.5,2,0.73909,1.9454,0.75673,0.80776,2.787,3.1175,3.9203,0,0.11994,1,1.9999
0.5,2,0.73883,1.9471,0.75847,0.80476,2.7871,3.1159,3.9183,0.00020006,0.11482,0.99329,2
0.5,2,0.73856,1.9487,0.76014,0.8061,2.7875,3.1144,3.9165,0.0009002,0.11015,0.98728,2
0.5,2,0.73829,1.9501,0.76178,0.80736,2.7881,3.113,3.9148,0.0019806,0.10581,0.98179,2
0.5,2,0.73802,1.9513,0.76339,0.80857,2.789,3.1118,3.9134,0.0034285,0.10179,0.9769,2
0.5,2,0.73775,1.9524,0.76497,0.80539,2.7901,3.1106,3.912,0.0051989,0.09805,0.97251,2
0.5,2,0.73742,1.9533,0.7664,0.80654,2.7914,3.1095,3.911,0.0073473,0.094606,0.96898,1.9998
0.5,2,0.73715,1.9542,0.76789,0.8076,2.7927,3.1085,3.9099,0.0096674,0.091349,0.96542,1.9998
0.5,2,0.73692,1.9551,0.76947,0.80856,2.7942,3.1075,3.9089,0.012164,0.088274,0.96187,1.9999
0.5,2,0.73666,1.9558,0.77089,0.80952,2.7959,3.1066,3.908,0.014976,0.085447,0.95905,1.9999
0.5,2,0.73641,1.9565,0.77232,0.8104,2.7977,3.1058,3.9073,0.018003,0.082813,0.95651,2
0.5,2,0.73615,1.957,0.77364,0.81124,2.7997,3.105,3.9066,0.02129,0.0804,0.9544,2
0.5,2,0.73572,1.9572,0.77423,0.80805,2.8019,3.1044,3.9063,0.024963,0.078298,0.95319,1.9991
0.5,2,0.73563,1.9577,0.77593,0.80854,2.8041,3.1037,3.9057,0.028589,0.076206,0.95135,1.9998
0.5,2,0.73518,1.9579,0.77644,0.80962,2.8063,3.1031,3.9054,0.032382,0.074214,0.95026,1.9988
0.5,2,0.73512,1.9584,0.77831,0.81007,2.8086,3.1024,3.9049,0.036092,0.072194,0.94854,1.9996
0.5,2,0.73456,1.9585,0.77842,0.81133,2.8109,3.1018,3.9046,0.039956,0.070265,0.94757,1.9982
0.5,2,0.73453,1.959,0.78051,0.81171,2.8131,3.1012,3.9041,0.043728,0.0683,0.94595,1.9992
0.5,2,0.73434,1.9593,0.78204,0.81237,2.8154,3.1006,3.9037,0.047576,0.066383,0.94464,1.9995
0.5,2,0.7339,1.9595,0.78263,0.81343,2.8178,3.1,3.9034,0.051461,0.06449,0.94349,1.9987
0.5,2,0.7336,1.9597,0.78383,0.81025,2.8201,3.0994,3.903,0.055365,0.062622,0.94226,1.9986
0.5,2,0.73294,1.9598,0.78355,0.8115,2.8225,3.0988,3.9027,0.05929,0.060763,0.94118,1.9966
0.5,2,0.73265,1.96,0.78484,0.81231,2.8248,3.0982,3.9023,0.063235,0.058927,0.94008,1.9965
0.5,2,0.73196,1.9601,0.78446,0.81382,2.8272,3.0977,3.902,0.067198,0.057106,0.939,1.9945
0.5,2,0.73127,1.9601,0.78409,0.81533,2.8296,3.0971,3.9017,0.07117,0.055294,0.93793,1.9924
0.5,2,0.73078,1.9602,0.78458,0.81649,2.832,3.0965,3.9014,0.07515,0.053487,0.93689,1.9914
0.5,2,0.73058,1.9605,0.78633,0.81308,2.8344,3.096,3.9011,0.079161,0.051709,0.93587,1.9918
0.5,2,0.72995,1.9605,0.78628,0.81855,2.8368,3.0954,3.9008,0.08319,0.04995,0.93484,1.9901
0.5,2,0.72923,1.9605,0.7859,0.81594,2.8392,3.0949,3.9005,0.087233,0.048196,0.93393,1.988
0.5,2,0.72852,1.9605,0.78551,0.81749,2.8416,3.0943,3.9002,0.091287,0.046454,0.93298,1.9858
0.5,2,0.72819,1.9607,0.78681,0.81837,2.8441,3.0938,3.8999,0.095355,0.044726,0.93206,1.9857
0.5,2,0.72785,1.9608,0.78811,0.81926,2.8465,3.0932,3.8997,0.099463,0.043031,0.93122,1.9855
0.5,2,0.72711,1.9608,0.78771,0.82085,2.849,3.0927,3.8994,0.10358,0.041348,0.93037,1.9833
0.5,2,0.72637,1.9607,0.78731,0.82245,2.8515,3.0922,3.8992,0.10772,0.039677,0.92955,1.9811
0.5,2,0.72584,1.9608,0.78781,0.82369,2.854,3.0917,3.8989,0.11187,0.03802,0.92875,1.98
0.5,2,0.72527,1.9608,0.78819,0.82087,2.8565,3.0911,3.8987,0.11606,0.036396,0.92801,1.9786
