a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.7,0.9,1.1494,1.7171,0.52478,0.798,1.5321,1.7101,2.3141,0.10624,0.10667,1,1.8
0.7,0.9,1.1492,1.7191,0.52567,0.79541,1.5338,1.7081,2.313,0.10971,0.10033,0.99541,1.8
0.7,0.9,1.149,1.7209,0.52668,0.79687,1.5357,1.7063,2.312,0.11334,0.094218,0.99138,1.7999
0.7,0.9,1.1487,1.7229,0.52773,0.79835,1.5375,1.7044,2.3109,0.11704,0.088138,0.98713,1.7999
0.7,0.9,1.1485,1.7249,0.52882,0.79985,1.5394,1.7026,2.3098,0.1208,0.082091,0.98264,1.8
0.7,0.9,1.1482,1.7269,0.53001,0.80141,1.5414,1.7008,2.3088,0.1247,0.076251,0.9787,1.8
0.7,0.9,1.1479,1.7287,0.53128,0.79906,1.5434,1.6991,2.308,0.12874,0.070599,0.97521,1.8
0.7,0.9,1.1475,1.7304,0.53264,0.80073,1.5455,1.6974,2.3072,0.13291,0.065144,0.97223,1.7999
0.7,0.9,1.1471,1.7323,0.53402,0.80243,1.5476,1.6957,2.3063,0.13712,0.059638,0.96859,1.8
0.7,0.9,1.1467,1.7341,0.53551,0.80419,1.5498,1.6941,2.3056,0.14149,0.054392,0.96568,1.8
0.7,0.9,1.1462,1.7358,0.53707,0.80601,1.5521,1.6926,2.3049,0.146,0.049298,0.96297,1.8
0.7,0.9,1.1566,1.7695,0.5464,0.80571,1.5615,1.6807,2.2798,0.16467,0.010458,0.86205,1.7994
0.7,0.9,1.1537,1.7839,0.55234,0.81362,1.576,1.6786,2.2729,0.19339,0.0033941,0.83401,1.7998
0.7,0.9,1.1523,1.7852,0.55554,0.81676,1.5797,1.678,2.2733,0.20071,0.0015482,0.83594,1.8
0.7,0.9,1.1505,1.7858,0.55886,0.81663,1.5835,1.6777,2.2744,0.20836,0.0004775,0.8401,1.7998
0.7,0.9,1.1487,1.7867,0.56265,0.82029,1.5878,1.6775,2.2754,0.21677,0,0.84436,1.8
0.7,0.9,1.1628,1.7813,0.52858,0.80201,1.5543,1.6885,2.2658,0.15036,0.0361,0.80545,1.8
0.7,0.9,1.1621,1.7829,0.53057,0.80044,1.5569,1.6872,2.2654,0.15543,0.031705,0.80387,1.8
0.7,0.9,1.1614,1.7844,0.53264,0.80258,1.5595,1.6859,2.2652,0.16063,0.027549,0.80301,1.7999
0.7,0.9,1.1606,1.7859,0.53481,0.8048,1.5622,1.6847,2.2649,0.16602,0.023534,0.80203,1.7999
0.7,0.9,1.1598,1.7875,0.5371,0.80712,1.565,1.6835,2.2647,0.17162,0.019692,0.80099,1.8
0.7,0.9,1.1589,1.789,0.5395,0.80601,1.5679,1.6825,2.2646,0.17741,0.016161,0.80076,1.8
0.7,0.9,1.1578,1.7902,0.542,0.80853,1.5709,1.6815,2.2648,0.18339,0.012978,0.80147,1.7999
0.7,0.9,1.1567,1.7915,0.54466,0.81119,1.5741,1.6806,2.265,0.18966,0.010051,0.80223,1.7999
0.7,0.9,1.1555,1.7929,0.54754,0.81402,1.5774,1.6798,2.2652,0.1963,0.0074273,0.80302,1.8
0.7,0.9,1.154,1.7938,0.5505,0.81355,1.5809,1.6792,2.2658,0.20316,0.0054113,0.80579,1.7998
0.7,0.9,1.1525,1.7948,0.55377,0.81674,1.5846,1.6787,2.2666,0.21053,0.0038306,0.8087,1.7998
0.7,0.9,1.1508,1.7959,0.5574,0.82022,1.5886,1.6784,2.2674,0.21851,0.0027977,0.81198,1.8
0.7,0.9,1.1676,1.739,0.48928,0.78154,1.5063,1.7372,2.2847,0.055014,0.19579,0.8818,1.8
0.7,0.9,1.1677,1.7411,0.49023,0.78264,1.5079,1.7352,2.2835,0.058259,0.18915,0.87663,1.8
0.7,0.9,1.1678,1.7432,0.4912,0.77965,1.5095,1.7332,2.2822,0.061534,0.18256,0.87156,1.8
0.7,0.9,1.1678,1.7451,0.49223,0.78078,1.5112,1.7312,2.2811,0.064802,0.17602,0.86698,1.7999
0.7,0.9,1.1678,1.7471,0.49325,0.78194,1.5129,1.7292,2.2798,0.068139,0.1695,0.86203,1.7999
0.7,0.9,1.1676,1.7485,0.49443,0.78312,1.5145,1.7273,2.2792,0.071357,0.16315,0.85939,1.7996
0.7,0.9,1.1679,1.7512,0.49536,0.78431,1.5163,1.7253,2.2774,0.074923,0.15659,0.85234,1.7999
0.7,0.9,1.1679,1.7532,0.49645,0.78553,1.518,1.7233,2.2762,0.078374,0.15021,0.8476,1.7999
0.7,0.9,1.168,1.7553,0.49755,0.78676,1.5198,1.7214,2.275,0.081906,0.14385,0.8424,1.8
0.7,0.9,1.1676,1.7563,0.4989,0.78404,1.5215,1.7195,2.2747,0.085218,0.13782,0.84135,1.7995
0.7,0.9,1.1678,1.7591,0.49995,0.78533,1.5234,1.7176,2.2729,0.088986,0.13141,0.83407,1.7999
0.7,0.9,1.1678,1.7612,0.50116,0.78665,1.5252,1.7157,2.2717,0.092658,0.12522,0.82913,1.8
0.7,0.9,1.1677,1.7631,0.50243,0.788,1.5271,1.7139,2.2707,0.096319,0.11916,0.82528,1.7999
