a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,0.1,9.9902,0.24503,0.030764,0.45199,0.025369,0.22789,0.20748,0,1,1,2.4773
0,0.1,10,0.24853,0.03112,0.40818,0.025377,0.22518,0.20652,7.1101e-05,0.96846,0.97459,2.4681
0,0.1,9.9956,0.25926,0.039377,0.47471,0.027148,0.21711,0.20426,0.015582,0.87444,0.91443,2.4635
0,0.1,9.9991,0.25282,0.034941,0.44573,0.026179,0.22228,0.20541,0.0070971,0.93476,0.94494,2.4282
0,0.1,10,0.25541,0.036503,0.47091,0.026554,0.22053,0.20476,0.010382,0.91429,0.92768,2.4317
0,0.1,9.9998,0.25818,0.037883,0.4667,0.026896,0.21868,0.20408,0.013371,0.89274,0.90965,2.4436
0,0.1,9.9956,0.26324,0.040336,0.48562,0.027473,0.21524,0.20302,0.01843,0.85274,0.88137,2.4829
0,0.1,9.9959,0.26503,0.040235,0.45452,0.027564,0.21495,0.20273,0.019225,0.84927,0.87377,2.4816
0,0.1,10,0.26726,0.042182,0.4899,0.027859,0.21322,0.20207,0.021808,0.82917,0.85609,2.5305
0,0.1,9.9998,0.27094,0.044047,0.505,0.028228,0.2114,0.2014,0.025046,0.80795,0.83835,2.5893
0,0.1,10,0.27472,0.045815,0.51421,0.02862,0.20962,0.20075,0.028479,0.78718,0.82097,2.6568
0,0.1,9.9992,0.27941,0.047428,0.54141,0.029107,0.20783,0.20011,0.032739,0.76635,0.80385,2.7287
0,0.1,9.9992,0.28505,0.048472,0.56618,0.029619,0.20609,0.19948,0.037232,0.74608,0.78713,2.7831
0,0.1,9.9852,0.29562,0.049156,0.58052,0.030504,0.20373,0.19873,0.044979,0.71861,0.76727,2.8201
0,0.1,9.9998,0.30796,0.050402,0.62879,0.031444,0.201,0.19766,0.053213,0.68687,0.73886,2.9073
0,0.1,9.9965,0.32252,0.050193,0.67883,0.032614,0.19955,0.19719,0.063468,0.66995,0.72624,2.9057
0,0.1,9.8653,0.33554,0.050211,0.64232,0.034237,0.19831,0.19683,0.077682,0.65549,0.71675,2.846
0,0.1,9.7175,0.34941,0.050292,0.69812,0.036068,0.19713,0.1965,0.093725,0.64179,0.70786,2.7832
0,0.1,9.5875,0.36478,0.050133,0.6986,0.038086,0.19606,0.19623,0.1114,0.62931,0.70057,2.7199
0,0.1,9.476,0.38155,0.049802,0.72976,0.040269,0.19503,0.19598,0.13052,0.61734,0.69397,2.6599
0,0.1,9.3905,0.39834,0.049384,0.71292,0.04242,0.19402,0.19574,0.14937,0.60556,0.68755,2.6098
0,0.1,9.3384,0.41616,0.048851,0.77481,0.044564,0.19297,0.19548,0.16815,0.59332,0.68063,2.5713
0,0.1,9.3106,0.43532,0.048111,0.69548,0.046755,0.19199,0.19525,0.18735,0.58186,0.67458,2.536
0,0.1,9.2286,0.45142,0.047799,0.69828,0.048915,0.19096,0.195,0.20627,0.5699,0.66798,2.4953
0,0.1,9.1171,0.46541,0.047765,0.71119,0.051049,0.18992,0.19475,0.22495,0.55775,0.66121,2.4539
0,0.1,9.1819,0.52539,0.045366,0.73979,0.05722,0.18671,0.19393,0.27901,0.52033,0.63947,2.4091
0,0.1,9.0953,0.53907,0.045236,0.75071,0.059269,0.18564,0.19366,0.29697,0.50786,0.63223,2.3762
0,0.1,9.091,0.55709,0.044757,0.76287,0.06128,0.18456,0.19338,0.31458,0.4953,0.62488,2.3628
0,0.1,9.0835,0.57461,0.044324,0.77405,0.063259,0.18345,0.19309,0.33192,0.48245,0.61719,2.3498
0,0.1,9.024,0.58849,0.044077,0.78321,0.065214,0.18233,0.19279,0.34905,0.46936,0.60923,2.3244
0,0.1,8.9681,0.6022,0.043871,0.89239,0.067149,0.18121,0.19249,0.366,0.45632,0.6013,2.3017
0,0.1,9.0061,0.62191,0.043224,0.802,0.069054,0.18008,0.19219,0.38268,0.4431,0.59317,2.299
0,0.1,9.0214,0.63985,0.042887,0.81096,0.070926,0.17894,0.19188,0.39908,0.42982,0.58495,2.2968
0,0.1,9.0794,0.66119,0.04226,0.8204,0.072824,0.1778,0.19157,0.41571,0.41656,0.57676,2.3013
0,0.1,9.0454,0.6758,0.042042,0.91912,0.074713,0.17666,0.19126,0.43225,0.40327,0.56854,2.2861
0,0.1,9.0654,0.69439,0.041616,0.83562,0.076598,0.17551,0.19095,0.44877,0.38995,0.56028,2.2834
0,0.1,9.044,0.70954,0.041375,0.84243,0.078454,0.17436,0.19064,0.46503,0.37648,0.55184,2.272
0,0.1,8.9204,0.71646,0.041537,0.84654,0.080317,0.17322,0.19033,0.48135,0.36324,0.54378,2.2382
0,0.1,8.9872,0.73831,0.040975,0.85488,0.082151,0.17204,0.19,0.49741,0.34947,0.53487,2.2471
0,0.1,8.8671,0.7447,0.041134,0.85841,0.083985,0.17089,0.18969,0.51348,0.33612,0.52672,2.2149
0,0.1,8.9013,0.76387,0.04071,0.86549,0.085815,0.16971,0.18935,0.52951,0.32229,0.5177,2.217
