a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,1,0.81939,1.0338,0.34054,0.93614,1.4584,1.6708,2.0377,0,0.70974,1,1.6
0,1,0.81946,1.0373,0.33887,0.93186,1.4585,1.6689,2.0335,0.0002695,0.69436,0.98681,1.6
0,1,0.81952,1.0407,0.33726,0.93451,1.4586,1.6671,2.0294,0.00072153,0.67924,0.97388,1.6
0,1,0.81958,1.0442,0.33562,0.93716,1.4587,1.6653,2.0252,0.0013014,0.66428,0.96098,1.6
0,1,0.81961,1.0476,0.33404,0.9398,1.4589,1.6635,2.0212,0.0020495,0.64956,0.94833,1.6
0,1,0.81964,1.0511,0.33248,0.94243,1.4592,1.6617,2.0172,0.0029585,0.63505,0.93584,1.6
0,1,0.81966,1.0545,0.33094,0.93832,1.4594,1.66,2.0133,0.0040041,0.62074,0.92352,1.6
0,1,0.81967,1.0579,0.32943,0.94095,1.4597,1.6583,2.0094,0.005196,0.60662,0.91134,1.6
0,1,0.81967,1.0612,0.32794,0.94357,1.46,1.6566,2.0055,0.0065178,0.59268,0.89931,1.6
0,1,0.81967,1.0646,0.32647,0.94617,1.4604,1.655,2.0017,0.0079841,0.57894,0.88744,1.6
0,1,0.81965,1.0679,0.32502,0.94876,1.4608,1.6533,1.998,0.0095797,0.56538,0.87571,1.6
0,1,0.81964,1.0713,0.32361,0.94479,1.4612,1.6517,1.9943,0.011308,0.552,0.86419,1.6
0,1,0.81961,1.0745,0.32229,0.94734,1.4617,1.6501,1.9907,0.013195,0.53889,0.85303,1.6
0,1,0.81959,1.0779,0.3208,0.94993,1.4622,1.6485,1.987,0.015102,0.52569,0.84133,1.6
0,1,0.81956,1.0812,0.31943,0.95248,1.4627,1.647,1.9834,0.017187,0.51279,0.83014,1.6
0,1,0.81952,1.0845,0.31808,0.95501,1.4632,1.6455,1.9799,0.019397,0.50007,0.81909,1.6
0,1,0.81948,1.0877,0.31677,0.95115,1.4638,1.6439,1.9764,0.021715,0.48751,0.80822,1.6
0,1,0.81944,1.0909,0.31555,0.95363,1.4644,1.6424,1.9731,0.024157,0.47517,0.79771,1.6
0,1,0.8194,1.0941,0.31425,0.95612,1.465,1.641,1.9696,0.026694,0.46289,0.78702,1.6
0,1,0.81936,1.0974,0.31288,0.95863,1.4657,1.6395,1.9661,0.029325,0.45066,0.77607,1.6
0,1,0.81931,1.1006,0.31162,0.95981,1.4664,1.638,1.9628,0.032086,0.43869,0.76562,1.6
0,1,0.81926,1.1038,0.31038,0.95733,1.4671,1.6366,1.9595,0.034946,0.42685,0.75528,1.6
0,1,0.81919,1.1064,0.30967,0.95345,1.4678,1.6353,1.9569,0.037941,0.41574,0.74708,1.5998
0,1,0.81917,1.1101,0.30796,0.96217,1.4686,1.6338,1.953,0.040979,0.40361,0.73495,1.6
0,1,0.81912,1.1133,0.30677,0.96455,1.4693,1.6324,1.9498,0.044153,0.3922,0.72497,1.6
0,1,0.81907,1.1164,0.3056,0.96089,1.4702,1.6311,1.9466,0.047432,0.38094,0.71508,1.6
0,1,0.81902,1.1194,0.30456,0.9632,1.471,1.6297,1.9436,0.050772,0.36989,0.7057,1.6
0,1,0.81896,1.1221,0.30386,0.95942,1.4718,1.6285,1.9411,0.054139,0.35931,0.69771,1.5998
0,1,0.81893,1.1257,0.3022,0.9679,1.4727,1.6271,1.9374,0.057834,0.34792,0.68606,1.6
0,1,0.81888,1.1288,0.30111,0.97019,1.4736,1.6258,1.9343,0.061499,0.33719,0.67661,1.6
