a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,1,1.1097,1.1898,0.29704,0.71539,1.1134,1.4942,1.8034,0,0.82332,1,1.9999
0,1,1.11,1.1948,0.29576,0.68098,1.1135,1.4914,1.8004,0.00016835,0.80282,0.98462,2
0,1,1.1102,1.1986,0.2953,0.6759,1.1139,1.4886,1.7976,0.0011136,0.78327,0.96996,2
0,1,1.1104,1.2014,0.29546,0.67888,1.1145,1.486,1.7949,0.0026205,0.76439,0.95582,2
0,1,1.1106,1.2039,0.29589,0.68605,1.1152,1.4834,1.7922,0.0044723,0.74594,0.942,2
0,1,1.1108,1.2056,0.29685,0.71147,1.1161,1.4809,1.7896,0.0066483,0.72789,0.92848,2
0,1,1.111,1.2085,0.29688,0.7191,1.1171,1.4785,1.7871,0.0092676,0.71035,0.91542,2
0,1,1.1112,1.2113,0.29684,0.72061,1.1183,1.4761,1.7846,0.012225,0.69326,0.90259,2
0,1,1.1113,1.2141,0.2968,0.72211,1.1196,1.4737,1.7822,0.015503,0.67654,0.89013,2
0,1,1.1115,1.2169,0.29675,0.72358,1.121,1.4714,1.7798,0.018914,0.66,0.87772,2
0,1,1.1117,1.2197,0.29671,0.72503,1.1224,1.4691,1.7774,0.022492,0.64365,0.8655,2
0,1,1.1118,1.2224,0.29667,0.72053,1.1239,1.4669,1.7751,0.026201,0.62745,0.85345,2
0,1,1.1119,1.2251,0.29663,0.72198,1.1254,1.4646,1.7728,0.029972,0.61134,0.84141,2
0,1,1.112,1.2278,0.29661,0.72348,1.127,1.4624,1.7705,0.033933,0.59541,0.82973,1.9999
0,1,1.1122,1.2305,0.29665,0.72489,1.1286,1.4602,1.7682,0.037852,0.57952,0.81765,2
0,1,1.1124,1.2332,0.29678,0.72635,1.1302,1.458,1.7659,0.042018,0.56389,0.80598,2
0,1,1.1125,1.2359,0.29695,0.72781,1.1319,1.4558,1.7637,0.046264,0.54836,0.79433,2
0,1,1.1126,1.2385,0.29718,0.72354,1.1337,1.4537,1.7614,0.050639,0.53298,0.7829,2
0,1,1.1127,1.2411,0.29745,0.72509,1.1355,1.4516,1.7593,0.055165,0.51775,0.77177,1.9999
