a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
1,1.3,0.98167,2.0061,0.65379,0.81209,2.1559,2.4799,3.2289,0,0.35501,1,1.8
1,1.3,0.98181,2.0101,0.65324,0.78601,2.1559,2.4769,3.2264,5.5748e-05,0.34701,0.99344,1.8
1,1.3,0.98195,2.0139,0.65282,0.77692,2.156,2.474,3.2239,0.0002028,0.33911,0.98703,1.8
1,1.3,0.98209,2.0176,0.65245,0.77031,2.1561,2.4711,3.2215,0.00042853,0.3313,0.98072,1.8
1,1.3,0.98222,2.0211,0.65216,0.76535,2.1563,2.4682,3.2192,0.00074877,0.3236,0.97457,1.8
1,1.3,0.98236,2.0244,0.65209,0.76236,2.1565,2.4654,3.2169,0.0011576,0.316,0.96855,1.8
1,1.3,0.98249,2.0278,0.6519,0.7588,2.1568,2.4626,3.2146,0.001659,0.30851,0.96268,1.8
1,1.3,0.98261,2.0311,0.65177,0.75585,2.1571,2.4599,3.2124,0.0022549,0.30112,0.95696,1.8
1,1.3,0.98274,2.034,0.65187,0.75436,2.1575,2.4572,3.2103,0.0029348,0.29384,0.95135,1.8
1,1.3,0.98285,2.0368,0.65207,0.7535,2.158,2.4545,3.2082,0.0037071,0.28665,0.94589,1.8
1,1.3,0.98297,2.0392,0.65255,0.75426,2.1584,2.4519,3.2062,0.0045717,0.27958,0.94058,1.8
1,1.3,0.98307,2.0418,0.65283,0.75371,2.159,2.4493,3.2042,0.0055246,0.2726,0.93541,1.8
1,1.3,0.98318,2.0443,0.65317,0.75346,2.1596,2.4468,3.2023,0.0065677,0.26573,0.93038,1.8
1,1.3,0.98328,2.0465,0.65367,0.75413,2.1602,2.4443,3.2004,0.0076869,0.25895,0.92544,1.8
1,1.3,0.98336,2.0485,0.6543,0.75549,2.1609,2.4418,3.1986,0.0088922,0.25227,0.92065,1.8
1,1.3,0.98345,2.0504,0.65503,0.75734,2.1616,2.4393,3.1968,0.010175,0.24567,0.91598,1.8
1,1.3,0.98352,2.0522,0.65583,0.75963,2.1624,2.4369,3.1951,0.011533,0.23916,0.91143,1.8
1,1.3,0.98358,2.0538,0.65673,0.76264,2.1632,2.4345,3.1934,0.012961,0.23273,0.90698,1.8
1,1.3,0.98365,2.0557,0.65733,0.76366,2.164,2.4322,3.1917,0.014457,0.22638,0.90264,1.8
1,1.3,0.98369,2.0571,0.65835,0.76754,2.1649,2.4299,3.1901,0.01602,0.22011,0.89842,1.8
1,1.3,0.98373,2.0584,0.65941,0.77199,2.1658,2.4276,3.1885,0.017635,0.21389,0.89425,1.8
1,1.3,0.98378,2.06,0.6602,0.77437,2.1667,2.4253,3.187,0.019311,0.20775,0.89019,1.8
