a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.2,0.1,7.7258,0.46094,0.12833,0.51851,0.065786,0.42305,0,1,2
0.2,0.1,7.7313,0.46755,0.12751,0.52383,0.06581,0.41947,0.00015411,0.96684,2
0.2,0.1,7.7315,0.47109,0.12714,0.52689,0.065866,0.41773,0.00052041,0.95072,1.9995
0.2,0.1,7.7371,0.47775,0.12598,0.53123,0.065894,0.41414,0.00070541,0.9174,2
0.2,0.1,7.7363,0.48138,0.12552,0.51765,0.065971,0.41241,0.001212,0.9014,1.9995
0.2,0.1,7.7378,0.4849,0.12502,0.52025,0.066022,0.41065,0.0015488,0.88505,1.9995
0.2,0.1,7.7384,0.48845,0.12444,0.52267,0.066082,0.40889,0.0019448,0.86875,1.9995
0.2,0.1,7.7385,0.49205,0.12382,0.52506,0.066153,0.40714,0.00241,0.85252,1.9995
0.2,0.1,7.7396,0.49575,0.12335,0.52773,0.066236,0.4054,0.0029517,0.83635,1.9995
0.2,0.1,7.74,0.4995,0.12282,0.53031,0.06633,0.40366,0.0035683,0.82024,1.9995
0.2,0.1,7.7413,0.5032,0.1222,0.53254,0.066412,0.4019,0.0041108,0.80391,1.9999
0.2,0.1,7.7402,0.50704,0.12158,0.53498,0.066537,0.40018,0.0049304,0.78798,1.9999
0.2,0.1,7.7365,0.51104,0.12094,0.53763,0.06671,0.39851,0.0060677,0.7725,1.9995
0.2,0.1,7.7352,0.51535,0.12029,0.54032,0.066894,0.39683,0.0072784,0.75692,1.9995
0.2,0.1,7.7443,0.51974,0.12045,0.52969,0.067178,0.39521,0.0091452,0.74192,1.9996
0.2,0.1,7.7458,0.52427,0.12077,0.53455,0.067745,0.39387,0.012867,0.72947,1.9979
0.2,0.1,7.7525,0.52845,0.12084,0.53819,0.06821,0.39236,0.015927,0.7155,1.9979
0.2,0.1,7.7657,0.5323,0.12077,0.5408,0.068573,0.39069,0.018312,0.69999,1.9996
0.2,0.1,7.7719,0.53642,0.12069,0.54394,0.069033,0.38916,0.021335,0.6858,1.9999
