a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.3,1.5,0.73593,1.5634,0.52498,0.8776,2.244,3.0096,0,1,1.8
0.3,1.5,0.73595,1.5673,0.52247,0.8795,2.2441,3.005,8.7348e-05,0.9834,1.8
0.3,1.5,0.73597,1.5712,0.51999,0.8814,2.2441,3.0003,0.00029401,0.96684,1.8
0.3,1.5,0.73594,1.5751,0.51709,0.88331,2.2443,2.9957,0.00070994,0.95051,1.8
0.3,1.5,0.7359,1.5788,0.51463,0.8804,2.2446,2.9912,0.0014982,0.93475,1.7999
0.3,1.5,0.73589,1.5827,0.5119,0.88231,2.2448,2.9866,0.0020959,0.9184,1.8
0.3,1.5,0.73581,1.5865,0.5091,0.88426,2.2451,2.9822,0.0031083,0.90269,1.8
0.3,1.5,0.73569,1.5902,0.5062,0.88151,2.2456,2.9779,0.0044511,0.88743,1.7999
0.3,1.5,0.73562,1.594,0.50346,0.88343,2.246,2.9735,0.005696,0.87174,1.8
0.3,1.5,0.73549,1.5977,0.50056,0.88539,2.2466,2.9692,0.0072845,0.85652,1.8
0.3,1.5,0.7353,1.6012,0.49763,0.8874,2.2473,2.9651,0.009307,0.84197,1.7999
0.3,1.5,0.73515,1.6049,0.49465,0.88938,2.2479,2.9608,0.011262,0.82695,1.8
0.3,1.5,0.7349,1.6083,0.49157,0.88677,2.2488,2.9569,0.013762,0.81284,1.7999
0.3,1.5,0.73466,1.6118,0.48849,0.88882,2.2497,2.9529,0.016389,0.79866,1.7999
0.3,1.5,0.73439,1.6152,0.48539,0.89089,2.2507,2.949,0.019316,0.78478,1.7999
0.3,1.5,0.73409,1.6186,0.48205,0.89299,2.2518,2.945,0.022445,0.77089,1.8
0.3,1.5,0.73373,1.6219,0.47872,0.89514,2.2531,2.9413,0.026041,0.75761,1.8
0.3,1.5,0.73334,1.6251,0.47543,0.89267,2.2545,2.9377,0.030085,0.74485,1.8
0.3,1.5,0.73299,1.6282,0.47243,0.89474,2.256,2.9342,0.034557,0.73246,1.8
0.3,1.5,0.73272,1.6312,0.46993,0.89665,2.2578,2.9308,0.039534,0.72056,1.8
0.3,1.5,0.73268,1.6342,0.46856,0.8982,2.2597,2.9276,0.045003,0.70914,1.8
0.3,1.5,0.73282,1.6372,0.46804,0.8949,2.2617,2.9245,0.050866,0.6981,1.8
0.3,1.5,0.73303,1.6401,0.46805,0.89601,2.2638,2.9216,0.057077,0.68765,1.7999
0.3,1.5,0.73334,1.6431,0.46822,0.897,2.266,2.9185,0.063357,0.67676,1.8
0.3,1.5,0.73364,1.6461,0.46854,0.89797,2.2683,2.9156,0.069869,0.66635,1.8
0.3,1.5,0.73394,1.6489,0.46892,0.89892,2.2706,2.9127,0.076509,0.65606,1.8
0.3,1.5,0.73424,1.6518,0.46933,0.89543,2.2729,2.9098,0.083255,0.64588,1.8
0.3,1.5,0.73448,1.6545,0.46966,0.89644,2.2753,2.907,0.090132,0.63609,1.7999
0.3,1.5,0.73475,1.6574,0.47001,0.89741,2.2777,2.9042,0.097028,0.62605,1.7999
0.3,1.5,0.73503,1.6602,0.47024,0.89838,2.2801,2.9013,0.10394,0.61576,1.8
