a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.9,1,1.3048,1.8712,0.56036,0.70218,1.4655,2.5557,0,1,1.9998
0.9,1,1.305,1.8762,0.55674,0.70292,1.4659,2.5513,0.00068804,0.98415,1.9998
0.9,1,1.3051,1.8813,0.55397,0.69975,1.4669,2.5472,0.0022245,0.96891,1.9998
0.9,1,1.3053,1.8863,0.55144,0.70091,1.4683,2.5432,0.0042673,0.95417,1.9998
0.9,1,1.3054,1.8912,0.54909,0.70211,1.4699,2.5392,0.0067068,0.93981,1.9998
0.9,1,1.3055,1.8961,0.54662,0.70326,1.4717,2.5354,0.0094733,0.92577,1.9998
0.9,1,1.3055,1.9009,0.54428,0.70007,1.4737,2.5317,0.012515,0.912,1.9998
0.9,1,1.3056,1.9057,0.54188,0.70123,1.4758,2.528,0.0158,0.89846,1.9998
0.9,1,1.3057,1.9106,0.54037,0.70255,1.4781,2.5244,0.019372,0.88521,1.9998
0.9,1,1.3059,1.9157,0.53923,0.69972,1.4811,2.521,0.023807,0.8728,1.9998
0.9,1,1.3062,1.9204,0.5398,0.70128,1.4842,2.5177,0.028671,0.8608,1.9998
0.9,1,1.3059,1.9248,0.54011,0.70317,1.4878,2.5149,0.034046,0.85041,1.999
0.9,1,1.3062,1.9295,0.54071,0.70475,1.491,2.5116,0.038948,0.83844,1.999
0.9,1,1.307,1.9347,0.54153,0.70603,1.4939,2.5079,0.043387,0.82491,1.9998
0.9,1,1.3073,1.9395,0.54208,0.70763,1.4971,2.5047,0.048337,0.81299,1.9998
0.9,1,1.307,1.9439,0.54262,0.70543,1.5007,2.5019,0.053786,0.80267,1.999
0.9,1,1.3072,1.9487,0.54322,0.70707,1.5039,2.4986,0.058773,0.79079,1.999
0.9,1,1.308,1.954,0.54403,0.70842,1.5069,2.4949,0.063312,0.77735,1.9998
0.9,1,1.3082,1.9589,0.54472,0.7101,1.5102,2.4917,0.068359,0.76552,1.9998
0.9,1,1.3085,1.9637,0.54556,0.71182,1.5135,2.4885,0.073432,0.75372,1.9998
0.9,1,1.3088,1.9687,0.5463,0.71347,1.5168,2.4852,0.078431,0.74165,2
0.9,1,1.3089,1.9736,0.54718,0.71522,1.5202,2.482,0.083571,0.72989,2
0.9,1,1.3086,1.9781,0.54787,0.71328,1.5238,2.4792,0.089173,0.71968,1.9992
0.9,1,1.3092,1.9834,0.54908,0.71482,1.5269,2.4756,0.093923,0.70648,2
0.9,1,1.3088,1.988,0.54975,0.71691,1.5306,2.4729,0.099584,0.69634,1.9992
0.9,1,1.3095,1.9935,0.55079,0.71847,1.5338,2.4693,0.10441,0.68321,2
0.9,1,1.309,1.9982,0.55149,0.7206,1.5375,2.4665,0.11014,0.67315,1.9992
0.9,1,1.3091,2.0033,0.55242,0.72248,1.541,2.4634,0.11548,0.66161,1.9992
0.9,1,1.3096,2.0088,0.55353,0.72417,1.5443,2.4599,0.12051,0.64884,1.9998
0.9,1,1.3098,2.014,0.55453,0.72607,1.5478,2.4567,0.12588,0.63715,2
0.9,1,1.3092,2.0188,0.55535,0.72829,1.5517,2.454,0.13177,0.62726,1.9992
0.9,1,1.3098,2.0245,0.55656,0.73002,1.555,2.4505,0.13689,0.61439,2
0.9,1,1.3097,2.0297,0.55759,0.73207,1.5587,2.4475,0.14254,0.60333,1.9998
0.9,1,1.3097,2.0351,0.5587,0.73408,1.5624,2.4444,0.14811,0.59184,2
0.9,1,1.3092,2.0401,0.55938,0.73636,1.5664,2.4417,0.1542,0.58215,1.9992
0.9,1,1.3091,2.0455,0.56054,0.73847,1.5701,2.4387,0.15995,0.57102,1.9992
0.9,1,1.309,2.051,0.56156,0.74057,1.5739,2.4357,0.16576,0.55994,1.9992
0.9,1,1.3093,2.0568,0.56331,0.74257,1.5775,2.4323,0.17128,0.54743,2
0.9,1,1.3092,2.0623,0.5646,0.74528,1.5814,2.4293,0.17724,0.53645,2
0.9,1,1.309,2.0678,0.56583,0.74938,1.5854,2.4263,0.18332,0.52567,2
0.9,1,1.3087,2.0734,0.56693,0.75273,1.5895,2.4235,0.18952,0.51516,1.9998
0.9,1,1.3086,2.0791,0.56823,0.75519,1.5935,2.4205,0.19571,0.50425,2
0.9,1,1.3078,2.0842,0.56932,0.75771,1.5979,2.418,0.20237,0.4952,1.9991
0.9,1,1.3079,2.0904,0.57087,0.75985,1.6019,2.4148,0.20856,0.48347,1.9998
0.9,1,1.3072,2.0956,0.57204,0.7624,1.6064,2.4124,0.21537,0.4744,1.9991
