a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0.9,2,0.61151,2.3037,0.74222,0.99999,3.7935,4.1517,0.48727,0.99107,1.6
0.9,2,0.6116,2.3071,0.74179,1,3.7971,4.1485,0.49793,0.96206,1.6
0.9,2,0.61169,2.3105,0.74141,1,3.8009,4.1454,0.50865,0.93339,1.6
0.9,2,0.64226,2.3281,0.57208,0.92208,3.6248,4.1527,0,1,1.6834
0.9,2,0.61186,2.3173,0.74066,1,3.8083,4.1392,0.53024,0.87677,1.6
0.9,2,0.61194,2.3207,0.74027,0.99999,3.8121,4.1361,0.54111,0.84891,1.6
0.9,2,0.61202,2.3241,0.73987,1,3.8159,4.1331,0.55204,0.82112,1.6
0.9,2,0.6121,2.3274,0.73945,0.99999,3.8197,4.1301,0.56301,0.79372,1.6
0.9,2,0.61218,2.3307,0.73907,1,3.8235,4.1271,0.57403,0.7664,1.6
0.9,2,0.61226,2.334,0.73868,0.99999,3.8273,4.1241,0.5851,0.73943,1.6
0.9,2,0.61234,2.3373,0.73831,1,3.8312,4.1212,0.59622,0.71257,1.6
0.9,2,0.61241,2.3406,0.73792,1,3.835,4.1182,0.60739,0.68597,1.6
0.9,2,0.61249,2.3438,0.73755,1,3.8389,4.1153,0.6186,0.65961,1.6
0.9,2,0.61256,2.347,0.73716,1,3.8428,4.1125,0.62987,0.63349,1.6
0.9,2,0.61263,2.3503,0.73678,1,3.8467,4.1096,0.64118,0.60759,1.6
0.9,2,0.61272,2.3535,0.73655,0.99999,3.8507,4.1068,0.65255,0.58201,1.6
0.9,2,0.61279,2.3566,0.73615,1,3.8546,4.104,0.66396,0.5565,1.6
0.9,2,0.61285,2.3598,0.73579,0.99993,3.8586,4.1013,0.67542,0.53183,1.6
0.9,2,0.61293,2.3629,0.73541,1,3.8626,4.0985,0.68693,0.50629,1.6
0.9,2,0.61299,2.3661,0.73504,1,3.8666,4.0958,0.6985,0.48154,1.6
0.9,2,0.61306,2.3691,0.73467,1,3.8706,4.0931,0.71011,0.45704,1.6
0.9,2,0.61313,2.3722,0.73429,1,3.8746,4.0905,0.72177,0.43275,1.6
0.9,2,0.61319,2.3753,0.73393,1,3.8787,4.0878,0.73349,0.40873,1.6
0.9,2,0.61325,2.3783,0.73339,1,3.8827,4.0852,0.74525,0.38491,1.6
0.9,2,0.6133,2.3813,0.733,0.99994,3.8868,4.0827,0.75705,0.36186,1.6
0.9,2,0.61337,2.3843,0.73256,0.99999,3.8909,4.0801,0.76892,0.33803,1.6
0.9,2,0.61343,2.3873,0.73214,0.99999,3.895,4.0775,0.78082,0.31483,1.6
0.9,2,0.61348,2.3902,0.73168,1,3.8992,4.075,0.79276,0.29177,1.6
0.9,2,0.61354,2.3932,0.73119,1,3.9033,4.0725,0.80474,0.26896,1.6
0.9,2,0.61359,2.3961,0.73068,1,3.9075,4.07,0.81676,0.24632,1.6
0.9,2,0.61364,2.399,0.73015,1,3.9117,4.0675,0.82881,0.22383,1.6
0.9,2,0.61365,2.4017,0.72957,0.99973,3.9158,4.0654,0.84078,0.20427,1.6
0.9,2,0.61373,2.4048,0.729,1,3.92,4.0626,0.853,0.17927,1.6
0.9,2,0.61376,2.4076,0.72818,1,3.9242,4.0602,0.86514,0.15719,1.6
0.9,2,0.6138,2.4105,0.72755,1,3.9284,4.0578,0.8773,0.13524,1.6
0.9,2,0.61384,2.4133,0.72689,1,3.9327,4.0554,0.88949,0.11341,1.6
0.9,2,0.61388,2.4162,0.72623,1,3.9369,4.053,0.9017,0.091678,1.6
0.9,2,0.61392,2.419,0.72555,1,3.9411,4.0507,0.91394,0.070077,1.6
0.9,2,0.61404,2.4222,0.72614,1,3.9454,4.0484,0.92634,0.049175,1.6
0.9,2,0.61416,2.4256,0.72677,1,3.9501,4.0466,0.93976,0.03304,1.6
0.9,2,0.61424,2.4289,0.72669,0.99998,3.9549,4.0453,0.95381,0.020889,1.6
0.9,2,0.61426,2.432,0.72614,0.9999,3.9597,4.0444,0.96773,0.01306,1.6
0.9,2,0.61431,2.4354,0.72565,0.99989,3.9647,4.0437,0.98213,0.0067681,1.5999
0.9,2,0.6144,2.4396,0.72456,1,3.9709,4.043,1,0,1.6
