a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
0,1.1,1.0401,1.2555,0.32102,0.72894,1.2425,1.9489,0,1,1.9999
0,1.1,1.04,1.2587,0.31893,0.72471,1.2425,1.9458,0.00016131,0.9836,1.9999
0,1.1,1.0398,1.262,0.3167,0.72633,1.2426,1.9427,0.00033588,0.967,1.9999
0,1.1,1.0396,1.2652,0.31418,0.73334,1.2427,1.9396,0.00064835,0.95055,1.9999
0,1.1,1.0393,1.2684,0.31139,0.72966,1.2429,1.9366,0.0012053,0.93433,1.9999
0,1.1,1.0389,1.2716,0.30855,0.73136,1.2432,1.9335,0.0019381,0.91812,2
0,1.1,1.0384,1.2745,0.30587,0.73313,1.2442,1.9308,0.0042365,0.90379,1.9999
0,1.1,1.0379,1.2773,0.30344,0.73481,1.2454,1.9282,0.0072529,0.88999,1.9999
0,1.1,1.0376,1.2801,0.30155,0.73641,1.2468,1.9257,0.010757,0.87665,1.9999
0,1.1,1.0373,1.2829,0.29966,0.73795,1.2483,1.9233,0.014558,0.8634,2
0,1.1,1.0369,1.2855,0.29783,0.737,1.2501,1.921,0.019044,0.85123,1.9998
0,1.1,1.0367,1.2881,0.29666,0.73525,1.252,1.9187,0.023797,0.83911,1.9998
0,1.1,1.0371,1.2907,0.29692,0.73634,1.254,1.9164,0.028647,0.82709,1.9998
0,1.1,1.0371,1.2931,0.29708,0.73776,1.2561,1.9145,0.034013,0.81668,1.9992
0,1.1,1.0378,1.2959,0.29737,0.73856,1.2579,1.9119,0.038419,0.8031,1.9998
0,1.1,1.0381,1.2986,0.29752,0.73969,1.2598,1.9097,0.043328,0.79113,1.9998
0,1.1,1.0385,1.3012,0.29776,0.73545,1.2618,1.9074,0.048157,0.77886,2
0,1.1,1.0387,1.3038,0.29798,0.73635,1.2638,1.9052,0.053168,0.76721,1.9998
0,1.1,1.039,1.3064,0.29819,0.7375,1.2658,1.903,0.058092,0.75525,1.9998
0,1.1,1.039,1.3087,0.29846,0.73895,1.2679,1.901,0.063511,0.7449,1.9992
0,1.1,1.0398,1.3116,0.29945,0.73972,1.2697,1.8985,0.067988,0.73139,1.9998
0,1.1,1.0403,1.3142,0.30023,0.74084,1.2717,1.8963,0.072977,0.71949,1.9998
0,1.1,1.0407,1.3168,0.30103,0.74199,1.2737,1.894,0.077995,0.70763,1.9998
0,1.1,1.041,1.3195,0.30181,0.74316,1.2758,1.8918,0.083043,0.6958,1.9998
0,1.1,1.0414,1.3221,0.30257,0.74435,1.2778,1.8896,0.088124,0.68399,1.9998
0,1.1,1.0418,1.3247,0.30353,0.74038,1.2799,1.8874,0.093242,0.67223,1.9998
0,1.1,1.0421,1.3273,0.3044,0.7415,1.2819,1.8852,0.098383,0.66048,1.9998
0,1.1,1.0424,1.33,0.30519,0.74278,1.284,1.883,0.10356,0.64878,1.9998
0,1.1,1.0427,1.3326,0.30598,0.74409,1.2861,1.8808,0.10878,0.63711,1.9998
0,1.1,1.043,1.3352,0.30679,0.74543,1.2882,1.8786,0.11403,0.62547,1.9998
0,1.1,1.0432,1.3379,0.30761,0.74679,1.2903,1.8764,0.11933,0.61388,1.9998
0,1.1,1.0435,1.3406,0.30837,0.74817,1.2925,1.8743,0.12466,0.60233,1.9998
0,1.1,1.0433,1.343,0.30897,0.74987,1.2948,1.8724,0.13048,0.59241,1.9992
0,1.1,1.0439,1.3459,0.31,0.75102,1.2968,1.87,0.13547,0.57935,1.9998
0,1.1,1.044,1.3486,0.31082,0.75248,1.299,1.8678,0.14095,0.56793,1.9998
0,1.1,1.0439,1.3511,0.31159,0.75418,1.3013,1.8659,0.14679,0.55776,1.9993
0,1.1,1.0444,1.3541,0.31257,0.75547,1.3034,1.8635,0.15202,0.54517,1.9999
0,1.1,1.0445,1.3569,0.31336,0.75698,1.3057,1.8614,0.1576,0.53367,2
0,1.1,1.0446,1.3596,0.31417,0.75942,1.308,1.8593,0.16337,0.52278,1.9998
0,1.1,1.0447,1.3625,0.31477,0.76492,1.3103,1.8572,0.16911,0.51156,1.9999
0,1.1,1.0447,1.3652,0.31578,0.76674,1.3126,1.8552,0.17493,0.50048,1.9999
