a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
1,0.3,2.5379,1.31,0.43771,0.70755,0.59634,1.5558,0,1,1.4811
1,0.3,2.1187,1.5687,0.39057,0.70643,0.75758,1.5385,0.27256,0.94098,1.3949
1,0.3,2.119,1.58,0.39094,0.74676,0.76019,1.5278,0.27698,0.90433,1.3945
1,0.3,2.1209,1.5911,0.3913,0.75267,0.76224,1.5225,0.28044,0.88608,1.3944
1,0.3,2.1248,1.6135,0.39219,0.76171,0.76692,1.5124,0.28835,0.85159,1.3944
1,0.3,2.1266,1.6245,0.39269,0.76596,0.76952,1.5077,0.29275,0.83551,1.3943
1,0.3,2.1283,1.6352,0.39321,0.77033,0.7723,1.5032,0.29745,0.82019,1.3943
1,0.3,2.1298,1.6461,0.39378,0.77096,0.77537,1.4991,0.30264,0.80618,1.3942
1,0.3,2.1311,1.6562,0.39432,0.77506,0.77847,1.4951,0.30788,0.79267,1.3942
1,0.3,2.1636,1.8104,0.38925,0.80391,0.83676,1.4337,0.40641,0.58246,1.4
1,0.3,2.1638,1.8204,0.38869,0.80398,0.84128,1.4303,0.41405,0.57088,1.4
1,0.3,2.1639,1.8302,0.38799,0.80694,0.84579,1.4269,0.42167,0.55928,1.4
1,0.3,2.1633,1.8392,0.3875,0.807,0.85019,1.4241,0.42912,0.54972,1.3998
1,0.3,2.1644,1.8501,0.3868,0.80715,0.85479,1.4201,0.43689,0.53617,1.3999
1,0.3,2.1648,1.8603,0.38618,0.80733,0.85932,1.4166,0.44455,0.52403,1.4
1,0.3,2.165,1.8702,0.38551,0.81022,0.86382,1.4132,0.45216,0.51239,1.4
1,0.3,2.1652,1.8801,0.38493,0.81044,0.86832,1.4097,0.45976,0.50075,1.4
1,0.3,2.1655,1.8901,0.38433,0.8107,0.87282,1.4063,0.46737,0.48912,1.4
1,0.3,2.1657,1.9,0.38369,0.81353,0.87733,1.4029,0.47498,0.47748,1.4
1,0.3,2.1659,1.91,0.3831,0.81384,0.88183,1.3995,0.48259,0.46584,1.4
1,0.3,2.1652,1.9188,0.38264,0.81415,0.88621,1.3968,0.49,0.45666,1.3998
1,0.3,2.1664,1.9299,0.38193,0.81459,0.89083,1.3927,0.49782,0.44259,1.4
1,0.3,2.1665,1.9397,0.38133,0.81737,0.89532,1.3894,0.5054,0.43136,1.4
1,0.3,2.1677,1.9506,0.38149,0.82065,0.89985,1.3861,0.51305,0.41981,1.4
1,0.3,2.1681,1.9605,0.38174,0.82387,0.90429,1.3833,0.52056,0.41044,1.3998
1,0.3,2.1703,1.9729,0.38184,0.82811,0.90903,1.3793,0.52857,0.39667,1.4
1,0.3,2.171,1.9835,0.38176,0.83227,0.91363,1.3761,0.53636,0.38589,1.4
1,0.3,2.1722,1.9947,0.38196,0.8358,0.9183,1.3729,0.54424,0.37483,1.4
1,0.3,2.1743,2.0172,0.38218,0.84328,0.92775,1.3666,0.56022,0.35312,1.4
1,0.3,2.1752,2.0285,0.38215,0.84736,0.93253,1.3634,0.5683,0.34245,1.4
1,0.3,2.1754,2.0387,0.38241,0.85043,0.93718,1.361,0.57616,0.33398,1.3998
1,0.3,2.1774,2.0517,0.38238,0.85496,0.94226,1.3572,0.58474,0.32113,1.4
1,0.3,2.1782,2.063,0.38244,0.85876,0.94712,1.3543,0.59296,0.31128,1.4
1,0.3,2.1783,2.0734,0.3827,0.86176,0.95185,1.352,0.60096,0.30323,1.3998
1,0.3,2.18,2.0864,0.38261,0.86644,0.95705,1.3484,0.60974,0.2912,1.4
1,0.3,2.1811,2.0983,0.38283,0.87002,0.96207,1.3456,0.61823,0.28136,1.4
1,0.3,2.1822,2.1106,0.38292,0.87385,0.96718,1.3426,0.62688,0.27126,1.4
1,0.3,2.1827,2.1221,0.38283,0.87797,0.97224,1.3399,0.63542,0.26211,1.4
1,0.3,2.1828,2.1328,0.38318,0.8809,0.97711,1.3378,0.64366,0.25475,1.3998
1,0.3,2.1844,2.1464,0.38304,0.8856,0.98257,1.3345,0.65289,0.24342,1.4
1,0.3,2.1857,2.1591,0.3834,0.889,0.98785,1.3317,0.66182,0.23389,1.4
1,0.3,2.1864,2.1713,0.38329,0.89316,0.99313,1.329,0.67073,0.22488,1.4
1,0.3,2.187,2.1834,0.38344,0.8967,0.99837,1.3266,0.6796,0.21642,1.4
1,0.3,2.188,2.1963,0.3836,0.90058,1.0038,1.3239,0.68875,0.20729,1.4
1,0.3,2.1885,2.2084,0.38356,0.90438,1.0091,1.3215,0.69774,0.19911,1.4
1,0.3,2.1895,2.2213,0.38398,0.90773,1.0145,1.319,0.70692,0.19066,1.3999
1,0.3,2.1902,2.2342,0.38373,0.91203,1.0201,1.3165,0.71628,0.18192,1.4
1,0.3,2.1912,2.2472,0.38421,0.91517,1.0256,1.3141,0.72559,0.17374,1.4
1,0.3,2.1915,2.2595,0.38398,0.91923,1.031,1.3118,0.73482,0.16609,1.3999
1,0.3,2.1924,2.2727,0.38445,0.92246,1.0366,1.3095,0.74425,0.15816,1.3999
1,0.3,2.1931,2.286,0.38422,0.92664,1.0423,1.3071,0.75389,0.14994,1.4
1,0.3,2.1937,2.2988,0.38463,0.92984,1.0479,1.305,0.76329,0.14267,1.3999
1,0.3,2.1935,2.3099,0.38506,0.9325,1.0531,1.3034,0.77209,0.1372,1.3997
1,0.3,2.194,2.323,0.38478,0.93651,1.0588,1.3012,0.78173,0.12976,1.3997
1,0.3,2.1959,2.3391,0.38488,0.94081,1.0652,1.2983,0.79253,0.11989,1.4
1,0.3,2.1953,2.3496,0.38517,0.94342,1.0703,1.297,0.80119,0.11526,1.3997
1,0.3,2.1959,2.363,0.38535,0.94682,1.0761,1.2949,0.81101,0.10818,1.3997
1,0.3,2.1974,2.3788,0.38505,0.95134,1.0825,1.2923,0.82187,0.099153,1.3999
1,0.3,2.1982,2.3926,0.38574,0.95421,1.0884,1.2903,0.83183,0.092313,1.3999
1,0.3,2.1987,2.4061,0.38546,0.95807,1.0944,1.2883,0.84185,0.085577,1.3999
1,0.3,2.1993,2.4199,0.38599,0.96122,1.1003,1.2864,0.85192,0.078952,1.3999
1,0.3,2.2,2.4341,0.38569,0.9651,1.1064,1.2843,0.86227,0.072028,1.4
1,0.3,2.2004,2.4475,0.3862,0.96813,1.1123,1.2826,0.87222,0.06603,1.3999
1,0.3,2.1999,2.4587,0.38679,0.97059,1.1177,1.2813,0.88124,0.061832,1.3997
1,0.3,2.2014,2.4754,0.38636,0.97493,1.1245,1.2789,0.89274,0.053534,1.3999
1,0.3,2.2008,2.4865,0.38693,0.97732,1.1298,1.2778,0.90176,0.049539,1.3997
1,0.3,2.2013,2.5005,0.38753,0.98026,1.1359,1.276,0.9121,0.043586,1.3997
1,0.3,2.2029,2.5176,0.38733,0.98435,1.1429,1.2737,0.92388,0.035563,1.3999
1,0.3,2.2022,2.5286,0.38787,0.98664,1.1482,1.2726,0.93289,0.031905,1.3997
1,0.3,2.2027,2.5428,0.38866,0.98936,1.1544,1.271,0.94335,0.026284,1.3997
1,0.3,2.2044,2.561,0.38748,0.99414,1.1617,1.2685,0.95575,0.018035,1.4
1,0.3,2.2048,2.5753,0.38743,0.99735,1.168,1.2669,0.96637,0.012505,1.4
1,0.3,2.2047,2.603,0.39343,0.99956,1.1806,1.2642,0.98772,0.0033658,1.3999
1,0.3,2.2038,2.6179,0.39793,0.99995,1.1879,1.2633,1,0,1.4
