a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
1,1,1.1925,1.8666,0.58736,0.76002,1.6635,2.7295,0,1,1.8
1,1,1.1927,1.8741,0.58477,0.76655,1.6636,2.723,0.00016049,0.98306,1.8
1,1,1.1928,1.8815,0.5817,0.7687,1.6638,2.7166,0.00044251,0.96625,1.8
1,1,1.1928,1.8889,0.57898,0.76673,1.6641,2.7104,0.0010433,0.94997,1.7999
1,1,1.1929,1.8964,0.57606,0.76531,1.6644,2.7041,0.0015855,0.93343,1.7999
1,1,1.1929,1.9038,0.57293,0.76695,1.6648,2.6978,0.002265,0.91702,1.7999
1,1,1.193,1.9115,0.57002,0.76916,1.6652,2.6915,0.0029425,0.90044,1.8
1,1,1.193,1.919,0.56681,0.77136,1.6658,2.6854,0.0039303,0.88435,1.8
1,1,1.1929,1.9265,0.56369,0.77358,1.6665,2.6793,0.0050529,0.86835,1.8
1,1,1.1927,1.934,0.56033,0.77171,1.6673,2.6733,0.0064258,0.85269,1.8
1,1,1.1926,1.9415,0.55707,0.77394,1.6682,2.6674,0.0079624,0.83716,1.8
1,1,1.1923,1.9489,0.55362,0.77216,1.6693,2.6615,0.0097161,0.82184,1.8
1,1,1.192,1.9563,0.55002,0.77439,1.6704,2.6558,0.011711,0.80677,1.8
1,1,1.1915,1.9635,0.54621,0.77271,1.6719,2.6503,0.014119,0.79232,1.7999
1,1,1.1909,1.9708,0.54218,0.77497,1.6734,2.6447,0.016713,0.77786,1.7999
1,1,1.1902,1.978,0.53746,0.77722,1.6751,2.6392,0.019583,0.76345,1.8
1,1,1.1886,1.9846,0.53139,0.77572,1.6774,2.6343,0.023455,0.75058,1.7999
1,1,1.1904,1.9911,0.53464,0.77729,1.6808,2.6299,0.029182,0.73908,1.8
1,1,1.1913,1.9971,0.53616,0.77521,1.6844,2.6259,0.035297,0.72839,1.7999
1,1,1.1921,2.0032,0.53734,0.77697,1.6881,2.6217,0.041483,0.71759,1.7999
1,1,1.1928,2.0092,0.53825,0.77518,1.6918,2.6177,0.047762,0.70688,1.7999
1,1,1.1935,2.0151,0.53899,0.77678,1.6956,2.6136,0.054091,0.69623,1.7999
1,1,1.1941,2.0211,0.5396,0.77856,1.6993,2.6096,0.060478,0.68563,1.7999
1,1,1.1947,2.0271,0.54007,0.77666,1.7031,2.6054,0.066864,0.67483,1.8
1,1,1.1947,2.0323,0.54049,0.77867,1.7071,2.602,0.073608,0.66586,1.7995
1,1,1.1956,2.0388,0.54077,0.78024,1.7108,2.5974,0.079825,0.65381,1.8
1,1,1.196,2.0446,0.54109,0.7785,1.7147,2.5935,0.086397,0.64361,1.7999
1,1,1.1965,2.0505,0.54129,0.78025,1.7186,2.5894,0.092907,0.63294,1.8
1,1,1.1968,2.0563,0.54158,0.77859,1.7225,2.5856,0.099533,0.62279,1.7999
1,1,1.1969,2.0617,0.54186,0.78057,1.7265,2.5821,0.10636,0.61371,1.7995
1,1,1.1977,2.0681,0.5419,0.78214,1.7303,2.5776,0.11273,0.60176,1.8
1,1,1.198,2.0739,0.54199,0.78052,1.7343,2.5736,0.11941,0.59152,1.8
1,1,1.1983,2.0796,0.542,0.78235,1.7383,2.5698,0.12616,0.58156,1.7999
1,1,1.1987,2.0856,0.54195,0.78407,1.7422,2.5658,0.13284,0.57099,1.8
1,1,1.1989,2.0913,0.54184,0.78254,1.7463,2.562,0.13965,0.56109,1.7999
1,1,1.1991,2.0971,0.54168,0.78429,1.7503,2.5581,0.14644,0.5509,1.7999
1,1,1.1994,2.1029,0.54141,0.78275,1.7543,2.5543,0.15327,0.54075,1.7999
1,1,1.1997,2.1087,0.54119,0.78448,1.7584,2.5504,0.16013,0.53064,1.7999
1,1,1.2001,2.1147,0.54152,0.78628,1.7625,2.5465,0.167,0.52026,1.8
1,1,1.2005,2.1206,0.54278,0.78518,1.7666,2.5428,0.17405,0.51062,1.7999
1,1,1.2009,2.1265,0.54382,0.78717,1.7709,2.539,0.18124,0.50084,1.7999
1,1,1.2011,2.132,0.54331,0.78567,1.7752,2.5353,0.18848,0.49111,1.7999
1,1,1.2013,2.1375,0.54268,0.78723,1.7795,2.5316,0.19571,0.4813,1.7999
1,1,1.2016,2.1432,0.54205,0.78576,1.7838,2.5278,0.20293,0.47126,1.8
