a,t0,Kp,Ti,Td,beta,Jdi,Jr,JdiNorm,JrNorm,Ms
1,2,0.84091,2.3313,0.86217,0.78432,2.909,4.2706,0,1,2
1,2,0.8414,2.3363,0.85803,0.78489,2.9091,4.2648,8.9909e-05,0.98332,2
1,2,0.84177,2.3411,0.85405,0.78203,2.9095,4.2592,0.00067785,0.96731,1.9998
1,2,0.84215,2.346,0.85037,0.78274,2.91,4.2536,0.0013155,0.95116,1.9998
1,2,0.84251,2.3509,0.84685,0.78353,2.9106,4.2481,0.0021823,0.93523,1.9998
1,2,0.84284,2.3558,0.84347,0.78436,2.9114,4.2427,0.0032641,0.91951,1.9998
1,2,0.84321,2.3607,0.84022,0.78516,2.9122,4.2372,0.0044023,0.90367,2
1,2,0.84345,2.3654,0.83705,0.78612,2.9134,4.232,0.0060414,0.88867,1.9998
1,2,0.84372,2.3702,0.83398,0.78705,2.9146,4.2267,0.0077178,0.87353,1.9998
1,2,0.84397,2.3751,0.83116,0.78446,2.9159,4.2215,0.0095741,0.85856,1.9998
1,2,0.84423,2.3798,0.82814,0.7854,2.9174,4.2164,0.011594,0.84376,1.9998
1,2,0.84446,2.3846,0.82535,0.78638,2.9189,4.2113,0.013774,0.82911,1.9998
1,2,0.84475,2.3894,0.82258,0.78729,2.9205,4.2062,0.015969,0.81429,2
1,2,0.84498,2.3941,0.81966,0.78472,2.9223,4.2012,0.018446,0.79993,2
1,2,0.84513,2.3987,0.81697,0.7858,2.9242,4.1964,0.021191,0.78602,1.9998
1,2,0.84532,2.4034,0.81445,0.78683,2.9262,4.1915,0.023933,0.77192,1.9998
1,2,0.84557,2.4082,0.81192,0.78439,2.9282,4.1866,0.026676,0.75762,2
1,2,0.84577,2.4128,0.80918,0.78528,2.9303,4.1817,0.029662,0.74376,2
1,2,0.84587,2.4173,0.80673,0.7864,2.9326,4.1771,0.032892,0.73033,1.9998
1,2,0.84596,2.4221,0.80602,0.78777,2.935,4.1724,0.036212,0.71679,1.9998
1,2,0.84605,2.4271,0.80535,0.78578,2.9377,4.1679,0.039973,0.70369,1.9998
1,2,0.84617,2.4323,0.8042,0.7872,2.9407,4.1634,0.044129,0.69098,1.9998
1,2,0.84629,2.4376,0.80286,0.78863,2.944,4.1592,0.048676,0.67864,1.9998
1,2,0.84607,2.4423,0.80116,0.78702,2.9478,4.1556,0.054086,0.66828,1.999
1,2,0.84658,2.4487,0.79946,0.78813,2.9514,4.151,0.058987,0.65516,1.9998
1,2,0.84647,2.454,0.79712,0.78984,2.9558,4.1476,0.0651,0.64529,1.9991
1,2,0.84699,2.4613,0.7939,0.79103,2.9602,4.1435,0.071236,0.63353,1.9998
1,2,0.847,2.4655,0.79493,0.79248,2.965,4.14,0.078053,0.6234,1.9998
1,2,0.847,2.4697,0.79605,0.79393,2.97,4.1365,0.084907,0.61331,1.9998
1,2,0.84698,2.4738,0.79746,0.79541,2.9749,4.133,0.091799,0.60325,1.9998
1,2,0.84702,2.4781,0.79873,0.79684,2.9799,4.1295,0.098687,0.59298,2
1,2,0.847,2.4824,0.79983,0.79835,2.9849,4.126,0.10566,0.58302,2
1,2,0.84696,2.4867,0.80103,0.79987,2.9899,4.1226,0.11267,0.57308,2
