a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.2,1.6,0.47112,1.287,0.65058,1,3.0507,3.137,3.4298,0,0,1,1.4194
0.2,1.6,0.46019,1.3153,0.62619,0.99427,3.1116,3.1828,3.4289,0.28431,0.29212,0.93099,1.4083
0.2,1.6,0.45467,1.3308,0.61204,0.99637,3.1465,3.2096,3.4288,0.44725,0.46351,0.92436,1.4032
0.2,1.6,0.44773,1.3669,0.58506,0.99836,3.2086,3.2555,3.4281,0.73751,0.75709,0.87265,1.4
0.2,1.6,0.44771,1.3659,0.58539,0.99851,3.2078,3.2551,3.4282,0.7337,0.75401,0.88462,1.4
0.2,1.6,0.44769,1.3649,0.58581,0.99869,3.207,3.2546,3.4284,0.72995,0.75099,0.89677,1.4
0.2,1.6,0.44778,1.3689,0.58441,0.99871,3.2103,3.2565,3.4272,0.74528,0.76342,0.80586,1.4
0.2,1.6,0.44775,1.3679,0.58472,0.99885,3.2095,3.256,3.4273,0.74138,0.76024,0.81742,1.4
0.2,1.6,0.44773,1.3669,0.58506,0.99901,3.2086,3.2555,3.4275,0.73751,0.75709,0.82916,1.4
0.2,1.6,0.4478,1.37,0.58406,0.9992,3.2112,3.257,3.4265,0.74924,0.76666,0.75098,1.4
0.2,1.6,0.44778,1.3689,0.58442,0.99936,3.2103,3.2565,3.4266,0.74528,0.76342,0.76235,1.4
0.2,1.6,0.44783,1.371,0.58371,0.9997,3.212,3.2576,3.4257,0.75326,0.76997,0.69634,1.4
0.2,1.6,0.44798,1.3739,0.57813,0.99982,3.2126,3.2572,3.4223,0.75615,0.7678,0.43587,1.4006
0.2,1.6,0.44759,1.3802,0.57533,1,3.221,3.2632,3.422,0.79512,0.80591,0.419,1.4
0.2,1.6,0.44759,1.3804,0.57524,1,3.2212,3.2633,3.422,0.79595,0.80664,0.41537,1.4
0.2,1.6,0.44748,1.3793,0.57485,1,3.2204,3.2629,3.4221,0.79253,0.80392,0.42642,1.4
0.2,1.6,0.44728,1.3788,0.57335,1,3.2205,3.263,3.4221,0.79284,0.80478,0.42095,1.4
0.2,1.6,0.44778,1.382,0.57631,1,3.2221,3.2638,3.4219,0.80041,0.81013,0.40852,1.4
0.2,1.6,0.44727,1.3786,0.57338,0.99998,3.2204,3.2629,3.4221,0.79232,0.80437,0.4255,1.4
0.2,1.6,0.44759,1.3802,0.57533,1,3.221,3.2632,3.422,0.79512,0.80591,0.419,1.4
0.2,1.6,0.44738,1.3789,0.5742,1,3.2203,3.2628,3.4221,0.79181,0.80357,0.42685,1.4
0.2,1.6,0.44759,1.3802,0.57533,1,3.221,3.2632,3.422,0.79512,0.80591,0.419,1.4
0.2,1.6,0.44749,1.3801,0.5745,1,3.2211,3.2633,3.4219,0.7957,0.80666,0.41223,1.4
0.2,1.6,0.44738,1.3789,0.5742,1,3.2203,3.2628,3.4221,0.79181,0.80357,0.42686,1.4
0.2,1.6,0.44738,1.3789,0.5742,1,3.2203,3.2628,3.4221,0.79181,0.80357,0.42686,1.4
0.2,1.6,0.44728,1.3788,0.57335,1,3.2205,3.263,3.4221,0.79284,0.80478,0.42094,1.4
0.2,1.6,0.44781,1.4227,0.55366,0.99996,3.2649,3.2936,3.4164,1,1,0,1.4
