a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.2,1,0.77225,1.1501,0.41045,0.95321,1.7014,1.8813,2.3136,0,0.48488,1,1.6
0.2,1,0.77232,1.1532,0.40883,0.94906,1.7014,1.8798,2.3098,0.00020307,0.47436,0.98849,1.6
0.2,1,0.77238,1.1564,0.40724,0.95122,1.7015,1.8782,2.3059,0.00051792,0.46397,0.97713,1.6
0.2,1,0.77244,1.1595,0.40567,0.95336,1.7016,1.8767,2.3022,0.00096071,0.45374,0.96591,1.6
0.2,1,0.77248,1.1626,0.40412,0.9555,1.7017,1.8752,2.2984,0.0015133,0.44365,0.95482,1.6
0.2,1,0.77252,1.1656,0.4026,0.95763,1.7019,1.8738,2.2947,0.0021716,0.43369,0.94386,1.6
0.2,1,0.77256,1.1687,0.4011,0.95361,1.7021,1.8723,2.2911,0.0029457,0.42387,0.93305,1.6
0.2,1,0.77259,1.1717,0.39963,0.95573,1.7023,1.8709,2.2875,0.0038129,0.41418,0.92235,1.6
0.2,1,0.77261,1.1747,0.3982,0.95784,1.7026,1.8695,2.2839,0.0048021,0.40464,0.91186,1.6
0.2,1,0.77263,1.1778,0.39675,0.95994,1.7029,1.8681,2.2804,0.0058572,0.39517,0.90133,1.6
0.2,1,0.77265,1.1808,0.39533,0.96203,1.7032,1.8667,2.2769,0.0070279,0.38585,0.89099,1.6
0.2,1,0.77265,1.1836,0.39406,0.95809,1.7035,1.8654,2.2736,0.0083551,0.37677,0.88118,1.6
0.2,1,0.77267,1.1867,0.39258,0.9602,1.7038,1.864,2.2701,0.0096434,0.36755,0.87066,1.6
0.2,1,0.77268,1.1896,0.39123,0.96227,1.7042,1.8627,2.2667,0.011084,0.35857,0.86065,1.6
0.2,1,0.77268,1.1926,0.38991,0.96432,1.7046,1.8614,2.2634,0.012619,0.34971,0.85076,1.6
0.2,1,0.77268,1.1955,0.3886,0.96636,1.705,1.8601,2.2601,0.014235,0.34095,0.84097,1.6
0.2,1,0.77268,1.1984,0.38731,0.96838,1.7054,1.8588,2.2568,0.015943,0.3323,0.83129,1.6
0.2,1,0.77268,1.2013,0.38604,0.96457,1.7059,1.8576,2.2536,0.017729,0.32375,0.82171,1.6
0.2,1,0.77268,1.2042,0.38479,0.96658,1.7064,1.8563,2.2504,0.019596,0.3153,0.81222,1.6
0.2,1,0.77267,1.207,0.38358,0.96856,1.7069,1.8551,2.2472,0.021551,0.30698,0.80292,1.6
0.2,1,0.77267,1.2099,0.38235,0.97055,1.7074,1.8539,2.2441,0.023575,0.29871,0.79355,1.6
0.2,1,0.77267,1.2127,0.38116,0.97252,1.7079,1.8527,2.241,0.025683,0.29057,0.78435,1.6
0.2,1,0.77266,1.2156,0.37998,0.97446,1.7085,1.8515,2.2379,0.027874,0.28252,0.77526,1.6
0.2,1,0.77266,1.2183,0.37885,0.97071,1.7091,1.8503,2.2349,0.030133,0.27458,0.76633,1.6
0.2,1,0.77265,1.2212,0.37769,0.97265,1.7097,1.8491,2.2319,0.032464,0.2667,0.75732,1.6
0.2,1,0.77265,1.2239,0.37658,0.97457,1.7103,1.848,2.2289,0.034872,0.25892,0.7485,1.6
0.2,1,0.77265,1.2267,0.37548,0.97646,1.7109,1.8469,2.2259,0.037357,0.25125,0.73976,1.6
0.2,1,0.77264,1.2295,0.37441,0.97834,1.7116,1.8457,2.223,0.039916,0.24366,0.73112,1.6
0.2,1,0.77264,1.2322,0.37335,0.97467,1.7122,1.8446,2.2201,0.042544,0.23617,0.72255,1.6
0.2,1,0.77265,1.2349,0.37234,0.97652,1.7129,1.8435,2.2173,0.045233,0.22876,0.71415,1.6
0.2,1,0.77265,1.2377,0.37132,0.97836,1.7136,1.8425,2.2145,0.047997,0.22144,0.70576,1.6
0.2,1,0.77265,1.2404,0.37029,0.98019,1.7144,1.8414,2.2117,0.050838,0.21419,0.69736,1.6
0.2,1,0.77266,1.2431,0.36932,0.98199,1.7151,1.8403,2.2089,0.053742,0.20704,0.68915,1.6
0.2,1,0.77267,1.2458,0.36835,0.98378,1.7159,1.8393,2.2061,0.056719,0.19998,0.681,1.6
0.2,1,0.77268,1.2484,0.36742,0.98017,1.7166,1.8383,2.2034,0.059755,0.19299,0.67293,1.6
0.2,1,0.7727,1.2511,0.3665,0.98193,1.7174,1.8373,2.2007,0.062857,0.18608,0.66494,1.6
