a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.8,1.5,0.94285,1.99,0.68581,0.76367,2.1951,2.6296,3.3538,0,0.26457,0.96746,2
0.8,1.5,0.94272,1.9921,0.68724,0.76058,2.1952,2.6273,3.352,0.0002215,0.25667,0.96161,2
0.8,1.5,0.94256,1.9939,0.68864,0.7617,2.1957,2.6252,3.3505,0.00099137,0.2493,0.95658,2
0.8,1.5,0.94238,1.9955,0.69002,0.76276,2.1965,2.6232,3.3492,0.0022014,0.24235,0.95228,2
0.8,1.5,0.94221,1.9969,0.6914,0.76374,2.1975,2.6213,3.3481,0.0037732,0.23576,0.94841,2
0.8,1.5,0.94203,1.9982,0.69276,0.76466,2.1988,2.6195,3.3471,0.0057425,0.22956,0.94519,2
0.8,1.5,0.94183,1.9992,0.69409,0.76552,2.2004,2.6178,3.3464,0.0081462,0.22377,0.94268,2
0.8,1.5,0.94165,2,0.69539,0.76206,2.2022,2.6163,3.3458,0.011057,0.21848,0.94081,2
0.8,1.5,0.94138,2.0005,0.69664,0.76284,2.2042,2.6148,3.3455,0.014165,0.21335,0.93967,1.9998
0.8,1.5,0.94117,2.0012,0.69796,0.76358,2.2062,2.6133,3.345,0.017231,0.20821,0.9381,1.9998
0.8,1.5,0.94103,2.0021,0.69934,0.76428,2.2082,2.6118,3.3444,0.020257,0.20305,0.93613,2
0.8,1.5,0.94073,2.0026,0.70063,0.7651,2.2102,2.6104,3.3441,0.023447,0.198,0.9351,1.9998
0.8,1.5,0.94056,2.0034,0.70204,0.76583,2.2122,2.6089,3.3435,0.026541,0.1929,0.93328,2
0.8,1.5,0.94032,2.004,0.70342,0.76661,2.2143,2.6075,3.3431,0.029723,0.18787,0.93189,2
0.8,1.5,0.94007,2.0047,0.70482,0.76741,2.2164,2.606,3.3427,0.032935,0.18287,0.93054,2
0.8,1.5,0.93982,2.0053,0.70624,0.76407,2.2184,2.6046,3.3423,0.036164,0.17788,0.92915,2
0.8,1.5,0.93946,2.0058,0.7076,0.76496,2.2206,2.6032,3.3421,0.039509,0.17299,0.92837,1.9998
0.8,1.5,0.93918,2.0064,0.70905,0.76579,2.2227,2.6018,3.3417,0.042814,0.16808,0.92716,1.9998
0.8,1.5,0.93853,2.0064,0.71018,0.76692,2.2251,2.6004,3.3419,0.046443,0.1634,0.92789,1.9989
0.8,1.5,0.93867,2.0076,0.71209,0.76744,2.227,2.599,3.3409,0.049462,0.15831,0.92446,2
0.8,1.5,0.93834,2.0082,0.71359,0.76833,2.2292,2.5976,3.3406,0.052887,0.15351,0.92349,2
0.8,1.5,0.93803,2.0087,0.71513,0.7692,2.2315,2.5962,3.3403,0.056325,0.14873,0.92243,2
0.8,1.5,0.93722,2.0086,0.71615,0.7664,2.2339,2.5949,3.3407,0.060178,0.14426,0.92383,1.9988
0.8,1.5,0.93685,2.0091,0.71769,0.76734,2.2362,2.5936,3.3405,0.063711,0.13957,0.92297,1.9987
0.8,1.5,0.93687,2.0101,0.71975,0.76797,2.2383,2.5922,3.3396,0.066985,0.1347,0.92028,1.9997
0.8,1.5,0.9365,2.0105,0.72136,0.76892,2.2407,2.5908,3.3394,0.070595,0.13008,0.91953,1.9997
0.8,1.5,0.93618,2.0111,0.72311,0.76983,2.243,2.5895,3.3391,0.074199,0.12547,0.91851,1.9999
