a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0.9,1,1.3048,1.8712,0.56036,0.70218,1.4655,2.0052,2.5557,0,0.53765,0.96641,1.9998
0.9,1,1.305,1.8741,0.56196,0.70341,1.4657,2.0017,2.5538,0.0003131,0.52404,0.95977,2
0.9,1,1.3051,1.8765,0.56347,0.70018,1.4666,1.9985,2.5523,0.0016779,0.51161,0.95464,2
0.9,1,1.305,1.8784,0.56494,0.70128,1.468,1.9955,2.5513,0.0039537,0.5002,0.95111,1.9998
0.9,1,1.3049,1.88,0.56641,0.70223,1.4699,1.9927,2.5505,0.0068056,0.48946,0.94798,1.9998
0.9,1,1.3049,1.8816,0.5679,0.7032,1.4718,1.99,2.5496,0.0096961,0.47878,0.94491,1.9998
0.9,1,1.3049,1.8834,0.56941,0.70415,1.4736,1.9872,2.5486,0.012566,0.46809,0.94141,2
0.9,1,1.3049,1.885,0.57093,0.70517,1.4755,1.9844,2.5478,0.015532,0.45749,0.93844,2
0.9,1,1.3046,1.8864,0.57246,0.70191,1.4775,1.9817,2.5471,0.018591,0.44696,0.93599,1.9998
0.9,1,1.304,1.8873,0.57393,0.70319,1.4797,1.979,2.5469,0.021923,0.43665,0.93547,1.999
0.9,1,1.3044,1.8896,0.57559,0.70406,1.4815,1.9763,2.5455,0.024708,0.42596,0.9303,1.9998
0.9,1,1.3042,1.8911,0.57719,0.70517,1.4835,1.9736,2.5447,0.027827,0.41553,0.92754,1.9998
0.9,1,1.3041,1.8929,0.57883,0.70625,1.4855,1.9709,2.5438,0.030915,0.40509,0.92427,2
0.9,1,1.3039,1.8944,0.58047,0.7074,1.4876,1.9682,2.543,0.034114,0.39475,0.92161,2
0.9,1,1.3036,1.8959,0.58212,0.70436,1.4897,1.9655,2.5423,0.03737,0.38447,0.91914,2
0.9,1,1.3033,1.8975,0.58381,0.70556,1.4918,1.9629,2.5416,0.040646,0.37422,0.91652,2
0.9,1,1.3024,1.8983,0.58536,0.70703,1.4942,1.9603,2.5416,0.044294,0.3643,0.91639,1.9991
0.9,1,1.3027,1.9005,0.58724,0.70806,1.4962,1.9576,2.5402,0.047359,0.35389,0.91166,2
0.9,1,1.3023,1.902,0.58898,0.70936,1.4984,1.955,2.5396,0.050798,0.34382,0.90942,2
0.9,1,1.3019,1.9035,0.59075,0.70654,1.5006,1.9524,2.539,0.054274,0.33379,0.90716,2
0.9,1,1.3013,1.9048,0.59252,0.70793,1.5029,1.9498,2.5384,0.057844,0.32386,0.90531,1.9998
0.9,1,1.3009,1.9063,0.59433,0.70932,1.5053,1.9473,2.5379,0.061435,0.31396,0.90331,1.9998
0.9,1,1.3004,1.9077,0.59617,0.71073,1.5076,1.9447,2.5373,0.065063,0.3041,0.90125,1.9998
0.9,1,1.3,1.9093,0.59809,0.71212,1.51,1.9422,2.5366,0.068677,0.29424,0.89881,2
0.9,1,1.2994,1.9107,0.59999,0.70955,1.5124,1.9397,2.5361,0.072414,0.28451,0.89691,2
0.9,1,1.2981,1.9114,0.6016,0.71135,1.5151,1.9373,2.5363,0.076616,0.27527,0.8979,1.9987
0.9,1,1.2981,1.9134,0.60381,0.71266,1.5174,1.9347,2.5352,0.08013,0.26531,0.89382,1.9997
0.9,1,1.2974,1.9148,0.60579,0.71424,1.5199,1.9322,2.5347,0.084046,0.25578,0.89217,1.9997
