a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,0.1,8.3588,0.22945,0.03768,0.49493,0.033608,0.24885,0.24857,0,1,1,1.9988
0,0.1,8.4056,0.26984,0.036343,0.37377,0.034491,0.23242,0.23894,0.0083266,0.84624,0.87349,2
0,0.1,8.4057,0.26995,0.03633,0.37618,0.034494,0.2324,0.23855,0.0083608,0.84603,0.8684,2
0,0.1,8.406,0.27048,0.036323,0.37756,0.034519,0.23224,0.23827,0.008599,0.84451,0.86473,2
0,0.1,8.4054,0.26966,0.036348,0.37897,0.034482,0.23248,0.23821,0.0082498,0.84673,0.86403,2
0,0.1,8.4067,0.27136,0.036291,0.38131,0.034559,0.23199,0.23757,0.00897,0.84221,0.85551,2
0,0.1,8.4083,0.2778,0.036526,0.38827,0.034944,0.22988,0.23619,0.012602,0.82245,0.8374,2
0,0.1,8.4063,0.28512,0.036827,0.39782,0.035456,0.22772,0.23478,0.01743,0.80218,0.81901,2
0,0.1,8.3977,0.29261,0.037289,0.41091,0.036084,0.22563,0.23344,0.023358,0.7826,0.80131,2
0,0.1,8.3803,0.30026,0.037906,0.4272,0.036836,0.22361,0.23214,0.030448,0.7637,0.78429,2
0,0.1,8.3546,0.30821,0.038594,0.44548,0.037707,0.22166,0.23089,0.038669,0.74546,0.76794,2
0,0.1,8.3192,0.31631,0.039375,0.46567,0.03869,0.21978,0.2297,0.047935,0.72786,0.75223,2
0,0.1,8.2759,0.32468,0.040196,0.48703,0.039777,0.21796,0.22854,0.058194,0.71084,0.73711,2
0,0.1,8.227,0.33334,0.041019,0.509,0.040957,0.2162,0.22743,0.069321,0.69434,0.72251,2
0,0.1,8.1735,0.3422,0.041844,0.53156,0.042217,0.21449,0.22635,0.081205,0.6783,0.70836,2
0,0.1,8.1126,0.35099,0.042728,0.55588,0.043548,0.21282,0.22531,0.09376,0.66265,0.69462,2
0,0.1,8.0511,0.36002,0.043567,0.58072,0.044939,0.21118,0.22429,0.10688,0.64734,0.68122,2
0,0.1,7.9864,0.36903,0.044416,0.60777,0.046381,0.20958,0.22329,0.12049,0.63232,0.6681,2
0,0.1,7.9221,0.37815,0.045229,0.63759,0.047865,0.208,0.22231,0.13449,0.61753,0.65522,2
0,0.1,7.8552,0.38715,0.046059,0.67684,0.049386,0.20644,0.22134,0.14883,0.60295,0.64255,2
0,0.1,7.8116,0.39748,0.046548,0.72073,0.050938,0.2049,0.22039,0.16347,0.58855,0.63006,2
0,0.1,7.8175,0.41091,0.046338,0.69943,0.052571,0.20342,0.21948,0.17888,0.57468,0.61813,1.9999
0,0.1,7.8113,0.42368,0.046295,0.70007,0.05424,0.20198,0.2186,0.19461,0.56115,0.60654,1.9996
0,0.1,7.7706,0.43422,0.046772,0.75118,0.055879,0.20046,0.21766,0.21008,0.54695,0.5942,2
0,0.1,7.7805,0.44785,0.04652,0.71951,0.057561,0.19902,0.21678,0.22595,0.53349,0.5827,1.9997
0,0.1,7.7512,0.45888,0.046844,0.75771,0.059201,0.19751,0.21584,0.24142,0.51935,0.57043,2
0,0.1,7.7344,0.48338,0.0469,0.76681,0.062498,0.19455,0.21402,0.27251,0.49162,0.54652,2
0,0.1,7.7624,0.49812,0.04643,0.73042,0.064172,0.19309,0.21313,0.2883,0.47797,0.53481,1.9999
0,0.1,7.7297,0.50839,0.04678,0.75114,0.065771,0.19162,0.21225,0.30339,0.46421,0.52326,1.9995
0,0.1,7.7143,0.51999,0.046945,0.76946,0.067405,0.19009,0.21128,0.3188,0.44982,0.51046,2
0,0.1,7.7063,0.53198,0.046957,0.77365,0.069031,0.18862,0.21038,0.33414,0.43611,0.49874,1.9994
0,0.1,7.6994,0.54398,0.047014,0.78837,0.070652,0.1871,0.20943,0.34943,0.42181,0.48627,2
0,0.1,7.6937,0.55603,0.047029,0.79186,0.072271,0.1856,0.20851,0.3647,0.40778,0.47416,2
0,0.1,7.6934,0.5687,0.046973,0.7857,0.073921,0.1841,0.20759,0.38027,0.39373,0.4621,2
0,0.1,7.7305,0.58403,0.046413,0.78196,0.075549,0.18262,0.20668,0.39562,0.37995,0.45016,2
0,0.1,7.7545,0.59838,0.046026,0.78638,0.077165,0.18118,0.2058,0.41087,0.36639,0.43858,1.9999
0,0.1,7.797,0.6147,0.045393,0.79499,0.078838,0.17966,0.20486,0.42665,0.35218,0.42621,2
0,0.1,7.828,0.63013,0.044912,0.89292,0.080498,0.17818,0.20395,0.4423,0.33838,0.41432,2
