a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,2,0.54304,1.4469,0.62207,0.99999,2.9715,3.0481,3.5389,0,0.046931,1,1.6
0,2,0.54301,1.4484,0.62014,0.99999,2.9715,3.0478,3.5366,0.00024002,0.045293,0.99282,1.6
0,2,0.54297,1.4499,0.6183,1,2.9716,3.0476,3.5344,0.00060077,0.043772,0.98582,1.6
0,2,0.54293,1.4513,0.61652,1,2.9717,3.0474,3.5323,0.0010807,0.042365,0.979,1.6
0,2,0.54288,1.4528,0.61481,1,2.9718,3.0472,3.5301,0.0016516,0.041047,0.97232,1.6
0,2,0.54284,1.4542,0.61316,1,2.972,3.047,3.5281,0.0023054,0.039808,0.96576,1.6
0,2,0.54279,1.4556,0.61156,1,2.9721,3.0469,3.526,0.0030328,0.038641,0.95931,1.6
0,2,0.54274,1.4569,0.61001,1,2.9723,3.0467,3.524,0.0038338,0.037545,0.95297,1.6
0,2,0.54269,1.4583,0.6085,1,2.9725,3.0466,3.522,0.0046915,0.036503,0.94671,1.6
0,2,0.54264,1.4596,0.60703,1,2.9727,3.0464,3.5201,0.0055988,0.03551,0.94053,1.6
0,2,0.54259,1.461,0.60561,1,2.9729,3.0463,3.5181,0.0065529,0.034561,0.93442,1.6
0,2,0.54254,1.4623,0.60422,1,2.9731,3.0462,3.5162,0.0075495,0.033654,0.92837,1.6
0,2,0.54249,1.4636,0.60287,1,2.9733,3.046,3.5143,0.0085784,0.032778,0.92238,1.6
0,2,0.54244,1.4649,0.60155,1,2.9735,3.0459,3.5124,0.0096435,0.031937,0.91643,1.6
0,2,0.54239,1.4662,0.60026,1,2.9737,3.0458,3.5106,0.010734,0.03112,0.91052,1.6
0,2,0.54234,1.4676,0.59901,1,2.974,3.0457,3.5087,0.011843,0.030321,0.90464,1.6
0,2,0.5423,1.4689,0.59779,0.99999,2.9742,3.0456,3.5068,0.012973,0.029543,0.8988,1.6
0,2,0.54225,1.4702,0.5966,1,2.9745,3.0455,3.505,0.014111,0.028772,0.89296,1.6
0,2,0.54222,1.4715,0.59547,1,2.9747,3.0454,3.5031,0.01524,0.027993,0.88711,1.6
0,2,0.54218,1.4728,0.59437,1,2.9749,3.0452,3.5013,0.016365,0.02721,0.88126,1.6
0,2,0.54215,1.4742,0.59331,0.99999,2.9752,3.0451,3.4994,0.017474,0.02641,0.87538,1.6
0,2,0.54214,1.4755,0.59232,0.99999,2.9754,3.045,3.4975,0.01854,0.02557,0.86944,1.6
0,2,0.54442,1.4809,0.61975,1,2.9754,3.0445,3.4929,0.018744,0.022027,0.85466,1.6
