a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
0,2,0.73211,1.6581,0.59097,0.76887,2.3806,2.7053,3.3268,0,0.18713,1,1.9998
0,2,0.73207,1.6596,0.59193,0.76967,2.3807,2.7038,3.325,0.00016526,0.18123,0.99287,2
0,2,0.73197,1.6607,0.59272,0.77043,2.3813,2.7025,3.3237,0.001472,0.17642,0.98744,2
0,2,0.73186,1.6617,0.59351,0.77114,2.3822,2.7013,3.3224,0.0031083,0.17193,0.98252,2
0,2,0.73174,1.6626,0.59429,0.77186,2.3831,2.7002,3.3212,0.0048303,0.16752,0.97776,2
0,2,0.73163,1.6636,0.59509,0.77257,2.3841,2.699,3.32,0.0066296,0.16318,0.97306,2
0,2,0.73151,1.6645,0.59589,0.77327,2.3851,2.6979,3.3189,0.0085024,0.15892,0.96848,2
0,2,0.73139,1.6654,0.5967,0.77397,2.3861,2.6968,3.3178,0.010453,0.15472,0.96403,2
0,2,0.73127,1.6663,0.59752,0.76937,2.3872,2.6957,3.3166,0.012453,0.15058,0.95956,2
0,2,0.73114,1.6671,0.59835,0.77006,2.3883,2.6947,3.3156,0.014557,0.14654,0.95533,2
0,2,0.731,1.6679,0.59918,0.77075,2.3895,2.6936,3.3145,0.016729,0.14256,0.95119,2
0,2,0.73087,1.6687,0.60003,0.77144,2.3907,2.6926,3.3135,0.018988,0.13866,0.94717,2
0,2,0.73072,1.6695,0.60087,0.77212,2.3919,2.6916,3.3125,0.021328,0.13484,0.9433,2
0,2,0.73051,1.6701,0.60169,0.77287,2.3933,2.6906,3.3117,0.023867,0.1312,0.94007,1.9998
0,2,0.73042,1.6709,0.60256,0.77347,2.3946,2.6896,3.3107,0.026283,0.12747,0.93598,2
0,2,0.73028,1.6716,0.60343,0.77412,2.3959,2.6887,3.3098,0.028878,0.1239,0.93241,2
0,2,0.73012,1.6722,0.60428,0.77477,2.3974,2.6878,3.309,0.031596,0.12044,0.9291,2
0,2,0.72995,1.6728,0.60512,0.77542,2.3989,2.6869,3.3082,0.034435,0.11709,0.926,2
0,2,0.7298,1.6734,0.60597,0.77114,2.4005,2.6861,3.3074,0.037373,0.11385,0.92295,2
0,2,0.72964,1.6739,0.60679,0.77174,2.4022,2.6853,3.3067,0.040549,0.11083,0.92037,2
0,2,0.72948,1.6744,0.6076,0.77233,2.4039,2.6845,3.3061,0.043739,0.10782,0.91775,2
0,2,0.72932,1.6749,0.60845,0.77291,2.4056,2.6837,3.3054,0.046943,0.10483,0.91509,2
0,2,0.72914,1.6754,0.60928,0.77352,2.4073,2.6829,3.3048,0.050196,0.10188,0.91264,1.9999
0,2,0.72892,1.6757,0.61008,0.77419,2.4091,2.6822,3.3042,0.053517,0.098993,0.91044,1.9998
0,2,0.72873,1.6762,0.61092,0.77482,2.4108,2.6814,3.3036,0.05681,0.096083,0.90806,1.9997
0,2,0.72862,1.6767,0.61186,0.77534,2.4125,2.6806,3.3029,0.060009,0.093097,0.90512,2
0,2,0.72844,1.6772,0.61274,0.77595,2.4143,2.6799,3.3023,0.063304,0.090193,0.90261,2
0,2,0.72824,1.6776,0.61362,0.77659,2.4161,2.6791,3.3017,0.066652,0.087336,0.90027,2
0,2,0.72806,1.6781,0.61453,0.7772,2.4178,2.6784,3.3011,0.069985,0.084469,0.89781,2
0,2,0.72786,1.6785,0.61544,0.77779,2.4196,2.6776,3.3005,0.073358,0.081637,0.89546,2
0,2,0.72764,1.6789,0.61633,0.77398,2.4214,2.6769,3.2999,0.076763,0.078834,0.89322,1.9999
0,2,0.72743,1.6793,0.61726,0.77463,2.4233,2.6761,3.2993,0.080177,0.076042,0.89093,1.9999
0,2,0.72722,1.6797,0.6182,0.77529,2.4251,2.6754,3.2987,0.083607,0.073266,0.88867,1.9999
0,2,0.72694,1.6799,0.61906,0.77604,2.427,2.6747,3.2983,0.087137,0.070578,0.88681,1.9997
0,2,0.72671,1.6803,0.62001,0.77672,2.4288,2.674,3.2977,0.090609,0.067841,0.88461,1.9997
0,2,0.72656,1.6808,0.6211,0.77729,2.4306,2.6733,3.2971,0.094036,0.06507,0.88203,2
0,2,0.72623,1.681,0.62192,0.77812,2.4326,2.6726,3.2967,0.097668,0.062476,0.88047,1.9996
0,2,0.72608,1.6815,0.62308,0.77867,2.4344,2.6719,3.296,0.10113,0.059744,0.87786,2
0,2,0.72582,1.6818,0.62406,0.7794,2.4363,2.6712,3.2955,0.10474,0.057134,0.87592,1.9999
0,2,0.72558,1.6821,0.62512,0.78009,2.4383,2.6705,3.295,0.10835,0.054529,0.87386,2
0,2,0.72531,1.6824,0.62616,0.78081,2.4402,2.6698,3.2945,0.11201,0.051975,0.87196,2
0,2,0.72505,1.6827,0.62722,0.77732,2.4422,2.6692,3.294,0.11568,0.049426,0.87004,2
0,2,0.72478,1.683,0.62828,0.77805,2.4441,2.6685,3.2936,0.11938,0.046909,0.86818,2
0,2,0.72441,1.6831,0.62915,0.77895,2.4461,2.6679,3.2932,0.12317,0.04447,0.86679,1.9996
0,2,0.72413,1.6834,0.63022,0.7797,2.4481,2.6672,3.2928,0.1269,0.041984,0.86498,1.9996
